step,F,comp_frac,d_eff,trajectory,color
0,66.56016143687991,0.1416666666666666,4.1554,Unconstrained Metropolis,#dc2626
10,57.28515999872856,0.1916666666666666,3.8554,Unconstrained Metropolis,#dc2626
20,48.76175224518158,0.25,3.5054,Unconstrained Metropolis,#dc2626
30,44.43502859710124,0.275,3.3554,Unconstrained Metropolis,#dc2626
40,36.91812540142029,0.3583333333333333,2.8554,Unconstrained Metropolis,#dc2626
50,35.80089663733356,0.325,3.0554,Unconstrained Metropolis,#dc2626
60,26.243314123016013,0.4666666666666667,2.2054,Unconstrained Metropolis,#dc2626
70,26.837152563151133,0.6666666666666666,1.0054000000000003,Unconstrained Metropolis,#dc2626
80,26.16610501128625,0.5083333333333333,1.9554,Unconstrained Metropolis,#dc2626
90,23.531089950483487,0.85,0.5,Unconstrained Metropolis,#dc2626
100,22.75567731305661,0.8166666666666667,0.5,Unconstrained Metropolis,#dc2626
110,27.456137375460703,0.4416666666666666,2.3554000000000004,Unconstrained Metropolis,#dc2626
120,21.11130698303106,0.5583333333333333,1.6554,Unconstrained Metropolis,#dc2626
130,26.288256500776555,0.725,0.6554000000000002,Unconstrained Metropolis,#dc2626
140,24.52420185548108,0.5166666666666667,1.9054,Unconstrained Metropolis,#dc2626
150,25.12423673050262,0.825,0.5,Unconstrained Metropolis,#dc2626
160,23.651804096463263,0.5666666666666667,1.6054000000000002,Unconstrained Metropolis,#dc2626
170,23.762596951071767,0.6166666666666667,1.3054,Unconstrained Metropolis,#dc2626
180,21.77090409238413,0.6083333333333333,1.3554000000000004,Unconstrained Metropolis,#dc2626
190,21.13167088559611,0.5916666666666667,1.4554,Unconstrained Metropolis,#dc2626
200,25.42518869444144,0.475,2.1554,Unconstrained Metropolis,#dc2626
210,20.48708547954061,0.65,1.1054,Unconstrained Metropolis,#dc2626
220,23.05319115550323,0.7583333333333333,0.5,Unconstrained Metropolis,#dc2626
230,17.220358809163695,0.55,1.7053999999999998,Unconstrained Metropolis,#dc2626
240,33.151605656517766,0.375,2.7554,Unconstrained Metropolis,#dc2626
250,25.2965003063553,0.5416666666666666,1.7554000000000003,Unconstrained Metropolis,#dc2626
260,22.894606268354742,0.55,1.7053999999999998,Unconstrained Metropolis,#dc2626
270,25.50153205525669,0.7,0.8054000000000003,Unconstrained Metropolis,#dc2626
280,26.614536994323466,0.4333333333333333,2.4054,Unconstrained Metropolis,#dc2626
290,27.336547602123904,0.425,2.4554,Unconstrained Metropolis,#dc2626
300,24.2762391566576,0.5833333333333334,1.5053999999999998,Unconstrained Metropolis,#dc2626
0,208.49979766326223,0.4990079365079365,2.011352380952381,Microcanonical swap,#2563eb
10,197.28112892085937,0.5620039682539683,1.6333761904761903,Microcanonical swap,#2563eb
20,197.3592861929269,0.5565476190476191,1.6661142857142857,Microcanonical swap,#2563eb
30,173.22402180616646,0.6884920634920635,0.8744476190476191,Microcanonical swap,#2563eb
40,165.22192700317768,0.6964285714285714,0.8268285714285717,Microcanonical swap,#2563eb
50,156.1863101640217,0.689484126984127,0.8684952380952382,Microcanonical swap,#2563eb
60,147.1837222493943,0.6458333333333334,1.1303999999999998,Microcanonical swap,#2563eb
70,144.8143547900909,0.6403769841269841,1.1631380952380956,Microcanonical swap,#2563eb
80,144.8143547900909,0.6403769841269841,1.1631380952380956,Microcanonical swap,#2563eb
90,144.8143547900909,0.6403769841269841,1.1631380952380956,Microcanonical swap,#2563eb
100,144.8143547900909,0.6403769841269841,1.1631380952380956,Microcanonical swap,#2563eb
110,138.1750490291871,0.6443452380952381,1.1393285714285712,Microcanonical swap,#2563eb
120,136.7094946610559,0.660218253968254,1.0440904761904763,Microcanonical swap,#2563eb
130,129.0100627829137,0.6830357142857143,0.9071857142857144,Microcanonical swap,#2563eb
140,127.35405988086772,0.6870039682539683,0.8833761904761905,Microcanonical swap,#2563eb
150,128.32799948188884,0.6428571428571429,1.1482571428571426,Microcanonical swap,#2563eb
160,125.23711928943398,0.625,1.2554,Microcanonical swap,#2563eb
170,121.97793216032036,0.6245039682539683,1.2583761904761903,Microcanonical swap,#2563eb
180,120.6616840208652,0.6607142857142857,1.041114285714286,Microcanonical swap,#2563eb
190,121.5345190994776,0.6597222222222222,1.0470666666666668,Microcanonical swap,#2563eb
200,122.5366989451,0.6056547619047619,1.371471428571429,Microcanonical swap,#2563eb
210,123.89063393461277,0.6483134920634921,1.1155190476190475,Microcanonical swap,#2563eb
220,118.5743559335789,0.6374007936507936,1.1809952380952384,Microcanonical swap,#2563eb
230,116.38690322797883,0.6443452380952381,1.1393285714285712,Microcanonical swap,#2563eb
240,118.60734353634804,0.6656746031746031,1.0113523809523812,Microcanonical swap,#2563eb
