n,n_cg,keep_ratio,gamma,action_mode,family,mean_score_local,mean_score_augmented,mean_score_augmented_full,mean_penalty_cg,mean_penalty_global_consistency,mean_self_drift,family_switch_rate,mean_rank_shift,mean_gc_var_comp,mean_gc_var_d_eff,count
20,12,0.6,0.2,A1,lorentzian_like_4d,-16.09639819073086,-15.691108161956556,-15.691108161956556,0.40529002877430453,0.0,0.015529002877430451,0.125,0.125,0.0,0.0,8
20,12,0.6,0.2,A1,lorentzian_like_3d,-14.078867645832736,-13.405334323225034,-13.405334323225034,0.6735333226077019,0.0,0.017353332260770196,0.25,0.25,0.0,0.0,8
20,12,0.6,0.2,A1,KR_like,-12.365577686776264,-11.27268667692195,-11.27268667692195,1.0928910098543139,0.0,0.02178910098543138,0.375,0.625,0.0,0.0,8
20,12,0.6,0.2,A1,lorentzian_like_2d,-10.770920166703412,-10.213795013694737,-10.213792295620765,0.5571251530086752,2.7180739731429247e-06,0.02446251530086751,0.125,0.25,0.008841628086419754,0.16523110163294438,8
20,12,0.6,0.2,A1,multi_layer_random,-12.072125467129373,-9.32679578650011,-9.326768441395908,2.7453296806292635,2.7345104202228507e-05,0.043282968062926364,1.0,1.625,0.005320216049382715,0.1915277777777778,8
20,12,0.6,0.8,A1,lorentzian_like_4d,-16.000711747702088,-15.595421718927785,-15.595421718927785,0.40529002877430453,0.0,0.015529002877430451,0.125,0.125,0.0,0.0,8
20,12,0.6,0.8,A1,lorentzian_like_3d,-13.995834515045699,-13.322301192437997,-13.322301192437997,0.6735333226077019,0.0,0.017353332260770196,0.25,0.25,0.0,0.0,8
20,12,0.6,0.8,A1,KR_like,-12.306314810618858,-11.213423800764543,-11.213423800764543,1.0928910098543139,0.0,0.02178910098543138,0.375,0.625,0.0,0.0,8
20,12,0.6,0.8,A1,lorentzian_like_2d,-10.713850577583042,-10.156725424574367,-10.156722706500394,0.5571251530086752,2.7180739731429247e-06,0.02446251530086751,0.125,0.25,0.008841628086419754,0.16523110163294438,8
20,12,0.6,0.8,A1,multi_layer_random,-12.018668435879373,-9.27333875525011,-9.273311410145908,2.7453296806292635,2.7345104202228507e-05,0.043282968062926364,1.0,1.625,0.005320216049382715,0.1915277777777778,8
20,16,0.8,0.2,A1,lorentzian_like_4d,-24.353330204630574,-23.765866153325035,-23.765866153325035,0.5874640513055369,0.0,0.008746405130553699,0.25,0.25,0.0,0.0,8
20,16,0.8,0.2,A1,lorentzian_like_3d,-21.68546595331087,-20.560842456792034,-20.560842456792034,1.1246234965188346,0.0,0.012462349651883484,0.5,0.5,0.0,0.0,8
20,16,0.8,0.2,A1,KR_like,-19.516125380235543,-19.203593756695334,-19.203593756695334,0.3125316235402129,0.0,0.006253162354021289,0.125,0.125,0.0,0.0,8
20,16,0.8,0.2,A1,multi_layer_random,-18.715477739597898,-16.67481351979982,-16.67478240157012,2.040664219798078,3.111822969968357e-05,0.01031642197980781,0.875,1.25,0.030326908541194256,0.5004162056079933,8
20,16,0.8,0.2,A1,lorentzian_like_2d,-16.4000183447964,-16.06816965135912,-16.06804524006407,0.3318486934372802,0.00012441129505116145,0.008184869343728023,0.125,0.125,0.056543761022927685,1.2880954845519683,8
20,16,0.8,0.8,A1,lorentzian_like_4d,-24.272099135701538,-23.684635084396,-23.684635084396,0.5874640513055369,0.0,0.008746405130553699,0.25,0.25,0.0,0.0,8
20,16,0.8,0.8,A1,lorentzian_like_3d,-21.61495394464388,-20.490330448125043,-20.490330448125043,1.1246234965188346,0.0,0.012462349651883484,0.5,0.5,0.0,0.0,8
20,16,0.8,0.8,A1,KR_like,-19.462965412177276,-19.150433788637063,-19.150433788637063,0.3125316235402129,0.0,0.006253162354021289,0.125,0.125,0.0,0.0,8
20,16,0.8,0.8,A1,multi_layer_random,-18.65448991102531,-16.61382569122723,-16.61379457299753,2.040664219798078,3.111822969968357e-05,0.01031642197980781,0.875,1.25,0.030326908541194256,0.5004162056079933,8
20,16,0.8,0.8,A1,lorentzian_like_2d,-16.358728570219576,-16.026879876782296,-16.026755465487245,0.3318486934372802,0.00012441129505116145,0.008184869343728023,0.125,0.125,0.056543761022927685,1.2880954845519683,8
30,18,0.6,0.2,A1,lorentzian_like_4d,-28.004238495161857,-27.69218071604009,-27.69218071604009,0.31205777912176524,0.0,0.006205777912176517,0.125,0.125,0.0,0.0,8
30,18,0.6,0.2,A1,lorentzian_like_3d,-25.106634309577803,-24.22430199142239,-24.22430199142239,0.8823323181554118,0.0,0.013233231815541181,0.375,0.375,0.0030864197530864196,0.11111044444544439,8
30,18,0.6,0.2,A1,KR_like,-24.101630165598852,-22.22473427626187,-22.22473427626187,1.876895889336979,0.0,0.031439588933697894,0.75,0.875,0.0,0.0,8
30,18,0.6,0.2,A1,multi_layer_random,-23.816145414323284,-21.156117864046532,-21.156117864046532,2.660027550276753,0.0,0.028502755027675308,1.0,1.75,0.0030902777777777777,0.11125,8
