n,keep_ratio,family,mean_score_local,mean_penalty_cg,mean_score_augmented,mean_self_drift,family_switch_rate,mean_rank_local,mean_rank_augmented
20,0.6,lorentzian_like_4d,-16.048554969216475,0.4052900287743045,-15.64326494044217,0.0155290028774304,0.125,1.0,1.0
20,0.6,lorentzian_like_3d,-14.037351080439219,0.6735333226077019,-13.363817757831516,0.0173533322607701,0.25,2.0,2.0
20,0.6,lorentzian_like_2d,-10.742385372143227,0.5571251530086752,-10.185260219134552,0.0244625153008675,0.125,5.0,4.0
20,0.8,lorentzian_like_4d,-24.312714670166052,0.5874640513055369,-23.725250618860517,0.0087464051305536,0.25,1.0,1.0
20,0.8,lorentzian_like_3d,-21.650209948977377,1.1246234965188346,-20.52558645245854,0.0124623496518834,0.5,2.0,2.0
20,0.8,lorentzian_like_2d,-16.379373457507988,0.3318486934372802,-16.047524764070708,0.008184869343728,0.125,5.0,5.0
30,0.6,lorentzian_like_4d,-27.95515977716917,0.3120577791217652,-27.643101998047406,0.0062057779121765,0.125,1.0,1.0
30,0.6,lorentzian_like_3d,-25.072717628622158,0.8823323181554118,-24.190385310466745,0.0132332318155411,0.375,2.0,2.0
30,0.6,lorentzian_like_2d,-18.225330091722206,0.1460420715700257,-18.079288020152177,0.0146042071570025,0.0,5.0,5.0
30,0.8,lorentzian_like_4d,-42.076453511399365,0.0360779724487996,-42.04037553895056,0.0036077972448799,0.0,1.0,1.0
30,0.8,lorentzian_like_3d,-37.503132802670166,0.3033709417290132,-37.19976186094116,0.0053370941729013,0.125,2.0,2.0
30,0.8,lorentzian_like_2d,-27.05992318808538,0.0796402509611401,-26.980282937124237,0.007964025096114,0.0,5.0,5.0
