n,n_cg,keep_ratio,gamma,action_mode,family,mean_score_local,mean_score_augmented,mean_score_augmented_full,mean_penalty_cg,mean_penalty_global_consistency,mean_self_drift,family_switch_rate,mean_rank_shift,mean_gc_var_comp,mean_gc_var_d_eff,count,rank_local,rank_augmented_cg,rank_augmented_full,rank_delta_due_to_cg_penalty,rank_delta_due_to_full_penalty
20,12,0.6,0.2,A2,KR_like,-11.170660777173968,-9.952769767319655,-9.952769767319655,1.2178910098543139,0.0,0.02178910098543138,0.375,0.875,0.0,0.0,8,1,1,1,0,0
20,12,0.6,0.2,A2,lorentzian_like_2d,-10.391957314592398,-9.772332161583723,-9.77232944350975,0.6196251530086752,2.7180739731429247e-06,0.02446251530086751,0.125,0.375,0.008841628086419754,0.16523110163294438,8,2,2,2,0,0
20,12,0.6,0.2,A2,lorentzian_like_3d,-10.318135650517199,-9.519602327909496,-9.519602327909496,0.7985333226077019,0.0,0.017353332260770196,0.25,0.5,0.0,0.0,8,3,3,3,0,0
20,12,0.6,0.2,A2,multi_layer_random,-10.049747421882529,-7.116917741253265,-7.116890396149063,2.932829680629264,2.7345104202228507e-05,0.043282968062926364,1.0,2.0,0.005320216049382715,0.1915277777777778,8,4,4,4,0,0
20,12,0.6,0.2,A2,transitive_percolation,-7.235039780357897,-6.711742010311178,-6.711742010311178,0.523297770046719,0.0,0.014829777004671897,0.125,0.375,0.0,0.0,8,5,5,5,0,0
20,12,0.6,0.8,A2,lorentzian_like_2d,-9.197999169138985,-8.64087401613031,-8.640871298056336,0.5571251530086752,2.7180739731429247e-06,0.02446251530086751,0.125,0.25,0.008841628086419754,0.16523110163294438,8,1,1,1,0,0
20,12,0.6,0.8,A2,KR_like,-7.526647172209673,-6.433756162355358,-6.433756162355358,1.0928910098543139,0.0,0.02178910098543138,0.375,0.625,0.0,0.0,8,2,2,2,0,0
20,12,0.6,0.8,A2,multi_layer_random,-3.9291562548919963,-1.1838265742627327,-1.1837992291585304,2.7453296806292635,2.7345104202228507e-05,0.043282968062926364,1.0,1.625,0.005320216049382715,0.1915277777777778,8,3,3,3,0,0
20,12,0.6,0.8,A2,lorentzian_like_3d,1.04709346621645,1.720626788824152,1.720626788824152,0.6735333226077019,0.0,0.017353332260770196,0.25,0.25,0.0,0.0,8,4,4,4,0,0
20,12,0.6,0.8,A2,transitive_percolation,17.352938257394847,17.751236027441564,17.751236027441564,0.398297770046719,0.0,0.014829777004671897,0.125,0.125,0.0,0.0,8,5,5,5,0,0
20,16,0.8,0.2,A2,KR_like,-17.790974461456095,-17.478442837915882,-17.478442837915882,0.3125316235402129,0.0,0.006253162354021289,0.125,0.125,0.0,0.0,8,2,1,1,-1,-1
20,16,0.8,0.2,A2,lorentzian_like_3d,-18.033889125652742,-16.784265629133905,-16.784265629133905,1.2496234965188346,0.0,0.012462349651883484,0.5,0.75,0.0,0.0,8,1,2,2,1,1
20,16,0.8,0.2,A2,lorentzian_like_2d,-16.1674208475456,-15.773072154108318,-15.772947742813265,0.3943486934372802,0.00012441129505116145,0.008184869343728023,0.125,0.25,0.056543761022927685,1.2880954845519683,8,4,3,3,-1,-1
20,16,0.8,0.2,A2,multi_layer_random,-16.967110262828943,-14.676446043030865,-14.676414924801165,2.290664219798078,3.111822969968357e-05,0.01031642197980781,0.875,1.75,0.030326908541194256,0.5004162056079933,8,3,4,4,1,1
20,16,0.8,0.2,A2,transitive_percolation,-15.448006998507376,-14.65581290573967,-14.65581290573967,0.7921940927677057,0.0,0.004219409276770567,0.25,0.75,0.0,0.0,8,5,5,5,0,0
20,16,0.8,0.8,A2,lorentzian_like_2d,-15.428338581216366,-15.096489887779086,-15.096365476484035,0.3318486934372802,0.00012441129505116145,0.008184869343728023,0.125,0.125,0.056543761022927685,1.2880954845519683,8,1,1,1,0,0
20,16,0.8,0.8,A2,KR_like,-12.562361737059472,-12.249830113519259,-12.249830113519259,0.3125316235402129,0.0,0.006253162354021289,0.125,0.125,0.0,0.0,8,2,2,2,0,0
20,16,0.8,0.8,A2,multi_layer_random,-11.661020003949483,-9.620355784151403,-9.620324665921704,2.040664219798078,3.111822969968357e-05,0.01031642197980781,0.875,1.25,0.030326908541194256,0.5004162056079933,8,3,3,3,0,0
20,16,0.8,0.8,A2,lorentzian_like_3d,-7.00864663401136,-5.884023137492524,-5.884023137492524,1.1246234965188346,0.0,0.012462349651883484,0.5,0.5,0.0,0.0,8,4,4,4,0,0
20,16,0.8,0.8,A2,transitive_percolation,7.423476410419404,7.96567050318711,7.96567050318711,0.5421940927677057,0.0,0.004219409276770567,0.25,0.25,0.0,0.0,8,5,5,5,0,0
30,18,0.6,0.2,A2,lorentzian_like_3d,-22.184814819859234,-21.052482501703825,-21.052482501703825,1.1323323181554117,0.0,0.013233231815541181,0.375,0.875,0.0030864197530864196,0.11111044444544439,8,1,1,1,0,0
30,18,0.6,0.2,A2,KR_like,-21.46944684283369,-19.280050953496712,-19.280050953496712,2.189395889336979,0.0,0.031439588933697894,0.75,1.5,0.0,0.0,8,3,2,2,-1,-1
30,18,0.6,0.2,A2,transitive_percolation,-19.51254597778993,-18.95697692779651,-18.95697692779651,0.5555690499934187,0.0,0.01805690499934187,0.125,0.375,0.0,0.0,8,4,3,3,-1,-1
30,18,0.6,0.2,A2,multi_layer_random,-21.482942937971863,-18.94791538769511,-18.94791538769511,2.535027550276753,0.0,0.028502755027675308,1.0,1.5,0.0030902777777777777,0.11125,8,2,4,4,2,2
30,18,0.6,0.2,A2,lorentzian_like_2d,-17.939439265278498,-17.793397193708472,-17.793397193708472,0.14604207157002574,0.0,0.014604207157002575,0.0,0.0,0.03925072679727946,1.1567117385034817,8,5,5,5,0,0
30,18,0.6,0.8,A2,lorentzian_like_2d,-16.975792322688132,-16.829750251118107,-16.829750251118107,0.14604207157002574,0.0,0.014604207157002575,0.0,0.0,0.03925072679727946,1.1567117385034817,8,1,1,1,0,0
30,18,0.6,0.8,A2,lorentzian_like_3d,-13.35152298879224,-12.406690670636829,-12.406690670636829,0.9448323181554118,0.0,0.013233231815541181,0.375,0.5,0.0030864197530864196,0.11111044444544439,8,4,2,2,-2,-2
30,18,0.6,0.8,A2,KR_like,-13.4965958628784,-11.682199973541422,-11.682199973541422,1.814395889336979,0.0,0.031439588933697894,0.75,0.75,0.0,0.0,8,3,3,3,0,0
30,18,0.6,0.8,A2,multi_layer_random,-14.411051844079925,-11.501024293803171,-11.501024293803171,2.910027550276753,0.0,0.028502755027675308,1.0,2.25,0.0030902777777777777,0.11125,8,2,4,4,2,2
