stage,n,n_cg,family,sample_id,keep_ratio,cg_repeat,gamma,beta,action_mode,entropy_method,log_H,penalty_local,score_local,penalty_cg,penalty_global_consistency,score_augmented,score_augmented_full,self_drift,nearest_family,nearest_family_dist,family_switch_penalty,rank_before,rank_after,rank_shift_penalty,sig_comp,sig_d_eff,sig_height_ratio,sig_width_ratio,sig_degree_var,sig_interval_empty,sig_interval_size_ratio,gc_var_comp,gc_var_d_eff,gc_var_height_ratio,gc_var_width_ratio,gc_var_size_ratio,gc_count,gc_total,gc_var_comp_ref_penalty,gc_var_d_eff_ref_penalty,gc_var_height_ratio_ref_penalty,gc_var_width_ratio_ref_penalty,gc_var_size_ratio_ref_penalty,gc_total_ref
coarse_grained,20,16,KR_like,0,0.8,0,0.2,1.0,A2,sis,19.640527881686072,11.912396228263702,-17.258048636033333,0.0381391608902786,0.0,-17.219909475143055,-17.219909475143055,0.00381391608902786,KR_like,0.221622460739671,0.0,2,2,0.0,0.3416666666666667,2.9554,0.1875,0.5,0.0314788818359375,0.7317073170731707,0.03353658536585366,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,16,KR_like,0,0.8,1,0.2,1.0,A2,sis,19.933980127195497,9.474951294435865,-18.038989868308324,0.030376435822615157,0.0,-18.00861343248571,-18.00861343248571,0.0030376435822615155,KR_like,0.21311943483855553,0.0,2,2,0.0,0.3416666666666667,2.9554,0.1875,0.4375,0.0312347412109375,0.7073170731707317,0.0350609756097561,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,12,KR_like,0,0.6,0,0.2,1.0,A2,sis,12.216478318244054,3.645070826121708,-11.487464153019712,0.2199994880178444,0.0,-11.267464665001867,-11.267464665001867,0.021999948801784443,KR_like,0.322747639749857,0.0,2,2,0.0,0.42424242424242425,2.4599454545454544,0.25,0.5,0.040895061728395056,0.7142857142857143,0.03273809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,12,KR_like,0,0.6,1,0.2,1.0,A2,sis,11.793733968478836,3.4412448917959395,-11.105484990119649,0.2257469442174331,0.0,-10.879738045902217,-10.879738045902217,0.02257469442174331,KR_like,0.33165604360504475,0.0,2,2,0.0,0.42424242424242425,2.4599454545454544,0.25,0.4166666666666667,0.04031635802469136,0.75,0.03273809523809524,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,16,KR_like,0,0.8,0,0.8,1.0,A2,sis,19.640527881686072,11.912396228263702,-10.11061089907511,0.0381391608902786,0.0,-10.072471738184833,-10.072471738184833,0.00381391608902786,KR_like,0.221622460739671,0.0,3,3,0.0,0.3416666666666667,2.9554,0.1875,0.5,0.0314788818359375,0.7317073170731707,0.03353658536585366,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,16,KR_like,0,0.8,1,0.8,1.0,A2,sis,19.933980127195497,9.474951294435865,-12.354019091646805,0.030376435822615157,0.0,-12.32364265582419,-12.32364265582419,0.0030376435822615155,KR_like,0.21311943483855553,0.0,3,3,0.0,0.3416666666666667,2.9554,0.1875,0.4375,0.0312347412109375,0.7073170731707317,0.0350609756097561,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,12,KR_like,0,0.6,0,0.8,1.0,A2,sis,12.216478318244054,3.645070826121708,-9.300421657346687,0.2199994880178444,0.0,-9.080422169328843,-9.080422169328843,0.021999948801784443,KR_like,0.322747639749857,0.0,3,3,0.0,0.42424242424242425,2.4599454545454544,0.25,0.5,0.040895061728395056,0.7142857142857143,0.03273809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,12,KR_like,0,0.6,1,0.8,1.0,A2,sis,11.793733968478836,3.4412448917959395,-9.040738055042084,0.2257469442174331,0.0,-8.814991110824652,-8.814991110824652,0.02257469442174331,KR_like,0.33165604360504475,0.0,3,3,0.0,0.42424242424242425,2.4599454545454544,0.25,0.4166666666666667,0.04031635802469136,0.75,0.03273809523809524,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,16,KR_like,1,0.8,0,0.2,1.0,A2,sis,19.388192739619928,8.603777837874725,-17.667437172044984,0.0072020315027693516,0.0,-17.660235140542216,-17.660235140542216,0.0007202031502769352,KR_like,0.16156888330796906,0.0,2,2,0.0,0.35,2.9054,0.1875,0.4375,0.03021240234375,0.6904761904761905,0.03869047619047619,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,16,KR_like,1,0.8,1,0.2,1.0,A2,sis,20.441566154263576,19.754704094488197,-16.490625335365937,2.341737257487142,0.0,-14.148888077878794,-14.148888077878794,0.0341737257487142,lorentzian_like_3d,0.08574550641157397,1.0,2,1,1.0,0.26666666666666666,3.4054,0.1875,0.5,0.022705078125,0.8125,0.0234375,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
