n,n_cg,keep_ratio,gamma,action_mode,family,mean_score_local,mean_score_augmented,mean_score_augmented_full,mean_penalty_cg,mean_penalty_global_consistency,mean_self_drift,family_switch_rate,mean_rank_shift,mean_gc_var_comp,mean_gc_var_d_eff,count,rank_local,rank_augmented_cg,rank_augmented_full,rank_delta_due_to_cg_penalty,rank_delta_due_to_full_penalty
16,10,0.6,0.2,A2,lorentzian_like_2d,-7.0859918668188575,-5.6677478240742,-5.667665645523479,1.418244042744657,8.217855072210988e-05,0.04182440427446571,0.3333333333333333,1.0,0.0056584362139917715,0.020103220925925952,6,3,1,1,-2,-2
16,10,0.6,0.2,A2,KR_like,-7.532716260935355,-5.276730676501772,-5.276730676501772,2.255985584433583,0.0,0.033931891776691675,0.6666666666666666,1.8333333333333333,0.0,0.0,6,1,2,2,1,1
16,10,0.6,0.2,A2,multi_layer_random,-7.375088875695411,-5.046267134401134,-5.046267134401134,2.3288217412942775,0.0,0.032882174129427774,0.8333333333333334,1.5,0.004115226337448559,0.14814814814814814,6,2,3,3,1,1
16,10,0.6,0.2,A2,lorentzian_like_3d,-6.379605050869738,-5.0072338715889115,-5.0072338715889115,1.3723711792808269,0.0,0.02890378459474935,0.5,0.6666666666666666,0.0,0.0,6,4,4,4,0,0
16,10,0.6,0.2,A2,transitive_percolation,-3.020748605233655,-1.53560118495175,-1.53560118495175,1.4851474202819048,0.0,0.023514742028190486,0.5,1.0,0.0,0.0,6,5,5,5,0,0
16,10,0.6,0.8,A2,lorentzian_like_2d,-4.9474406580041945,-3.7791966152595378,-3.779114436708815,1.168244042744657,8.217855072210988e-05,0.04182440427446571,0.3333333333333333,0.5,0.0056584362139917715,0.020103220925925952,6,1,1,1,0,0
16,10,0.6,0.8,A2,KR_like,-3.3583345454196123,-1.6023489609860289,-1.6023489609860289,1.7559855844335832,0.0,0.033931891776691675,0.6666666666666666,0.8333333333333334,0.0,0.0,6,2,2,2,0,0
16,10,0.6,0.8,A2,multi_layer_random,-1.986279544874085,0.00920886308685942,0.00920886308685942,1.9954884079609443,0.0,0.032882174129427774,0.8333333333333334,0.8333333333333334,0.004115226337448559,0.14814814814814814,6,3,3,3,0,0
16,10,0.6,0.8,A2,lorentzian_like_3d,6.90631267923234,8.278683858513167,8.278683858513167,1.3723711792808269,0.0,0.02890378459474935,0.5,0.6666666666666666,0.0,0.0,6,4,4,4,0,0
16,10,0.6,0.8,A2,transitive_percolation,25.009284913278936,26.244432333560848,26.244432333560848,1.2351474202819048,0.0,0.023514742028190486,0.5,0.5,0.0,0.0,6,5,5,5,0,0
16,13,0.8,0.2,A2,lorentzian_like_3d,-12.308264847942565,-11.930131081837976,-11.930131081837976,0.3781337661045885,0.0,0.00448004327712551,0.16666666666666666,0.16666666666666666,0.0,0.0,6,2,1,1,-1,-1
16,13,0.8,0.2,A2,KR_like,-12.519558062664283,-10.893192320540727,-10.893192320540727,1.6263657421235562,0.0,0.020969907545688952,0.5,1.3333333333333333,0.0,0.0,6,1,3,2,2,1
16,13,0.8,0.2,A2,lorentzian_like_2d,-11.098605106750234,-11.055714399348455,-10.733105849674358,0.04289070740177839,0.32260854967409724,0.004289070740177839,0.0,0.0,0.04427983539094651,1.4000271096336292,6,4,2,3,-2,-1
16,13,0.8,0.2,A2,multi_layer_random,-11.999127438757279,-9.60400280073883,-9.60400280073883,2.39512463801845,0.0,0.014512463801845017,1.0,1.5,0.01038451646090535,0.37384259259259256,6,3,4,4,1,1
16,13,0.8,0.2,A2,transitive_percolation,-8.740341216777763,-8.193867641949874,-8.193867641949874,0.5464735748278883,0.0,0.012980690816122164,0.16666666666666666,0.3333333333333333,0.0,0.0,6,5,5,5,0,0
16,13,0.8,0.8,A2,lorentzian_like_2d,-10.578765091666188,-10.53587438426441,-10.213265834590311,0.04289070740177839,0.32260854967409724,0.004289070740177839,0.0,0.0,0.04427983539094651,1.4000271096336292,6,1,1,1,0,0
16,13,0.8,0.8,A2,KR_like,-8.592936144384531,-7.383237068927642,-7.383237068927642,1.2096990754568895,0.0,0.020969907545688952,0.5,0.5,0.0,0.0,6,2,2,2,0,0
16,13,0.8,0.8,A2,multi_layer_random,-4.5749009645254795,-2.4297763265070293,-2.4297763265070293,2.14512463801845,0.0,0.014512463801845017,1.0,1.0,0.01038451646090535,0.37384259259259256,6,3,3,3,0,0
16,13,0.8,0.8,A2,lorentzian_like_3d,-2.077838081407712,-1.6997043153031235,-1.6997043153031235,0.3781337661045885,0.0,0.00448004327712551,0.16666666666666666,0.16666666666666666,0.0,0.0,6,4,4,4,0,0
16,13,0.8,0.8,A2,transitive_percolation,20.956851302148966,21.419991543643523,21.419991543643523,0.46314024149455496,0.0,0.012980690816122164,0.16666666666666666,0.16666666666666666,0.0,0.0,6,5,5,5,0,0
