n,action_mode,family_a,family_b,gamma_c_est,diff_at_min_gamma,diff_at_max_gamma
10,A2,lorentzian_like_2d,KR_like,9.19458232229459,0.3159232878524225,-0.3712711420378527
12,A2,lorentzian_like_2d,KR_like,0.7441610623870041,0.4222999103182086,-10.927391216052218
14,A2,lorentzian_like_2d,KR_like,0.7808260042780104,0.6130644352862833,-15.08990733889668
16,A2,lorentzian_like_2d,KR_like,0.6932976719348224,0.714628490589803,-19.90071523602193
10,A2,lorentzian_like_2d,multi_layer_random,0.39254716670421536,0.5763256112228472,-28.787055918778574
12,A2,lorentzian_like_2d,multi_layer_random,0.4152459646523696,0.5234338956335081,-24.687353935704472
14,A2,lorentzian_like_2d,multi_layer_random,0.5461172270602727,0.6015826780309412,-21.42968270684757
16,A2,lorentzian_like_2d,multi_layer_random,0.4240586060050407,0.8012766378079899,-36.98956766820123
10,A2,lorentzian_like_2d,transitive_percolation,0.1495479967388754,1.7250698151850918,-228.97943346174247
12,A2,lorentzian_like_2d,transitive_percolation,0.27410868657508913,2.0515798278819686,-147.63939520219682
14,A2,lorentzian_like_2d,transitive_percolation,0.2554229938386261,2.1130088903090716,-163.33872734954184
16,A2,lorentzian_like_2d,transitive_percolation,0.24155721100736513,1.8591060770542531,-152.06766508421475
10,A3,lorentzian_like_2d,KR_like,8.55800725563979,0.3159232878524225,-0.42238711178933297
12,A3,lorentzian_like_2d,KR_like,0.7397897952972392,0.4222999103182086,-10.994454227214419
14,A3,lorentzian_like_2d,KR_like,0.7812459104444576,0.6130644352862833,-15.081467263126207
16,A3,lorentzian_like_2d,KR_like,0.6931713227899616,0.714628490589803,-19.90447293771159
10,A3,lorentzian_like_2d,multi_layer_random,0.3936420810626894,0.5763256112228472,-28.705381754360587
12,A3,lorentzian_like_2d,multi_layer_random,0.41517191985090685,0.5234338956335081,-24.69185021228397
14,A3,lorentzian_like_2d,multi_layer_random,0.5462101216878325,0.6015826780309412,-21.42593582243196
16,A3,lorentzian_like_2d,multi_layer_random,0.42465913268079664,0.8012766378079899,-36.93612619394908
10,A3,lorentzian_like_2d,transitive_percolation,0.15041679408673514,1.7250698151850918,-227.64689967252534
12,A3,lorentzian_like_2d,transitive_percolation,0.2751961550915538,2.0515798278819686,-147.0478745012991
14,A3,lorentzian_like_2d,transitive_percolation,0.25615209935414246,2.1130088903090716,-162.86778928677214
16,A3,lorentzian_like_2d,transitive_percolation,0.24256486201632618,1.8591060770542531,-151.42823006886482
