n,action_mode,family_a,family_b,gamma_c_est,diff_at_min_gamma,diff_at_max_gamma
20,A2,lorentzian_like_2d,KR_like,0.1457815885636143,0.9301099109265746,-11.830210786507791
24,A2,lorentzian_like_2d,KR_like,0.2616983977086805,3.1575477051994243,-20.973648609684915
28,A2,lorentzian_like_2d,KR_like,0.994891622812392,7.6534612287169805,-7.73205625525163
32,A2,lorentzian_like_2d,KR_like,0.693873780018912,7.077273615098414,-13.322037668592166
36,A2,lorentzian_like_2d,KR_like,0.5699248597343911,5.174865760223674,-12.984951878316881
40,A2,lorentzian_like_2d,KR_like,0.24752687802077167,2.7123098285856284,-19.202965395448988
20,A3,lorentzian_like_2d,KR_like,0.14587099296736325,0.9301099109265746,-11.822389979640082
24,A3,lorentzian_like_2d,KR_like,0.26251454420626763,3.1575477051994243,-20.89862575175327
28,A3,lorentzian_like_2d,KR_like,0.9995331959308966,7.6534612287169805,-7.660609899434138
32,A3,lorentzian_like_2d,KR_like,0.6963887829853344,7.077273615098414,-13.248365705968762
36,A3,lorentzian_like_2d,KR_like,0.572739223382198,5.174865760223674,-12.895716972575837
40,A3,lorentzian_like_2d,KR_like,0.2485827842766533,2.7123098285856284,-19.109875778339095
