n,family,attempts,accepted,acceptance_rate,regime
20,lorentzian_like_2d,7,6,0.8571428571428571,comp_only
20,lorentzian_like_3d,170,6,0.03529411764705882,comp_only
20,lorentzian_like_4d,800,0,0.0,comp_only
20,lorentzian_like_2d,8,6,0.75,comp_height
20,lorentzian_like_3d,695,6,0.008633093525179856,comp_height
20,lorentzian_like_4d,800,0,0.0,comp_height
20,lorentzian_like_2d,8,6,0.75,comp_height_width
20,lorentzian_like_3d,800,3,0.00375,comp_height_width
20,lorentzian_like_4d,800,0,0.0,comp_height_width
30,lorentzian_like_2d,7,6,0.8571428571428571,comp_only
30,lorentzian_like_3d,800,1,0.00125,comp_only
30,lorentzian_like_4d,800,0,0.0,comp_only
30,lorentzian_like_2d,11,6,0.5454545454545454,comp_height
30,lorentzian_like_3d,800,0,0.0,comp_height
30,lorentzian_like_4d,800,0,0.0,comp_height
30,lorentzian_like_2d,11,6,0.5454545454545454,comp_height_width
30,lorentzian_like_3d,800,0,0.0,comp_height_width
30,lorentzian_like_4d,800,0,0.0,comp_height_width
