family,N,rep,F7,comp_frac,wasserstein,delta_H_int,P_basin,n_trials
Lor2D,16,0,28.719646133974365,0.5583333333333333,0.7094813289872479,0.5153629331984826,0.3333333333333333,6
Lor2D,16,1,25.8970042841266,0.6,0.650372185911402,0.4481473703816552,0.6666666666666666,6
Lor2D,16,2,24.8471873693082,0.675,0.9327325046623302,0.49280733958059875,0.5,6
Lor2D,16,3,28.946768261533293,0.45,0.4619317858565169,0.35160304868223125,0.16666666666666666,6
Lor2D,16,4,29.341760316934053,0.4666666666666667,0.37207395038464663,0.26367920515330745,0.0,6
Lor3D,16,0,18.796918217342814,0.38333333333333336,0.13400307422046545,0.2861097423380878,0.3333333333333333,6
Lor3D,16,1,35.65560897194109,0.2833333333333333,0.20533769063180818,0.2592260887034801,0.0,6
Lor3D,16,2,32.652901172127855,0.36666666666666664,0.27489177489177496,0.3011635241683355,0.0,6
Lor3D,16,3,26.29598710675027,0.3,0.07361541107671139,0.03389350947455705,0.16666666666666666,6
Lor3D,16,4,17.986054655755748,0.325,0.30730380730380735,0.433442636096215,0.6666666666666666,6
Lor4D,16,0,19.24609473728995,0.26666666666666666,0.14912280701754385,0.19404155137125617,0.6666666666666666,6
Lor4D,16,1,21.69636540784011,0.15833333333333333,0.07212475633528266,0.2202183923025054,1.0,6
Lor4D,16,2,20.776957631412674,0.15,0.05555555555555558,0.2145591551764051,1.0,6
Lor4D,16,3,23.207600084559807,0.13333333333333333,0.0,0.0,1.0,6
Lor4D,16,4,18.96359083485689,0.25833333333333336,0.15749525616698287,0.35757852132910095,0.3333333333333333,6
Lor5D,16,0,23.37250839158096,0.15,0.0,0.0,1.0,6
Lor5D,16,1,24.21581949890358,0.1,0.0,0.0,1.0,6
Lor5D,16,2,21.639753907380175,0.11666666666666667,0.0714285714285714,0.25731864054383163,1.0,6
Lor5D,16,3,25.453948318301766,0.058333333333333334,0.0,0.0,1.0,6
Lor5D,16,4,21.54306177585756,0.15,0.11616161616161613,0.29251477118035885,0.8333333333333334,6
KR,16,0,33.59142338766058,0.39166666666666666,0.17746428204337553,0.20464568495664814,0.0,6
KR,16,1,37.24860430420763,0.4166666666666667,0.33095008051529795,0.22759164387674147,0.0,6
KR,16,2,34.06693592853966,0.3333333333333333,0.18066448801742926,0.25222171613166655,0.0,6
KR,16,3,37.87158821042895,0.4083333333333333,0.29363211951447243,0.3607984427174853,0.0,6
KR,16,4,35.37461463167922,0.26666666666666666,0.17971611721611724,0.2574719884870837,0.0,6
Lor2D,20,0,34.42050753563638,0.4421052631578947,0.5332080200501257,0.37728146468854984,0.0,6
Lor2D,20,1,32.7410439458644,0.5263157894736842,0.5553207369904483,0.29682843304216777,0.16666666666666666,6
Lor2D,20,2,35.81136766073342,0.4789473684210526,0.66705658810922,0.41973992402955207,0.3333333333333333,6
Lor2D,20,3,34.09214426670026,0.47368421052631576,0.7007865191433872,0.44268887062238327,0.16666666666666666,6
Lor2D,20,4,30.983661060993242,0.5947368421052631,0.583125551776412,0.2669041395767029,0.3333333333333333,6
Lor3D,20,0,41.15512100719943,0.2894736842105263,0.23657959687371452,0.27035155023908963,0.0,6
Lor3D,20,1,27.282806203450342,0.2789473684210526,0.14392033542976934,0.22677722783387294,0.6666666666666666,6
Lor3D,20,2,41.48761219705575,0.2631578947368421,0.3111612364243943,0.4333606333320398,0.0,6
Lor3D,20,3,30.053204918072773,0.2631578947368421,0.25846153846153846,0.13600904388638396,0.6666666666666666,6
Lor3D,20,4,39.60963778690038,0.3736842105263158,0.19332016439407265,0.24393111215012453,0.0,6
Lor4D,20,0,30.85974182773542,0.1631578947368421,0.09203218965527978,0.024477400224361012,1.0,6
Lor4D,20,1,29.864550914019954,0.18947368421052632,0.08730158730158737,0.2630592156617547,1.0,6
Lor4D,20,2,37.74536596192489,0.16842105263157894,0.11538461538461538,0.23178242243566677,0.6666666666666666,6
Lor4D,20,3,31.321157767164866,0.2,0.2573099415204681,0.07232730534929971,1.0,6
Lor4D,20,4,29.584486762854713,0.20526315789473684,0.02564102564102566,0.11924692639624491,1.0,6
Lor5D,20,0,34.498005288445825,0.08947368421052632,0.0,0.0,1.0,6
Lor5D,20,1,33.674092378714455,0.1,0.0,0.0,1.0,6
Lor5D,20,2,34.20764226306217,0.08421052631578947,0.1369047619047619,0.177346965061351,1.0,6
Lor5D,20,3,33.57438848029002,0.12631578947368421,0.10227272727272725,0.21872372357049097,1.0,6
Lor5D,20,4,34.89384170215524,0.10526315789473684,0.0,0.0,1.0,6
KR,20,0,44.39061896587439,0.4,0.2623363965469234,0.2839651172368862,0.0,6
KR,20,1,43.50931990321317,0.39473684210526316,0.3550261924455473,0.27133702827799244,0.0,6
KR,20,2,43.774323209610905,0.41578947368421054,0.24801244769599248,0.16900439361104014,0.0,6
KR,20,3,44.07376887043009,0.39473684210526316,0.30066534101873543,0.19639253524728417,0.16666666666666666,6
KR,20,4,43.636364641845,0.41578947368421054,0.46475130427552963,0.36335407767968486,0.0,6
Lor2D,28,0,44.17245658531818,0.4603174603174603,0.8103262203522986,0.349360305334004,0.0,6
Lor2D,28,1,43.570356354507204,0.5079365079365079,0.5535985724092508,0.18704513670317224,0.0,6
Lor2D,28,2,44.41019366206239,0.43915343915343913,0.6772945007261582,0.3330280397732399,0.0,6
Lor2D,28,3,42.12043494752875,0.5291005291005291,0.7721761474393051,0.3072757184635757,0.0,6
Lor2D,28,4,43.99577375169642,0.48677248677248675,0.9126025401562322,0.40116528668028595,0.3333333333333333,6
Lor3D,28,0,57.14096729804503,0.2619047619047619,0.33900449494914603,0.28431735751753273,0.0,6
Lor3D,28,1,58.00056714025516,0.2751322751322751,0.18553385471488973,0.2021977330920115,0.0,6
Lor3D,28,2,46.614735125033306,0.22486772486772486,0.1702087672675907,0.2782639347731844,0.8333333333333334,6
Lor3D,28,3,57.593267094202616,0.34656084656084657,0.1423855054517684,0.15383748936774655,0.0,6
Lor3D,28,4,58.71639257833674,0.2857142857142857,0.20091520277597066,0.2631971408754614,0.0,6
Lor4D,28,0,53.81469288564762,0.11904761904761904,0.24074074074074073,0.28490256543792475,0.8333333333333334,6
Lor4D,28,1,51.061028914870576,0.16137566137566137,0.017333066773290755,0.022599498370374782,0.6666666666666666,6
Lor4D,28,2,50.919948861553756,0.14285714285714285,0.07265993265993269,0.19121355086277794,1.0,6
Lor4D,28,3,50.36130255120535,0.21693121693121692,0.02019148480958492,0.010840827576694634,0.8333333333333334,6
Lor4D,28,4,51.02938835322798,0.1984126984126984,0.09517241379310348,0.2894906345643933,1.0,6
Lor5D,28,0,56.89044976180664,0.07936507936507936,0.11111111111111105,0.16775067467068983,1.0,6
Lor5D,28,1,57.4495987106612,0.08994708994708994,0.0,0.0,0.8333333333333334,6
Lor5D,28,2,54.90877355716518,0.082010582010582,0.02859916367980886,0.006944403901550322,1.0,6
Lor5D,28,3,56.20413288037226,0.12433862433862433,0.0,0.0,1.0,6
Lor5D,28,4,55.21113752081769,0.12698412698412698,0.0,0.0,1.0,6
KR,28,0,60.0100600397897,0.37566137566137564,0.38145248663195047,0.12555714271011698,0.0,6
KR,28,1,59.062529460416954,0.3968253968253968,0.39193809193809165,0.108815062393953,0.0,6
KR,28,2,59.93604828936563,0.41005291005291006,0.531633091664563,0.14054941159269507,0.0,6
KR,28,3,59.432893539723246,0.38095238095238093,0.3191633597883603,0.17312132090626364,0.0,6
KR,28,4,58.35605235336659,0.3862433862433862,0.49730560887334074,0.11938677805477149,0.0,6
Lor2D,36,0,53.69743585001327,0.5523809523809524,1.379441607421418,0.3802294707197573,0.0,6
Lor2D,36,1,58.34144644637314,0.49682539682539684,1.150626411685371,0.39743579472994095,0.0,6
Lor2D,36,2,58.20191276041659,0.4793650793650794,1.0616423270178108,0.33731115937262435,0.0,6
Lor2D,36,3,56.32984035952909,0.5698412698412698,0.9201412374909799,0.25882443753716444,0.3333333333333333,6
Lor2D,36,4,61.805876617982506,0.38571428571428573,0.9273396798332859,0.3817015448365486,0.0,6
Lor3D,36,0,74.38377436461023,0.29365079365079366,0.4932921932921923,0.4039830164319931,0.0,6
Lor3D,36,1,73.11218652036074,0.30317460317460315,0.4552499680755974,0.3391474747411003,0.0,6
Lor3D,36,2,73.47986219656549,0.28095238095238095,0.28189054095490435,0.19134290817513766,0.0,6
Lor3D,36,3,76.74679050699744,0.3333333333333333,0.29948525558202027,0.2343090122755922,0.0,6
Lor3D,36,4,81.51194276897368,0.17936507936507937,0.22823875144743014,0.2883817913779544,0.0,6
Lor4D,36,0,79.02360426453095,0.1746031746031746,0.15356951848179914,0.23923815362605672,0.0,6
Lor4D,36,1,71.01658272673349,0.19365079365079366,0.059814757535141094,0.0638868807354126,1.0,6
Lor4D,36,2,78.62632983248311,0.18412698412698414,0.11335705163291361,0.19269890179403593,0.16666666666666666,6
Lor4D,36,3,71.11593088530782,0.22857142857142856,0.07704886333064298,0.17790797647009182,0.3333333333333333,6
Lor4D,36,4,86.0445599266187,0.09682539682539683,0.11852288084440381,0.15634600674671473,0.0,6
Lor5D,36,0,78.94143610801765,0.08888888888888889,0.0535714285714286,0.20889975708752806,0.8333333333333334,6
Lor5D,36,1,75.195669237037,0.1365079365079365,0.05101176758153503,0.11381857722560268,0.8333333333333334,6
Lor5D,36,2,77.28750478847562,0.10476190476190476,0.021485011404366244,0.01036145005186151,0.6666666666666666,6
Lor5D,36,3,76.62788641405274,0.1619047619047619,0.0382944201523527,0.05192211911837907,0.6666666666666666,6
Lor5D,36,4,83.2376432900185,0.05555555555555555,0.0,0.0,1.0,6
KR,36,0,79.00832172689437,0.3968253968253968,0.7455842914147998,0.010864568787796403,0.0,6
KR,36,1,78.20877740281153,0.4095238095238095,0.5892822192958516,0.013993818926734125,0.0,6
KR,36,2,77.15378885618793,0.3634920634920635,0.4140143260943597,0.18562549586374777,0.0,6
KR,36,3,78.38389050561481,0.4031746031746032,0.7003509710140016,0.04340879272807152,0.0,6
KR,36,4,78.13483777030207,0.3634920634920635,0.5023945400802267,0.14671892318019286,0.0,6
