stage,n,n_cg,family,sample_id,keep_ratio,cg_repeat,gamma,beta,action_mode,entropy_method,log_H,penalty_local,score_local,penalty_global_consistency,score_augmented,score_augmented_full,sig_comp,sig_d_eff,sig_height_ratio,sig_width_ratio,sig_degree_var,sig_interval_empty,sig_interval_size_ratio,base_family_rank
original,20,20,lorentzian_like_2d,0,1.0,0,0.2,1.0,A1,sis,24.01394060220512,0.07201111111111111,-23.999538379982898,0.0,-23.999538379982898,-23.999538379982898,0.49473684210526314,2.0369789473684214,0.3,0.25,0.048400000000000006,0.359375,0.07265625,5
original,20,20,lorentzian_like_2d,0,1.0,0,0.8,1.0,A1,sis,24.01394060220512,0.07201111111111111,-23.95633171331623,0.0,-23.95633171331623,-23.95633171331623,0.49473684210526314,2.0369789473684214,0.3,0.25,0.048400000000000006,0.359375,0.07265625,5
original,20,20,lorentzian_like_2d,1,1.0,0,0.2,1.0,A1,sis,21.698695739665496,0.05130277777777778,-21.68843518410994,0.0,-21.68843518410994,-21.68843518410994,0.4421052631578947,2.3527684210526316,0.3,0.25,0.036025,0.375,0.0765625,5
original,20,20,lorentzian_like_2d,1,1.0,0,0.8,1.0,A1,sis,21.698695739665496,0.05130277777777778,-21.657653517443272,0.0,-21.657653517443272,-21.657653517443272,0.4421052631578947,2.3527684210526316,0.3,0.25,0.036025,0.375,0.0765625,5
original,20,20,lorentzian_like_2d,2,1.0,0,0.2,1.0,A1,sis,23.193584172846517,0.08197152777777778,-23.177189867290963,0.0,-23.177189867290963,-23.177189867290963,0.45789473684210524,2.2580315789473686,0.3,0.3,0.04169375,0.328125,0.06640625,5
original,20,20,lorentzian_like_2d,2,1.0,0,0.8,1.0,A1,sis,23.193584172846517,0.08197152777777778,-23.128006950624293,0.0,-23.128006950624293,-23.128006950624293,0.45789473684210524,2.2580315789473686,0.3,0.3,0.04169375,0.328125,0.06640625,5
original,20,20,lorentzian_like_2d,3,1.0,0,0.2,1.0,A1,sis,21.744387841734152,0.059277777777777776,-21.732532286178596,0.0,-21.732532286178596,-21.732532286178596,0.42105263157894735,2.479084210526316,0.3,0.25,0.0315,0.4375,0.06796875,5
original,20,20,lorentzian_like_2d,3,1.0,0,0.8,1.0,A1,sis,21.744387841734152,0.059277777777777776,-21.69696561951193,0.0,-21.69696561951193,-21.69696561951193,0.42105263157894735,2.479084210526316,0.3,0.25,0.0315,0.4375,0.06796875,5
original,20,20,lorentzian_like_3d,0,1.0,0,0.2,1.0,A1,sis,29.64915293301262,0.11050277777777778,-29.627052377457062,0.0,-29.627052377457062,-29.627052377457062,0.3263157894736842,3.0475052631578947,0.15,0.5,0.03272500000000001,0.7741935483870968,0.012096774193548387,2
original,20,20,lorentzian_like_3d,0,1.0,0,0.8,1.0,A1,sis,29.64915293301262,0.11050277777777778,-29.560750710790398,0.0,-29.560750710790398,-29.560750710790398,0.3263157894736842,3.0475052631578947,0.15,0.5,0.03272500000000001,0.7741935483870968,0.012096774193548387,2
original,20,20,lorentzian_like_3d,1,1.0,0,0.2,1.0,A1,sis,31.922483788028597,0.22983611111111107,-31.876516565806373,0.0,-31.876516565806373,-31.876516565806373,0.22105263157894736,3.679084210526316,0.15,0.6,0.018725000000000002,0.8809523809523809,0.013095238095238096,2
original,20,20,lorentzian_like_3d,1,1.0,0,0.8,1.0,A1,sis,31.922483788028597,0.22983611111111107,-31.73861489913971,0.0,-31.73861489913971,-31.73861489913971,0.22105263157894736,3.679084210526316,0.15,0.6,0.018725000000000002,0.8809523809523809,0.013095238095238096,2
original,20,20,lorentzian_like_3d,2,1.0,0,0.2,1.0,A1,sis,30.198091350124795,0.10442777777777776,-30.17720579456924,0.0,-30.17720579456924,-30.17720579456924,0.29473684210526313,3.236978947368421,0.15,0.5,0.02665,0.8571428571428571,0.010714285714285714,2
original,20,20,lorentzian_like_3d,2,1.0,0,0.8,1.0,A1,sis,30.198091350124795,0.10442777777777776,-30.114549127902574,0.0,-30.114549127902574,-30.114549127902574,0.29473684210526313,3.236978947368421,0.15,0.5,0.02665,0.8571428571428571,0.010714285714285714,2
original,20,20,lorentzian_like_3d,3,1.0,0,0.2,1.0,A1,sis,27.630676755843417,0.0381,-27.623056755843418,0.0,-27.623056755843418,-27.623056755843418,0.2736842105263158,3.3632947368421053,0.2,0.3,0.019350000000000003,0.6538461538461539,0.022115384615384613,2
original,20,20,lorentzian_like_3d,3,1.0,0,0.8,1.0,A1,sis,27.630676755843417,0.0381,-27.600196755843417,0.0,-27.600196755843417,-27.600196755843417,0.2736842105263158,3.3632947368421053,0.2,0.3,0.019350000000000003,0.6538461538461539,0.022115384615384613,2
original,20,20,lorentzian_like_4d,0,1.0,0,0.2,1.0,A1,sis,32.47051599016818,0.11977152777777776,-32.446561684612625,0.0,-32.446561684612625,-32.446561684612625,0.21578947368421053,3.7106631578947367,0.15,0.5,0.01699375,0.8536585365853658,0.007317073170731707,1
original,20,20,lorentzian_like_4d,0,1.0,0,0.8,1.0,A1,sis,32.47051599016818,0.11977152777777776,-32.37469876794596,0.0,-32.37469876794596,-32.37469876794596,0.21578947368421053,3.7106631578947367,0.15,0.5,0.01699375,0.8536585365853658,0.007317073170731707,1
original,20,20,lorentzian_like_4d,1,1.0,0,0.2,1.0,A1,sis,35.36105964644932,0.26249652777777777,-35.30856034089376,0.0,-35.30856034089376,-35.30856034089376,0.13157894736842105,4.215926315789474,0.15,0.6,0.00971875,0.92,0.004,1
original,20,20,lorentzian_like_4d,1,1.0,0,0.8,1.0,A1,sis,35.36105964644932,0.26249652777777777,-35.1510624242271,0.0,-35.1510624242271,-35.1510624242271,0.13157894736842105,4.215926315789474,0.15,0.6,0.00971875,0.92,0.004,1
original,20,20,lorentzian_like_4d,2,1.0,0,0.2,1.0,A1,sis,35.40552708815253,0.023443750000000006,-35.40083833815253,0.0,-35.40083833815253,-35.40083833815253,0.14210526315789473,4.152768421052632,0.1,0.55,0.010943749999999999,1.0,0.0,1
original,20,20,lorentzian_like_4d,2,1.0,0,0.8,1.0,A1,sis,35.40552708815253,0.023443750000000006,-35.38677208815253,0.0,-35.38677208815253,-35.38677208815253,0.14210526315789473,4.152768421052632,0.1,0.55,0.010943749999999999,1.0,0.0,1
original,20,20,lorentzian_like_4d,3,1.0,0,0.2,1.0,A1,sis,31.993981901958982,0.1474548611111111,-31.96449092973676,0.0,-31.96449092973676,-31.96449092973676,0.18421052631578946,3.900136842105263,0.15,0.45,0.01134375,0.8857142857142857,0.005714285714285714,1
original,20,20,lorentzian_like_4d,3,1.0,0,0.8,1.0,A1,sis,31.993981901958982,0.1474548611111111,-31.876018013070095,0.0,-31.876018013070095,-31.876018013070095,0.18421052631578946,3.900136842105263,0.15,0.45,0.01134375,0.8857142857142857,0.005714285714285714,1
