stage,n,n_cg,family,sample_id,keep_ratio,cg_repeat,gamma,beta,action_mode,entropy_method,log_H,penalty_local,score_local,penalty_global_consistency,score_augmented,score_augmented_full,sig_comp,sig_d_eff,sig_height_ratio,sig_width_ratio,sig_degree_var,sig_interval_empty,sig_interval_size_ratio,base_family_rank
original,20,20,KR_like,0,1.0,0,0.2,1.0,A2,sis,27.416554839931507,9.903069600868196,-25.43594091975787,0.0,-25.43594091975787,-25.43594091975787,0.3631578947368421,2.826452631578947,0.15,0.45,0.032993749999999995,0.65625,0.0359375,2
original,20,20,KR_like,0,1.0,0,0.8,1.0,A2,sis,27.416554839931507,9.903069600868196,-19.49409915923695,0.0,-19.49409915923695,-19.49409915923695,0.3631578947368421,2.826452631578947,0.15,0.45,0.032993749999999995,0.65625,0.0359375,3
original,20,20,KR_like,1,1.0,0,0.2,1.0,A2,sis,27.36789998847251,11.694923709085392,-25.02891524665543,0.0,-25.02891524665543,-25.02891524665543,0.34210526315789475,2.9527684210526317,0.15,0.45,0.03046875,0.65625,0.03984375,2
original,20,20,KR_like,1,1.0,0,0.8,1.0,A2,sis,27.36789998847251,11.694923709085392,-18.011961021204193,0.0,-18.011961021204193,-18.011961021204193,0.34210526315789475,2.9527684210526317,0.15,0.45,0.03046875,0.65625,0.03984375,3
original,20,20,KR_like,2,1.0,0,0.2,1.0,A2,sis,26.456228758781762,7.258694412760123,-25.004489876229737,0.0,-25.004489876229737,-25.004489876229737,0.41578947368421054,2.510663157894737,0.15,0.5,0.04099375,0.671875,0.0484375,2
original,20,20,KR_like,2,1.0,0,0.8,1.0,A2,sis,26.456228758781762,7.258694412760123,-20.649273228573662,0.0,-20.649273228573662,-20.649273228573662,0.41578947368421054,2.510663157894737,0.15,0.5,0.04099375,0.671875,0.0484375,3
original,20,20,KR_like,3,1.0,0,0.2,1.0,A2,sis,26.745631905415895,8.726784817064528,-25.00027494200299,0.0,-25.00027494200299,-25.00027494200299,0.37894736842105264,2.731715789473684,0.15,0.45,0.034975000000000006,0.65625,0.04140625,2
original,20,20,KR_like,3,1.0,0,0.8,1.0,A2,sis,26.745631905415895,8.726784817064528,-19.76420405176427,0.0,-19.76420405176427,-19.76420405176427,0.37894736842105264,2.731715789473684,0.15,0.45,0.034975000000000006,0.65625,0.04140625,3
original,20,20,lorentzian_like_2d,0,1.0,0,0.2,1.0,A2,sis,24.01394060220512,0.2624202092601939,-23.96145656035308,0.0,-23.96145656035308,-23.96145656035308,0.49473684210526314,2.0369789473684214,0.3,0.25,0.048400000000000006,0.359375,0.07265625,5
original,20,20,lorentzian_like_2d,0,1.0,0,0.8,1.0,A2,sis,24.01394060220512,0.2624202092601939,-23.804004434796965,0.0,-23.804004434796965,-23.804004434796965,0.49473684210526314,2.0369789473684214,0.3,0.25,0.048400000000000006,0.359375,0.07265625,1
original,20,20,lorentzian_like_2d,1,1.0,0,0.2,1.0,A2,sis,21.698695739665496,1.1514919313285223,-21.46839735339979,0.0,-21.46839735339979,-21.46839735339979,0.4421052631578947,2.3527684210526316,0.3,0.25,0.036025,0.375,0.0765625,5
original,20,20,lorentzian_like_2d,1,1.0,0,0.8,1.0,A2,sis,21.698695739665496,1.1514919313285223,-20.77750219460268,0.0,-20.77750219460268,-20.77750219460268,0.4421052631578947,2.3527684210526316,0.3,0.25,0.036025,0.375,0.0765625,1
original,20,20,lorentzian_like_2d,2,1.0,0,0.2,1.0,A2,sis,23.193584172846517,0.6850194338165598,-23.056580286083204,0.0,-23.056580286083204,-23.056580286083204,0.45789473684210524,2.2580315789473686,0.3,0.3,0.04169375,0.328125,0.06640625,5
original,20,20,lorentzian_like_2d,2,1.0,0,0.8,1.0,A2,sis,23.193584172846517,0.6850194338165598,-22.64556862579327,0.0,-22.64556862579327,-22.64556862579327,0.45789473684210524,2.2580315789473686,0.3,0.3,0.04169375,0.328125,0.06640625,1
original,20,20,lorentzian_like_2d,3,1.0,0,0.2,1.0,A2,sis,21.744387841734152,1.984045435483647,-21.34757875463742,0.0,-21.34757875463742,-21.34757875463742,0.42105263157894735,2.479084210526316,0.3,0.25,0.0315,0.4375,0.06796875,5
original,20,20,lorentzian_like_2d,3,1.0,0,0.8,1.0,A2,sis,21.744387841734152,1.984045435483647,-20.157151493347236,0.0,-20.157151493347236,-20.157151493347236,0.42105263157894735,2.479084210526316,0.3,0.25,0.0315,0.4375,0.06796875,1
original,20,20,lorentzian_like_3d,0,1.0,0,0.2,1.0,A2,sis,29.64915293301262,13.118192743614152,-27.02551438428979,0.0,-27.02551438428979,-27.02551438428979,0.3263157894736842,3.0475052631578947,0.15,0.5,0.03272500000000001,0.7741935483870968,0.012096774193548387,1
original,20,20,lorentzian_like_3d,0,1.0,0,0.8,1.0,A2,sis,29.64915293301262,13.118192743614152,-19.154598738121297,0.0,-19.154598738121297,-19.154598738121297,0.3263157894736842,3.0475052631578947,0.15,0.5,0.03272500000000001,0.7741935483870968,0.012096774193548387,4
original,20,20,lorentzian_like_3d,1,1.0,0,0.2,1.0,A2,sis,31.922483788028597,31.326264796481265,-25.657230828732345,0.0,-25.657230828732345,-25.657230828732345,0.22105263157894736,3.679084210526316,0.15,0.6,0.018725000000000002,0.8809523809523809,0.013095238095238096,1
original,20,20,lorentzian_like_3d,1,1.0,0,0.8,1.0,A2,sis,31.922483788028597,31.326264796481265,-6.861471950843583,0.0,-6.861471950843583,-6.861471950843583,0.22105263157894736,3.679084210526316,0.15,0.6,0.018725000000000002,0.8809523809523809,0.013095238095238096,4
original,20,20,lorentzian_like_3d,2,1.0,0,0.2,1.0,A2,sis,30.198091350124795,17.758345812631102,-26.646422187598574,0.0,-26.646422187598574,-26.646422187598574,0.29473684210526313,3.236978947368421,0.15,0.5,0.02665,0.8571428571428571,0.010714285714285714,1
original,20,20,lorentzian_like_3d,2,1.0,0,0.8,1.0,A2,sis,30.198091350124795,17.758345812631102,-15.991414700019913,0.0,-15.991414700019913,-15.991414700019913,0.29473684210526313,3.236978947368421,0.15,0.5,0.02665,0.8571428571428571,0.010714285714285714,4
original,20,20,lorentzian_like_3d,3,1.0,0,0.2,1.0,A2,sis,27.630676755843417,15.528148671529168,-24.525047021537585,0.0,-24.525047021537585,-24.525047021537585,0.2736842105263158,3.3632947368421053,0.2,0.3,0.019350000000000003,0.6538461538461539,0.022115384615384613,1
original,20,20,lorentzian_like_3d,3,1.0,0,0.8,1.0,A2,sis,27.630676755843417,15.528148671529168,-15.208157818620082,0.0,-15.208157818620082,-15.208157818620082,0.2736842105263158,3.3632947368421053,0.2,0.3,0.019350000000000003,0.6538461538461539,0.022115384615384613,4
original,20,20,transitive_percolation,0,1.0,0,0.2,1.0,A2,sis,33.15195041178036,43.99727329611578,-24.352495752557203,0.0,-24.352495752557203,-24.352495752557203,0.12631578947368421,4.247505263157895,0.15,0.45,0.0069,0.75,0.0125,4
original,20,20,transitive_percolation,0,1.0,0,0.8,1.0,A2,sis,33.15195041178036,43.99727329611578,2.0458682251122653,0.0,2.0458682251122653,2.0458682251122653,0.12631578947368421,4.247505263157895,0.15,0.45,0.0069,0.75,0.0125,5
original,20,20,transitive_percolation,1,1.0,0,0.2,1.0,A2,sis,32.96933257957754,42.24666392230261,-24.519999795117016,0.0,-24.519999795117016,-24.519999795117016,0.12631578947368421,4.247505263157895,0.2,0.45,0.0069,0.6666666666666666,0.01875,4
original,20,20,transitive_percolation,1,1.0,0,0.8,1.0,A2,sis,32.96933257957754,42.24666392230261,0.8279985582645466,0.0,0.8279985582645466,0.8279985582645466,0.12631578947368421,4.247505263157895,0.2,0.45,0.0069,0.6666666666666666,0.01875,5
original,20,20,transitive_percolation,2,1.0,0,0.2,1.0,A2,sis,28.53680349951388,19.63442028738003,-24.609919442037874,0.0,-24.609919442037874,-24.609919442037874,0.24210526315789474,3.552768421052632,0.25,0.35,0.016774999999999998,0.43478260869565216,0.04021739130434783,4
original,20,20,transitive_percolation,2,1.0,0,0.8,1.0,A2,sis,28.53680349951388,19.63442028738003,-12.829267269609854,0.0,-12.829267269609854,-12.829267269609854,0.24210526315789474,3.552768421052632,0.25,0.35,0.016774999999999998,0.43478260869565216,0.04021739130434783,5
original,20,20,transitive_percolation,3,1.0,0,0.2,1.0,A2,sis,32.411294930437236,41.89388499003678,-24.03251793242988,0.0,-24.03251793242988,-24.03251793242988,0.13157894736842105,4.215926315789474,0.2,0.5,0.00596875,0.72,0.016,4
original,20,20,transitive_percolation,3,1.0,0,0.8,1.0,A2,sis,32.411294930437236,41.89388499003678,1.1038130615921915,0.0,1.1038130615921915,1.1038130615921915,0.13157894736842105,4.215926315789474,0.2,0.5,0.00596875,0.72,0.016,5
original,20,20,multi_layer_random,0,1.0,0,0.2,1.0,A2,sis,23.773227535036067,1.433227982912294,-23.486581938453607,0.0,-23.486581938453607,-23.486581938453607,0.45789473684210524,2.2580315789473686,0.25,0.45,0.04569375,0.375,0.06171875,3
original,20,20,multi_layer_random,0,1.0,0,0.8,1.0,A2,sis,23.773227535036067,1.433227982912294,-22.62664514870623,0.0,-22.62664514870623,-22.62664514870623,0.45789473684210524,2.2580315789473686,0.25,0.45,0.04569375,0.375,0.06171875,2
original,20,20,multi_layer_random,1,1.0,0,0.2,1.0,A2,sis,28.259576281312135,15.97299190461839,-25.064977900388456,0.0,-25.064977900388456,-25.064977900388456,0.26842105263157895,3.3948736842105265,0.25,0.35,0.01886875,0.6078431372549019,0.03235294117647059,3
original,20,20,multi_layer_random,1,1.0,0,0.8,1.0,A2,sis,28.259576281312135,15.97299190461839,-15.481182757617423,0.0,-15.481182757617423,-15.481182757617423,0.26842105263157895,3.3948736842105265,0.25,0.35,0.01886875,0.6078431372549019,0.03235294117647059,2
original,20,20,multi_layer_random,2,1.0,0,0.2,1.0,A2,sis,24.354449620924076,0.8444034333291373,-24.18556893425825,0.0,-24.18556893425825,-24.18556893425825,0.45263157894736844,2.2896105263157893,0.25,0.3,0.045274999999999996,0.375,0.07265625,3
original,20,20,multi_layer_random,2,1.0,0,0.8,1.0,A2,sis,24.354449620924076,0.8444034333291373,-23.678926874260767,0.0,-23.678926874260767,-23.678926874260767,0.45263157894736844,2.2896105263157893,0.25,0.3,0.045274999999999996,0.375,0.07265625,2
original,20,20,multi_layer_random,3,1.0,0,0.2,1.0,A2,sis,28.04597835852801,13.92313947554428,-25.261350463419156,0.0,-25.261350463419156,-25.261350463419156,0.28421052631578947,3.300136842105263,0.25,0.35,0.023024999999999997,0.5925925925925926,0.02777777777777778,3
original,20,20,multi_layer_random,3,1.0,0,0.8,1.0,A2,sis,28.04597835852801,13.92313947554428,-16.907466778092584,0.0,-16.907466778092584,-16.907466778092584,0.28421052631578947,3.300136842105263,0.25,0.35,0.023024999999999997,0.5925925925925926,0.02777777777777778,2
original,30,30,KR_like,0,1.0,0,0.2,1.0,A2,sis,49.319663754606864,11.37692451026714,-47.04427885255344,0.0,-47.04427885255344,-47.04427885255344,0.37701149425287356,2.743331034482759,0.1,0.4666666666666667,0.035683950617283945,0.671875,0.03854166666666667,3
original,30,30,KR_like,0,1.0,0,0.8,1.0,A2,sis,49.319663754606864,11.37692451026714,-40.21812414639315,0.0,-40.21812414639315,-40.21812414639315,0.37701149425287356,2.743331034482759,0.1,0.4666666666666667,0.035683950617283945,0.671875,0.03854166666666667,2
original,30,30,KR_like,1,1.0,0,0.2,1.0,A2,sis,49.487317552337856,10.598532545124378,-47.367611043312984,0.0,-47.367611043312984,-47.367611043312984,0.3954022988505747,2.6329862068965517,0.1,0.5,0.038587654320987645,0.625,0.0515625,3
original,30,30,KR_like,1,1.0,0,0.8,1.0,A2,sis,49.487317552337856,10.598532545124378,-41.00849151623835,0.0,-41.00849151623835,-41.00849151623835,0.3954022988505747,2.6329862068965517,0.1,0.5,0.038587654320987645,0.625,0.0515625,2
original,30,30,KR_like,2,1.0,0,0.2,1.0,A2,sis,48.94687972689133,11.544920522739258,-46.63789562234348,0.0,-46.63789562234348,-46.63789562234348,0.37701149425287356,2.743331034482759,0.1,0.5,0.03549876543209876,0.59375,0.046875,3
original,30,30,KR_like,2,1.0,0,0.8,1.0,A2,sis,48.94687972689133,11.544920522739258,-39.710943308699925,0.0,-39.710943308699925,-39.710943308699925,0.37701149425287356,2.743331034482759,0.1,0.5,0.03549876543209876,0.59375,0.046875,2
original,30,30,KR_like,3,1.0,0,0.2,1.0,A2,sis,49.5797359201586,10.66085044954341,-47.447565830249914,0.0,-47.447565830249914,-47.447565830249914,0.3839080459770115,2.701951724137931,0.1,0.4666666666666667,0.036569135802469135,0.59375,0.052083333333333336,3
original,30,30,KR_like,3,1.0,0,0.8,1.0,A2,sis,49.5797359201586,10.66085044954341,-41.05105556052387,0.0,-41.05105556052387,-41.05105556052387,0.3839080459770115,2.701951724137931,0.1,0.4666666666666667,0.036569135802469135,0.59375,0.052083333333333336,2
original,30,30,lorentzian_like_2d,0,1.0,0,0.2,1.0,A2,sis,39.028230377581906,0.25849811403049855,-38.97653075477581,0.0,-38.97653075477581,-38.97653075477581,0.5011494252873563,1.9985034482758623,0.23333333333333334,0.23333333333333334,0.04651358024691357,0.40625,0.0875,5
original,30,30,lorentzian_like_2d,0,1.0,0,0.8,1.0,A2,sis,39.028230377581906,0.25849811403049855,-38.82143188635751,0.0,-38.82143188635751,-38.82143188635751,0.5011494252873563,1.9985034482758623,0.23333333333333334,0.23333333333333334,0.04651358024691357,0.40625,0.0875,4
