regime,n,family,mean_score_local,mean_log_H,mean_neutral_penalty,mean_comp,mean_height_ratio,mean_width_ratio,count,attempts,accepted,acceptance_rate,rank_local
comp_height,20,lorentzian_like_3d,-25.694050916574835,25.771069249908166,0.09627291666666667,0.43333333333333335,0.25,0.3333333333333333,6.0,695,6,0.008633093525179856,2
comp_height,20,lorentzian_like_2d,-20.665501070889725,20.719831178599474,0.0679126346371882,0.5166666666666666,0.3083333333333333,0.26666666666666666,6.0,8,6,0.75,3
comp_height,20,lorentzian_like_4d,,,,,,,,800,0,0.0,
comp_height,30,lorentzian_like_2d,-37.965951010182806,38.013440340828645,0.05936166330729823,0.4900383141762452,0.24444444444444446,0.2111111111111111,6.0,11,6,0.5454545454545454,1
comp_height,30,lorentzian_like_3d,,,,,,,,800,0,0.0,
comp_height,30,lorentzian_like_4d,,,,,,,,800,0,0.0,
comp_height_width,20,lorentzian_like_3d,-25.466942031009626,25.531427031009628,0.08060625,0.43333333333333335,0.25,0.2833333333333333,3.0,800,3,0.00375,2
comp_height_width,20,lorentzian_like_2d,-20.665501070889725,20.719831178599474,0.0679126346371882,0.5166666666666666,0.3083333333333333,0.26666666666666666,6.0,8,6,0.75,3
comp_height_width,20,lorentzian_like_4d,,,,,,,,800,0,0.0,
comp_height_width,30,lorentzian_like_2d,-37.965951010182806,38.013440340828645,0.05936166330729823,0.4900383141762452,0.24444444444444446,0.2111111111111111,6.0,11,6,0.5454545454545454,1
comp_height_width,30,lorentzian_like_3d,,,,,,,,800,0,0.0,
comp_height_width,30,lorentzian_like_4d,,,,,,,,800,0,0.0,
comp_only,20,lorentzian_like_3d,-26.42865870423077,26.502925370897433,0.09283333333333332,0.4280701754385965,0.20000000000000004,0.35833333333333334,6.0,170,6,0.03529411764705882,3
comp_only,20,lorentzian_like_2d,-20.492888414862975,20.54625717903531,0.06671095521541949,0.5105263157894736,0.31666666666666665,0.25833333333333336,6.0,7,6,0.8571428571428571,4
comp_only,20,lorentzian_like_4d,,,,,,,,800,0,0.0,
comp_only,30,lorentzian_like_3d,-46.71263131819748,46.76988958980242,0.07157283950617285,0.45057471264367815,0.2,0.26666666666666666,1.0,800,1,0.00125,1
comp_only,30,lorentzian_like_2d,-39.46657685249075,39.52186009680083,0.06910405538758714,0.49348659003831413,0.22777777777777777,0.2333333333333333,6.0,7,6,0.8571428571428571,2
comp_only,30,lorentzian_like_4d,,,,,,,,800,0,0.0,
