pairs_removed,pairs_remaining,r_layer_count,r_mean_layer_gap,r_hii,max_abs_delta_logH_remaining
0,50,-0.8268274224173715,-0.8175405913889475,-0.8388805599402495,18.281160535931875
1,49,-0.8192615302560347,-0.8086307210341068,-0.8318308578502724,17.196590350387737
2,48,-0.8097297271621715,-0.7967137657036885,-0.8219829809428151,16.39894538496874
3,47,-0.7987817775130639,-0.7813331246261987,-0.8104826871536536,16.212099156284594
4,46,-0.8013324937760017,-0.7897523686067214,-0.81595871215976,16.025560581146422
5,45,-0.8042354429218671,-0.790074756619984,-0.8184236131266036,15.384599891280814
6,44,-0.7912288517599981,-0.780213834331413,-0.8072113272981232,14.864202315334497
7,43,-0.7899930621227857,-0.7792416466297533,-0.8060521756679004,14.460914025674938
8,42,-0.7878256271567142,-0.790111801314017,-0.808010040334341,14.459482606097808
9,41,-0.7716328719462909,-0.7740200187781575,-0.793148642511504,14.167486681851216
10,40,-0.7937406699862094,-0.7719224191426807,-0.8072784473106585,14.161922230627226
11,39,-0.7754728692858882,-0.7484546452369358,-0.7887177725418109,13.967920161402802
12,38,-0.7703336052475194,-0.7705130185861404,-0.7914474596043076,13.961239503956447
13,37,-0.7651347384223163,-0.7734068479707976,-0.7889332327568599,13.49130181978947
14,36,-0.7381137280202291,-0.7440638988531754,-0.7632209285674648,13.23455098328384
15,35,-0.7255676673009813,-0.7277833484849374,-0.7502221071704983,12.790946089369292
16,34,-0.6879992999798419,-0.7048880074047112,-0.7181706286395974,12.713781676018629
17,33,-0.7071876589040516,-0.7115464559786698,-0.7346966393975293,12.054103378884776
18,32,-0.6600806762045641,-0.6664695289947069,-0.6918136470212964,11.32629086734832
19,31,-0.6256026119282214,-0.6348327061702416,-0.6596793076695057,10.876173924642742
