family,n,seed,log_H,antichain_width,comparable_fraction,penalty_neutral,penalty_geometric,score_A1_gamma,score_A2_gamma,geo_width_height,geo_dim_proxy_penalty,geo_dim_eff,geo_dim_consistency,geo_dim_consistency_global_d_eff,geo_dim_consistency_local_mean_d_eff,geo_dim_consistency_local_var_d_eff,geo_dim_consistency_local_count,geo_dim_multi_consistency,geo_dim_multi_consistency_var,geo_d_order,geo_d_chain,geo_d_width,geo_comparability_window,geo_cover_density,geo_interval_profile,geo_interval_shape,geo_layer_smoothness,geo_total,cg_mean_self_drift,cg_family_switch_rate,cg_mean_penalty
lorentzian_like_2d,44,1300001,59.47340138378098,8,0.5200845665961945,0.052058431801106475,0.9715588474111039,-59.431754638340095,-58.65450756041121,0.36740061236983224,0.013249713437417581,1.884892600422833,1.1657555517108218,1.884892600422833,1.3769652347652348,0.9077653429269544,26.0,1.1876944809535033,0.929704272169636,1.884892600422833,1.5781296526357755,1.8992834484146892,0.019623685798443653,0.0,0.0,0.0021076923076923113,0.001239669421487603,0.9715588474111039,0.007421724612601204,0.0,0.07421724612601205
lorentzian_like_2d,44,1300002,64.14217476663956,10,0.5084566596194503,0.060295249298857184,0.15242533423368082,-64.09393856720047,-63.97199829981353,0.01387284348843291,0.002055711765752302,1.9546600422832983,0.6043040679978906,1.9546600422832983,1.9876897102897104,0.6032131090292768,25.0,0.6456204558936864,0.6445294969250727,1.9546600422832983,1.7222589228935263,2.2197940277201997,0.01650111340058731,0.0,0.0,8.92561983471075e-05,0.004390495867768594,0.15242533423368082,0.006206131023285267,0.0,0.06206131023285267
lorentzian_like_2d,44,1300003,65.63221222550192,10,0.49682875264270615,0.062224660200805956,0.12530509411973273,-65.58243249734127,-65.48218842204548,0.013872843488432896,0.0005967019815937955,2.024427484143763,0.593933296905532,2.024427484143763,2.28383443106601,0.5266413327940105,27.0,0.6484308280465646,0.5811388639350431,2.024427484143763,1.8198105395457658,2.384545027140381,0.013648957444050619,0.0,0.0,0.0011453514739229026,0.002582644628099174,0.12530509411973273,0.006093396002061048,0.0,0.060933960020610474
lorentzian_like_2d,44,1300004,62.30536856866963,10,0.48625792811839325,0.04885787343760672,0.8676991968448454,-62.26628226991954,-61.57212291244367,0.36740061236983224,0.007718049683501042,2.0878524312896407,0.7860051178864121,2.0878524312896407,1.6668052608248687,0.6087243981300213,27.0,0.8302845993224471,0.6530038795660563,2.0878524312896407,1.5781296526357755,1.8992834484146892,0.011290747288013625,0.0,0.0,0.0,0.0017045454545454545,0.8676991968448454,0.005610159044539899,0.0,0.056101590445398974
lorentzian_like_2d,44,1300005,65.35110830282771,11,0.5063424947145877,0.05858226103909958,0.1395446523390045,-65.30424249399643,-65.19260677212523,0.01387284348843291,0.0010663469538593367,1.9673450317124739,1.0525610433268822,1.9673450317124739,1.705792167253037,0.9841511424199456,23.0,1.0938209185331278,1.0254110176261912,1.9673450317124739,1.7222589228935263,2.2197940277201997,0.01596242597070562,0.0,0.0,2.6619343389529743e-05,0.0036802685950413226,0.1395446523390045,0.007738469660349588,0.0,0.07738469660349588
lorentzian_like_2d,44,1300006,66.23564750770541,10,0.4799154334038055,0.053502364934089205,0.23771400688380254,-66.19284561575813,-66.00267441025109,0.013872843488432896,0.015852673268284424,2.125907399577167,0.9014169697168657,2.125907399577167,2.431534459254196,0.8080090701100394,24.0,0.9546962754492394,0.8612883758424132,2.125907399577167,1.8198105395457658,2.384545027140381,0.00998309383227029,0.0,0.0,0.0028787178369970613,0.004427390791027155,0.23771400688380254,0.009776569399538658,0.0,0.09776569399538658
multi_layer_random,44,1301975,73.90566712780468,11,0.49471458773784355,0.060907938323884976,1.373977936321194,-73.85694077714557,-72.75775842808861,0.6216650091125928,0.0013773356947020716,2.0371124735729387,2.546485872544121,2.0371124735729387,3.5164077422577424,0.35817138059087517,16.0,2.626665676495086,0.43835118454184036,2.0371124735729387,2.3512492185517644,2.7297158093186495,0.013159436639863404,0.0,0.0,0.006378324192734786,0.004390495867768594,1.373977936321194,0.006834457418885717,1.0,1.568344574188857
multi_layer_random,44,1302405,72.84955135463547,11,0.49365750528541225,0.06305916390615394,1.351561135137664,-72.79910402351054,-71.71785511540041,0.6216650091125928,0.0018883342688699519,2.0434549682875267,1.29281911112295,2.0434549682875267,3.114665734265734,0.14532660597533223,16.0,1.3715889114290807,0.22409640628146302,2.0434549682875267,2.3512492185517644,2.7297158093186495,0.012918028507703511,0.0,0.0,0.0017802791364479682,0.003357438016528926,1.351561135137664,0.009992693221499172,1.0,1.5999269322149916
multi_layer_random,44,1302464,72.96470320357045,11,0.492600422832981,0.05224967556860871,1.2827787850290064,-72.92290346311556,-71.89668043509236,0.4804530139182014,0.002479787321446898,2.049797463002114,2.6633892004097657,2.049797463002114,3.523066998917749,0.4928660749526945,16.0,2.706318651453636,0.5357955259965648,2.049797463002114,2.3512492185517644,2.5541158449458505,0.012678855222166108,0.0,0.0,0.04441747206917662,0.0019369834710743794,1.2827787850290064,0.007468107801573504,1.0,1.574681078015735
multi_layer_random,44,1302722,72.83106760015228,11,0.4989429175475687,0.05714602827675705,1.5568196796062315,-72.78535077753088,-71.5398950338459,0.6216650091125928,0.00013788618212212433,2.011742494714588,2.2673476227681775,2.011742494714588,3.2807509816017317,0.656965082976579,16.0,2.353346229028278,0.7429636892366794,2.011742494714588,2.3512492185517644,2.7297158093186495,0.014147417634727724,0.0,0.0,0.04482892561983472,0.0016787190082644624,1.5568196796062315,0.005890488035128941,1.0,1.5589048803512895
