family,n,seed,log_H,antichain_width,comparable_fraction,penalty_neutral,penalty_geometric,score_A1_gamma,score_A2_gamma,geo_width_height,geo_dim_proxy_penalty,geo_dim_eff,geo_dim_consistency,geo_dim_consistency_global_d_eff,geo_dim_consistency_local_mean_d_eff,geo_dim_consistency_local_var_d_eff,geo_dim_consistency_local_count,geo_dim_multi_consistency,geo_dim_multi_consistency_var,geo_d_order,geo_d_chain,geo_d_width,geo_comparability_window,geo_cover_density,geo_interval_profile,geo_interval_shape,geo_layer_smoothness,geo_total,cg_mean_self_drift,cg_family_switch_rate,cg_mean_penalty
lorentzian_like_2d,52,1980000,81.81073921807933,10,0.4577677224736048,0.04585225857567144,0.8609937112133978,-81.77405741121879,-81.08526244224808,0.10141277886331593,0.06697416112610322,2.2587936651583713,1.4191270305426866,2.2587936651583713,2.277088442101826,1.4187923316792759,27.0,1.4868685532445256,1.4865338543811148,2.2587936651583713,1.6477966170600444,2.110930186608689,0.006047818658731618,0.0,0.0,0.016773803522861588,0.0011094674556213018,0.8609937112133978,0.005151699627276621,0.3333333333333333,0.5515169962727662
lorentzian_like_2d,52,1980001,84.41119808350992,12,0.47285067873303166,0.053165018513007256,0.33095459508111186,-84.36866606869951,-84.10390239263462,0.011100838259683056,0.028323519247353712,2.16829592760181,0.6620724312693764,2.16829592760181,2.4913934997029115,0.5576803901717501,30.0,0.7175958758612778,0.6132038347636515,2.16829592760181,1.716003343634799,2.2526799312899013,0.008621248541184658,0.0,0.0,0.005331373141849333,0.001890203813280736,0.33095459508111186,0.0038178042188470474,0.0,0.03817804218847048
lorentzian_like_2d,52,1980003,80.45434639072397,10,0.5030165912518854,0.056846284049928225,0.125888028050798,-80.40886936348403,-80.30815894104339,0.011100838259683056,0.00016127850699207289,1.987300452488688,1.2049066429044273,1.987300452488688,1.8026599777999779,1.1708145380111552,30.0,1.2529122149909169,1.2188201100976448,1.987300452488688,1.716003343634799,2.2526799312899013,0.015133081723233436,0.0,0.0,0.0013333333333333357,0.002465483234714004,0.125888028050798,0.002013557724487544,0.0,0.020135577244875438
lorentzian_like_2d,52,1980004,77.15779795741989,9,0.4803921568627451,0.047041064519799725,0.2840422995538283,-77.12016510580405,-76.89293126616099,0.04979304449311734,0.015140578685121076,2.1230470588235293,1.0167066622985046,2.1230470588235293,1.6710103042812021,0.8123694348413444,36.0,1.0524620640727533,0.8481248366155931,2.1230470588235293,1.716003343634799,2.110930186608689,0.01007858515955402,0.0,0.0,0.0002925925925925929,0.0006985535831689678,0.2840422995538283,0.003600350174410055,0.0,0.036003501744100545
lorentzian_like_2d,52,1980005,76.52470950350217,9,0.4962292609351433,0.05042673164990935,1.5264825163421225,-76.48436811818223,-75.26318210510854,0.7179136642167333,0.0007853689228312149,2.02802443438914,1.6337310977905277,2.02802443438914,1.213919185814186,0.9709637420332399,40.0,1.6816907648484734,1.0189234090911854,2.02802443438914,1.4972178414773087,1.829716387032956,0.013509241097529628,0.0,0.0,0.0003675000000000002,0.0007396449704142014,1.5264825163421225,0.0037653301723935928,0.0,0.03765330172393593
lorentzian_like_2d,52,1980006,80.88363220301221,10,0.5120663650075414,0.048935011404548465,0.1801337433583543,-80.84448419388858,-80.7003771992019,0.01387284348843291,0.0044887574693392406,1.9330018099547515,1.0166535053294823,1.9330018099547515,1.8182161812452255,1.0034777647712412,32.0,1.0330480603735408,1.0198723198152997,1.9330018099547515,1.7982885133078537,2.110930186608689,0.017441524766305165,0.0,0.0,0.0018665092507591304,0.0012481508875739646,0.1801337433583543,0.005714089597510679,0.0,0.0571408959751068
multi_layer_random,52,1981292,90.30888893288767,12,0.5490196078431373,0.059110434683659535,2.4902657785851945,-90.26160058514074,-88.26938796227259,0.7664455100840317,0.08335787972318351,1.7112823529411763,2.8975262503386006,1.7112823529411763,3.290483915853378,0.4036486740342596,26.0,3.072811841610677,0.5789342653063357,1.7112823529411763,2.4550457573138686,2.694635362272265,0.02856762783544792,0.0,0.0,0.023377403741546572,0.0011094674556213014,2.4902657785851945,0.007900578280361933,1.0,1.5790057828036195
multi_layer_random,52,1986866,91.79441007954588,12,0.5196078431372549,0.05421562073281747,1.8352115020195472,-91.75103758295963,-90.28286838134399,0.7664455100840317,0.012599402214532911,1.8877529411764704,2.3730654417638863,1.8877529411764704,3.349240878526477,0.23711845074431026,29.0,2.487541392821512,0.35159440180193596,1.8877529411764704,2.4550457573138686,2.694635362272265,0.01949034986543638,0.0,0.0,0.016361899260709814,0.0013868343195266274,1.8352115020195472,0.006254342718894114,1.0,1.5625434271889411
multi_layer_random,52,1991256,93.58983774728077,12,0.4947209653092006,0.05042179458002172,1.367893611649784,-93.54950031161675,-92.45518542229692,0.6216650091125928,0.0013744969095636668,2.037074208144796,2.0265091649457028,2.037074208144796,3.278225152788388,0.48605349755602206,16.0,2.075311698057735,0.5348560306680542,2.037074208144796,2.4550457573138686,2.543694384417123,0.013160899881474812,0.0,0.0,0.006698550280723754,0.0005547337278106509,1.367893611649784,0.005213328252351911,1.0,1.552133282523519
multi_layer_random,52,1991364,91.81473560063534,12,0.5173453996983409,0.05400458667413606,1.7589641974140087,-91.77153193129604,-90.36436057336483,0.7664455100840317,0.00973624216457489,1.9013276018099545,1.8556538771835167,1.9013276018099545,3.174084093684094,0.23574478957575032,24.0,1.9660254524444616,0.34611636483669517,1.9013276018099545,2.4550457573138686,2.694635362272265,0.018863758818297025,0.0,0.0,0.006889190658350663,0.0002773668639053256,1.7589641974140087,0.006556595196992594,1.0,1.565565951969926
