n,gamma,family,action_mode,score_norm_mean,score_norm_std,score_norm_ci_low,score_norm_ci_high,bootstrap_mode,count
20,0.0,KR_like,A1,-0.11604993216594597,0.15571096993146427,-0.39981425171335294,0.2034670718163793,outer_plus_measurement,8
20,0.0,KR_like,A2,-0.11604993216594597,0.15571096993146427,-0.4461671574763931,0.21149678157488633,outer_plus_measurement,8
20,0.0,KR_like,A3,-0.11604993216594597,0.15571096993146427,-0.464027901362494,0.19462941986999327,outer_plus_measurement,8
20,0.0,absolute_layered,A1,0.8565413650239504,0.5138618392432602,0.4785912147778605,1.1334955716953143,outer_plus_measurement,8
20,0.0,absolute_layered,A2,0.8565413650239504,0.5138618392432602,0.5049630468457522,1.1426499881431949,outer_plus_measurement,8
20,0.0,absolute_layered,A3,0.8565413650239504,0.5138618392432602,0.4819934189512137,1.1179579468939336,outer_plus_measurement,8
20,0.0,interval_order,A1,1.0987166290699952,0.7717188206323756,0.512913349945671,1.6847743808392528,outer_plus_measurement,8
20,0.0,interval_order,A2,1.0987166290699952,0.7717188206323756,0.5407644408911525,1.7451077059111368,outer_plus_measurement,8
20,0.0,interval_order,A3,1.0987166290699952,0.7717188206323756,0.6095208020597311,1.7168624605385638,outer_plus_measurement,8
20,0.0,lorentzian_like_2d,A1,0.7558122518312722,0.2562597516451053,0.42908985325627313,1.109746519504579,outer_plus_measurement,8
20,0.0,lorentzian_like_2d,A2,0.7558122518312722,0.2562597516451053,0.3813005805353455,1.1697312479001936,outer_plus_measurement,8
20,0.0,lorentzian_like_2d,A3,0.7558122518312722,0.2562597516451053,0.3394756500241052,1.1384732074398605,outer_plus_measurement,8
20,0.0,lorentzian_like_3d,A1,-0.8619028970631866,0.38949867102343516,-1.2799445028008152,-0.4742092212839643,outer_plus_measurement,8
20,0.0,lorentzian_like_3d,A2,-0.8619028970631866,0.38949867102343516,-1.2707379594232089,-0.46197373495643607,outer_plus_measurement,8
20,0.0,lorentzian_like_3d,A3,-0.8619028970631866,0.38949867102343516,-1.2492960325292697,-0.48028891934974716,outer_plus_measurement,8
20,0.0,multi_layer_random,A1,0.03359382243164313,0.40043041704329024,-0.431981762848129,0.4316923311240136,outer_plus_measurement,8
20,0.0,multi_layer_random,A2,0.03359382243164313,0.40043041704329024,-0.324455325909988,0.47100375196815764,outer_plus_measurement,8
20,0.0,multi_layer_random,A3,0.03359382243164313,0.40043041704329024,-0.3605728729690269,0.45809883134576446,outer_plus_measurement,8
20,0.0,transitive_percolation,A1,-1.218096297554617,0.4858667951644156,-1.7137188884531815,-0.8036765120923837,outer_plus_measurement,8
20,0.0,transitive_percolation,A2,-1.218096297554617,0.4858667951644156,-1.653751017081706,-0.7743007057456082,outer_plus_measurement,8
20,0.0,transitive_percolation,A3,-1.218096297554617,0.4858667951644156,-1.753152069374989,-0.6262777414923033,outer_plus_measurement,8
20,0.2,KR_like,A1,-0.242569506323546,0.15219065795168787,-0.5753036696641262,0.05503721293977724,outer_plus_measurement,8
20,0.2,KR_like,A2,1.8052658753958553,0.19131412436751435,1.4996056014789325,2.172946973514599,outer_plus_measurement,8
20,0.2,KR_like,A3,1.7669604644948427,0.18630327960278203,1.452675778210659,2.0979072721960876,outer_plus_measurement,8
20,0.2,absolute_layered,A1,0.7727256194521113,0.4793874352423727,0.4255893028729429,1.0848665374421993,outer_plus_measurement,8
20,0.2,absolute_layered,A2,1.9984733108182784,0.5337511082753259,1.6650124852142825,2.3222962794568813,outer_plus_measurement,8
20,0.2,absolute_layered,A3,1.9174640713315048,0.5642650355515396,1.5285278878776936,2.2437921418593647,outer_plus_measurement,8
20,0.2,interval_order,A1,0.9853239691269251,0.7681864693558602,0.4856621662745073,1.5501086184881177,outer_plus_measurement,8
20,0.2,interval_order,A2,1.3185227172812426,0.8308606303532514,0.696299646493443,1.8521357023992508,outer_plus_measurement,8
20,0.2,interval_order,A3,1.2670903921657,0.8310502832077752,0.5329279239327825,1.8763152336768312,outer_plus_measurement,8
20,0.2,lorentzian_like_2d,A1,0.6209898008559369,0.2512989927026581,0.20989024169309517,0.9873166887001843,outer_plus_measurement,8
20,0.2,lorentzian_like_2d,A2,0.6823254287340186,0.24134607168407882,0.31917911964386164,1.0778494390333282,outer_plus_measurement,8
20,0.2,lorentzian_like_2d,A3,0.652322894650741,0.2460344497286658,0.19124974400896044,1.0053755481402704,outer_plus_measurement,8
20,0.2,lorentzian_like_3d,A1,-0.9742734130984256,0.3545248752582218,-1.3360391142162773,-0.5041608157935259,outer_plus_measurement,8
20,0.2,lorentzian_like_3d,A2,0.8689247582632385,0.7128070669381342,0.3833170028282587,1.437126805358707,outer_plus_measurement,8
20,0.2,lorentzian_like_3d,A3,0.8164702892398648,0.6969880283739912,0.2548149801201303,1.363008435601809,outer_plus_measurement,8
20,0.2,multi_layer_random,A1,-0.09438317178969696,0.40566096141270425,-0.5486074710937014,0.3369050976740289,outer_plus_measurement,8
20,0.2,multi_layer_random,A2,0.11566908604112189,0.40260183960127377,-0.35859438828396506,0.5493344465601685,outer_plus_measurement,8
20,0.2,multi_layer_random,A3,0.07882109520384925,0.39661385198641846,-0.31532615665224656,0.551660993990546,outer_plus_measurement,8
20,0.2,transitive_percolation,A1,-1.333163315700101,0.481266519038588,-1.7758841997805277,-0.8207004322792515,outer_plus_measurement,8
20,0.2,transitive_percolation,A2,-0.6121324566392318,0.3991599464698868,-1.0020829204211457,-0.15159257806242923,outer_plus_measurement,8
20,0.2,transitive_percolation,A3,-0.6618904235523606,0.396077145728488,-1.1464227633672313,-0.21276709422880025,outer_plus_measurement,8
20,0.4,KR_like,A1,-0.3690890804811461,0.1491187899486509,-0.680216243935655,-0.047226350988965736,outer_plus_measurement,8
20,0.4,KR_like,A2,3.726581682957656,0.33911841619131444,3.3147548546621084,4.08631839170449,outer_plus_measurement,8
20,0.4,KR_like,A3,3.6499708611556314,0.32420121054278733,3.200286188161098,4.06138089655646,outer_plus_measurement,8
20,0.4,absolute_layered,A1,0.6889098738802724,0.44497516668466114,0.36135227629647937,0.9113238805402343,outer_plus_measurement,8
20,0.4,absolute_layered,A2,3.140405256612606,0.644689097335934,2.8103687145312417,3.5974726699471256,outer_plus_measurement,8
20,0.4,absolute_layered,A3,2.9783867776390585,0.691901405608333,2.5071448798043576,3.452424936600682,outer_plus_measurement,8
20,0.4,interval_order,A1,0.8719313091838551,0.7648787494362568,0.2609057658637746,1.3588056022450496,outer_plus_measurement,8
20,0.4,interval_order,A2,1.5383288054924897,0.958693035357175,0.7561757948784096,2.189953828171893,outer_plus_measurement,8
20,0.4,interval_order,A3,1.4354641552614045,0.9534702783774016,0.7385200210727835,2.07101083062791,outer_plus_measurement,8
20,0.4,lorentzian_like_2d,A1,0.4861673498806016,0.24639743971086034,0.11292456285496512,0.8381538284353459,outer_plus_measurement,8
20,0.4,lorentzian_like_2d,A2,0.608838605636765,0.23354064946872227,0.23617417808412108,0.9424176621068221,outer_plus_measurement,8
20,0.4,lorentzian_like_2d,A3,0.54883353747021,0.24200658502581784,0.18652950788007025,0.9311915323341843,outer_plus_measurement,8
20,0.4,lorentzian_like_3d,A1,-1.0866439291336647,0.32022262606267715,-1.4792877873679608,-0.6854957586536156,outer_plus_measurement,8
20,0.4,lorentzian_like_3d,A2,2.5997524135896635,1.6609906028611132,1.5898551308958904,3.7007769348417265,outer_plus_measurement,8
20,0.4,lorentzian_like_3d,A3,2.4948434755429156,1.617023421336155,1.466614346606479,3.4431937115450397,outer_plus_measurement,8
20,0.4,multi_layer_random,A1,-0.22236016601103706,0.41167948464452087,-0.7406605164013945,0.22835477730862339,outer_plus_measurement,8
20,0.4,multi_layer_random,A2,0.19774434965060067,0.4750061240184466,-0.24043083051339048,0.6117351990970198,outer_plus_measurement,8
