variant,n,gamma,family,mean_score,std_score,mean_log_H,mean_penalty,count
A1_neutral_only,20,0.0,KR_like,-27.36602426803175,,27.36602426803175,0.06910486111111111,1
A1_neutral_only,20,0.0,lorentzian_like_2d,-23.380651766837136,,23.380651766837136,0.07201111111111111,1
A1_neutral_only,20,0.4,KR_like,-27.338382323587307,,27.36602426803175,0.06910486111111111,1
A1_neutral_only,20,0.4,lorentzian_like_2d,-23.351847322392693,,23.380651766837136,0.07201111111111111,1
A1_neutral_only,20,0.8,KR_like,-27.310740379142864,,27.36602426803175,0.06910486111111111,1
A1_neutral_only,20,0.8,lorentzian_like_2d,-23.323042877948247,,23.380651766837136,0.07201111111111111,1
A2_full,20,0.0,KR_like,-27.36602426803175,,27.36602426803175,9.903069600868196,1
A2_full,20,0.0,lorentzian_like_2d,-23.380651766837136,,23.380651766837136,0.26242020926019394,1
A2_full,20,0.4,KR_like,-23.404796427684474,,27.36602426803175,9.903069600868196,1
A2_full,20,0.4,lorentzian_like_2d,-23.27568368313306,,23.380651766837136,0.26242020926019394,1
A2_full,20,0.8,lorentzian_like_2d,-23.17071559942898,,23.380651766837136,0.26242020926019394,1
A2_full,20,0.8,KR_like,-19.443568587337193,,27.36602426803175,9.903069600868196,1
drop_all_interval_terms,20,0.0,KR_like,-27.36602426803175,,27.36602426803175,8.015012960243197,1
drop_all_interval_terms,20,0.0,lorentzian_like_2d,-23.380651766837136,,23.380651766837136,0.26242020926019394,1
drop_all_interval_terms,20,0.4,KR_like,-24.160019083934472,,27.36602426803175,8.015012960243197,1
drop_all_interval_terms,20,0.4,lorentzian_like_2d,-23.27568368313306,,23.380651766837136,0.26242020926019394,1
drop_all_interval_terms,20,0.8,lorentzian_like_2d,-23.17071559942898,,23.380651766837136,0.26242020926019394,1
drop_all_interval_terms,20,0.8,KR_like,-20.954013899837193,,27.36602426803175,8.015012960243197,1
drop_geo_comparability_window,20,0.0,KR_like,-27.36602426803175,,27.36602426803175,9.903069600868196,1
drop_geo_comparability_window,20,0.0,lorentzian_like_2d,-23.380651766837136,,23.380651766837136,0.18343295164246542,1
drop_geo_comparability_window,20,0.4,KR_like,-23.404796427684474,,27.36602426803175,9.903069600868196,1
drop_geo_comparability_window,20,0.4,lorentzian_like_2d,-23.30727858618015,,23.380651766837136,0.18343295164246542,1
drop_geo_comparability_window,20,0.8,lorentzian_like_2d,-23.233905405523164,,23.380651766837136,0.18343295164246542,1
drop_geo_comparability_window,20,0.8,KR_like,-19.443568587337193,,27.36602426803175,9.903069600868196,1
drop_geo_cover_density,20,0.0,KR_like,-27.36602426803175,,27.36602426803175,9.89775104131141,1
drop_geo_cover_density,20,0.0,lorentzian_like_2d,-23.380651766837136,,23.380651766837136,0.26242020926019394,1
drop_geo_cover_density,20,0.4,KR_like,-23.406923851507187,,27.36602426803175,9.89775104131141,1
drop_geo_cover_density,20,0.4,lorentzian_like_2d,-23.27568368313306,,23.380651766837136,0.26242020926019394,1
