n,family,mean_cover_density,mean_reduction_edge_density,mean_adjacent_edge_fraction,mean_long_edge_fraction,mean_layer_gap,mean_signature_redundancy,mean_layer_count,mean_layer_size_std,count
30,lorentzian_like_2d,0.14061302681992338,0.14061302681992338,0.16941008875323352,0.8305899112467664,3.2913810482518575,0.03844246031746031,7.75,1.414099680111262,12
30,multi_layer_random,0.15804597701149425,0.15804597701149425,0.21664500622207142,0.7833549937779285,2.3969296963539986,0.0072420634920634915,5.0,1.3201656550729692,12
40,lorentzian_like_2d,0.12051282051282051,0.12051282051282051,0.13423449081601677,0.8657655091839832,3.6336038892165843,0.03150273998488284,8.583333333333334,1.6014662934433355,12
40,multi_layer_random,0.1432692307692308,0.1432692307692308,0.20795058923121487,0.7920494107687851,2.387211333253067,0.0056018518518518535,5.0,1.3610876995143872,12
44,lorentzian_like_2d,0.1109936575052854,0.1109936575052854,0.12565545492711505,0.874344545072885,3.8691846717100957,0.03087346681096681,9.333333333333334,1.9435904175246312,6
44,multi_layer_random,0.13636363636363638,0.13636363636363638,0.2064693396007992,0.7935306603992008,2.396483648985558,0.0,5.0,1.8338831698844276,6
48,lorentzian_like_2d,0.10283687943262411,0.10283687943262411,0.10418234949951957,0.8958176505004805,4.479100004051273,0.013095238095238096,10.75,1.6778972795476883,4
48,multi_layer_random,0.13275709219858156,0.13275709219858156,0.1928350404722658,0.8071649595277343,2.4335467400002067,0.0,5.0,1.0490184505155418,4
52,lorentzian_like_2d,0.09803921568627451,0.09803921568627451,0.10320441767698246,0.8967955823230176,4.2609512700303,0.028571679092512424,10.0,1.8103490932284951,8
52,multi_layer_random,0.12745098039215685,0.12745098039215685,0.19457896057804794,0.8054210394219521,2.4070255654542123,0.0,5.0,1.488858793389761,8
56,lorentzian_like_2d,0.09488636363636364,0.09488636363636364,0.0977592241447437,0.9022407758552563,4.297699013259532,0.02485419672919673,10.0,2.09244830155959,8
56,multi_layer_random,0.12215909090909091,0.12215909090909091,0.17744792941523102,0.822552070584769,2.4808491255299323,0.0,5.0,1.3494663550217356,8
