n,gamma,family,action_mode,score_norm_mean,score_norm_std,score_norm_ci_low,score_norm_ci_high,bootstrap_mode,count
12,0.0,KR_like,A1,0.04920861714822247,0.3505840338588579,-0.42342835637186405,0.5856548332147286,outer_plus_measurement,6
12,0.0,KR_like,A2,0.04920861714822247,0.3505840338588579,-0.5112578448162376,0.6259163728813935,outer_plus_measurement,6
12,0.0,KR_like,A3,0.04920861714822247,0.3505840338588579,-0.49469290670272303,0.5923501806862437,outer_plus_measurement,6
12,0.0,absolute_layered,A1,1.3336373981118992,0.8316251471881125,0.7264428960444029,1.86880342615645,outer_plus_measurement,6
12,0.0,absolute_layered,A2,1.3336373981118992,0.8316251471881125,0.6963841835883848,1.9267123725534248,outer_plus_measurement,6
12,0.0,absolute_layered,A3,1.3336373981118992,0.8316251471881125,0.6007149470750129,1.857419688428864,outer_plus_measurement,6
12,0.0,interval_order,A1,0.5452347102376401,1.0400123197784519,-0.29238328983807416,1.741352142818199,outer_plus_measurement,6
12,0.0,interval_order,A2,0.5452347102376401,1.0400123197784519,-0.25274781697377763,1.4995243167153043,outer_plus_measurement,6
12,0.0,interval_order,A3,0.5452347102376401,1.0400123197784519,-0.25722420694983966,1.6239183634461127,outer_plus_measurement,6
12,0.0,lorentzian_like_2d,A1,0.4936415950336826,0.26195066138682654,0.03208094288610791,1.1118900011027844,outer_plus_measurement,6
12,0.0,lorentzian_like_2d,A2,0.4936415950336826,0.26195066138682654,-0.01218789305042185,0.984132231262659,outer_plus_measurement,6
12,0.0,lorentzian_like_2d,A3,0.4936415950336826,0.26195066138682654,-0.023074492371372404,1.062159147404085,outer_plus_measurement,6
12,0.0,lorentzian_like_3d,A1,-1.278366110110622,0.44706782125051076,-1.8647257292955035,-0.670233020355226,outer_plus_measurement,6
12,0.0,lorentzian_like_3d,A2,-1.278366110110622,0.44706782125051076,-1.8168109767885254,-0.7197562520002343,outer_plus_measurement,6
12,0.0,lorentzian_like_3d,A3,-1.278366110110622,0.44706782125051076,-1.8401470092717338,-0.791958725417944,outer_plus_measurement,6
12,0.0,multi_layer_random,A1,0.03549361079937761,0.4774691853891303,-0.6091585792839893,0.658434117195203,outer_plus_measurement,6
