n,family,mean_dim_consistency,mean_dim_multi_consistency,mean_d_order,mean_d_chain,mean_d_width,count
20,KR_like,4.480528627182815,4.683627252654636,2.8896105263157894,2.7268330278608417,3.7516636192032218,2
20,lorentzian_like_2d,1.2625051570360113,1.3251268508897822,2.1948736842105268,1.6719500161730103,2.1609640474436813,2
24,KR_like,5.160889563363032,5.862703579305413,2.7336608695652176,2.8927892607143724,4.584962500721155,2
24,lorentzian_like_2d,1.229992612463669,1.2754350404534027,1.8097478260869564,1.7034511049233647,2.1592527316029195,2
28,KR_like,4.800427229060945,5.5970814657287935,2.814923809523809,3.033103256304337,4.807354922057602,2
28,lorentzian_like_2d,1.1810656684908623,1.2109634572187307,2.259368253968254,1.859738746970775,2.163144040586079,2
32,KR_like,5.020036880889282,5.971479576960256,2.7674967741935483,3.154648767857287,4.999999999999998,2
32,lorentzian_like_2d,1.006899344072914,1.0723673542929941,1.8179,1.7238513011033887,2.2851806134465935,2
36,KR_like,5.159383173732145,6.254193719808839,2.7339714285714285,3.2618595071429146,5.169925001442312,2
36,lorentzian_like_2d,1.3706961340556503,1.4281869172110537,2.2149238095238095,1.6771190436927808,2.094131565991205,2
40,KR_like,5.505889005953156,6.776856178911263,2.659246153846154,3.357762781432299,5.32192809488736,2
40,lorentzian_like_2d,1.0411446630759085,1.0895531186195648,2.078476923076923,1.6788813907161495,2.116433974716419,2
44,KR_like,4.650283201945453,5.89797895571054,2.8489517970401694,3.4445178457870527,5.459431618637299,2
44,lorentzian_like_2d,0.8834135786897337,0.9393805195479912,1.9673450317124734,1.6434526764861872,2.2197940277201997,2
