variant,n,gamma_c_est,status,min_delta_score,max_delta_score
A2_full,20,0.501756981009337,crossing,-15.12032935337091,5.06375181599396
A2_full,24,0.687457407385651,crossing,-12.968093757047233,6.792169765094357
A2_full,28,0.7822662588414285,crossing,-13.813168728443518,8.873512705383618
A2_full,32,1.016361953661184,crossing,-11.876745863737035,12.27186430428825
A2_full,36,1.4050568655551654,crossing,-7.281440208779308,17.19632846258763
A2_full,40,1.375602835076065,crossing,-7.909698037003153,17.425772658052672
A2_full,44,1.4589676124667994,crossing,-8.730755686472776,23.54367330392482
replace_dim_with_consistency_scale_matched,20,0.722523281058475,crossing,-8.953102585086981,5.06375181599396
replace_dim_with_consistency_scale_matched,24,0.7336707428958424,crossing,-11.723410502656957,6.792169765094357
replace_dim_with_consistency_scale_matched,28,0.9142891440281193,crossing,-10.5372235225218,8.873512705383618
replace_dim_with_consistency_scale_matched,32,1.1125855648525376,crossing,-9.788217530253206,12.27186430428825
replace_dim_with_consistency_scale_matched,36,1.4773829364905544,crossing,-6.0831179664290715,17.19632846258763
replace_dim_with_consistency_scale_matched,40,1.2992050047602204,crossing,-9.399512950000776,17.425772658052672
replace_dim_with_consistency_scale_matched,44,1.7259409370211136,crossing,-3.7384576183070948,23.54367330392482
replace_dim_with_multi_consistency_scale_matched,20,0.7512400681624922,crossing,-8.417296468290791,5.06375181599396
replace_dim_with_multi_consistency_scale_matched,24,0.7309217164278702,crossing,-11.79304835727519,6.792169765094357
replace_dim_with_multi_consistency_scale_matched,28,0.9000670483160784,crossing,-10.843935504691274,8.873512705383618
replace_dim_with_multi_consistency_scale_matched,32,1.0930848224900849,crossing,-10.181771592572012,12.27186430428825
replace_dim_with_multi_consistency_scale_matched,36,1.4359542637988068,crossing,-6.75475256571039,17.19632846258763
replace_dim_with_multi_consistency_scale_matched,40,1.2619610287395866,crossing,-10.191201656054446,17.425772658052672
replace_dim_with_multi_consistency_scale_matched,44,1.6703877353667764,crossing,-4.645797685881277,23.54367330392482
width_height_plus_multi_consistency_only,20,1.0414958452791379,crossing,-4.660246294890083,5.06375181599396
width_height_plus_multi_consistency_only,24,0.9376945064408135,crossing,-7.69478674033563,6.792169765094357
width_height_plus_multi_consistency_only,28,1.0989519636852794,crossing,-7.27553292828857,8.873512705383618
width_height_plus_multi_consistency_only,32,1.3329623807362987,crossing,-6.141054892290349,12.27186430428825
width_height_plus_multi_consistency_only,36,1.7301044683536624,crossing,-2.6826196323229183,17.19632846258763
width_height_plus_multi_consistency_only,40,1.5321577130689303,crossing,-5.320936129711271,17.425772658052672
width_height_plus_multi_consistency_only,44,,no_cross_left_never_wins,0.3676880882891709,23.54367330392482
