variant,n,zeta_cross,delta_at_min_zeta,delta_at_max_zeta
blind_knn3_zscore,30,,-4.756544463918516,-1.4140283767315935
blind_knn3_zscore,40,3.837828047588343,-5.249028810106616,2.9572202636189218
blind_knn5_zscore,30,,-4.756544463918516,-5.3094752770194305
blind_knn5_zscore,40,3.772149134683896,-5.249028810106616,3.1001036701177966
blind_self_hit_centered,30,,-4.756544463918516,-4.881544463918516
blind_self_hit_centered,40,,-5.249028810106616,-5.124028810106616
blind_self_hit_zscore,30,,-4.756544463918516,-5.412174501568302
blind_self_hit_zscore,40,,-5.249028810106616,-4.696097997005708
switch_zscore,30,2.4004831698416544,-4.756544463918516,7.132423199784654
switch_zscore,40,2.692084306649641,-5.249028810106616,6.449777495047655
