family,n,seed,log_H,antichain_width,comparable_fraction,penalty_neutral,penalty_geometric,score_A1_gamma,score_A2_gamma,geo_width_height,geo_dim_proxy_penalty,geo_dim_eff,geo_dim_consistency,geo_dim_consistency_global_d_eff,geo_dim_consistency_local_mean_d_eff,geo_dim_consistency_local_var_d_eff,geo_dim_consistency_local_count,geo_dim_multi_consistency,geo_dim_multi_consistency_var,geo_d_order,geo_d_chain,geo_d_width,geo_comparability_window,geo_cover_density,geo_interval_profile,geo_interval_shape,geo_layer_smoothness,geo_total,cg_mean_self_drift,cg_family_switch_rate,cg_blind_self_hit_rate,cg_blind_knn3_family_hit_rate,cg_blind_knn5_family_hit_rate
lorentzian_like_2d,30,760000,36.89693982370385,7,0.5149425287356322,0.06173308138070043,0.17852987047870683,-36.84755335859929,-36.70472946221633,0.0,0.007098934078477983,1.915744827586207,0.5099194451993727,1.915744827586207,1.8057493506493512,0.49782044025280636,18.0,0.5713614353616961,0.5592624304151298,1.915744827586207,1.747869696508518,2.3371313273803844,0.018209486061566915,0.0,0.0,0.00020000000000000036,0.005740740740740741,0.17852987047870683,0.0029960075661043984,0.0,0.16666666666666666,0.8333333333333334,0.8333333333333334
lorentzian_like_2d,30,760005,36.61446424231174,8,0.4896551724137931,0.05478981481481482,0.28295078579952104,-36.57063239045989,-36.34427176182027,0.08276097481015171,0.0045520613079667325,2.0674689655172416,0.6494563493947549,2.0674689655172416,1.62762536593841,0.4559939573042914,23.0,0.6957603034076174,0.5022979113171538,2.0674689655172416,1.635630198536173,2.113282752559378,0.012024256837098686,0.0,0.0,0.00031304347826087013,0.003650793650793651,0.28295078579952104,0.015002072127312277,0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334
lorentzian_like_2d,30,760007,35.479663854094674,7,0.5540229885057472,0.06729506172839506,1.331263691316176,-35.42582780471196,-34.36081685165902,0.16440195389316548,0.10159386868014277,1.681262068965517,0.6355748462935438,1.681262068965517,1.6010171915041482,0.6291356059347537,23.0,0.6937984921092297,0.6873592517504397,1.681262068965517,1.5479516371446922,2.113282752559378,0.030284000528471407,0.0,0.0,0.00015652173913043507,0.003611111111111112,1.331263691316176,0.019650272296628607,0.0,0.5,0.8333333333333334,0.8333333333333334
lorentzian_like_2d,30,760011,39.77792827218424,7,0.503448275862069,0.06390680272108844,0.17755620757139368,-39.72680283000737,-39.58475786395025,0.0,0.00023377355529131895,1.9847103448275862,1.4639943241064763,1.9847103448275862,2.604101025974026,1.0803495082154257,22.0,1.5226080253573038,1.1389632094662532,1.9847103448275862,1.747869696508518,2.3371313273803844,0.01523947681331748,0.0,0.0,0.01610909090909091,0.0018518518518518521,0.17755620757139368,0.00824770148400098,0.0,0.0,1.0,0.8333333333333334
lorentzian_like_2d,30,760012,37.708355960609154,8,0.4850574712643678,0.049931494079113126,0.3695309577344052,-37.66841076534586,-37.37278599915834,0.11321356601688148,0.009035485802615897,2.095055172413793,0.8074757407763572,2.095055172413793,2.1747506493506497,0.8011243717321641,20.0,0.8276851614552005,0.8213337924110075,2.095055172413793,1.747869696508518,1.898244401703927,0.01103707226846347,0.0,0.0,3.06122448979592e-05,0.002222222222222222,0.3695309577344052,0.009343760573223715,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333
lorentzian_like_2d,30,760014,36.03606913686861,7,0.5149425287356322,0.048627261274880325,0.3965773728828402,-35.99716732784871,-35.67990542954244,0.11321356601688148,0.007098934078477983,1.915744827586207,1.0081580239472454,1.915744827586207,1.7981773809523809,0.9943359194392478,24.0,1.0138358991142475,1.00001379460625,1.915744827586207,1.747869696508518,1.898244401703927,0.018209486061566915,0.0,0.0,0.0004500000000000008,0.0009259259259259255,0.3965773728828402,0.006284557731568985,0.0,0.16666666666666666,1.0,1.0
lorentzian_like_2d,30,760017,40.89428662752859,9,0.49195402298850577,0.06564691358024691,0.2002147705995707,-40.841769096664386,-40.68159728018473,0.023762432091205918,0.0028810981688466293,2.0536758620689657,0.7452877877270608,2.0536758620689657,2.6657174603174605,0.37069286974048893,9.0,0.7783019736399335,0.4037070556533615,2.0536758620689657,1.8982444017039273,2.3371313273803844,0.012533703263310877,0.0,0.0,0.006976669186193004,0.00977777777777778,0.2002147705995707,0.003527890583924519,0.0,0.5,0.3333333333333333,0.16666666666666666
lorentzian_like_2d,30,760018,39.18063761683917,8,0.5172413793103449,0.06377135298563871,0.25121717702794566,-39.12962053445066,-38.9286467928283,0.023762432091205918,0.009613464399524402,1.901951724137931,0.9904242056679858,1.901951724137931,1.9142885154061626,0.9902720092491899,17.0,1.0128607363729287,1.012708539954133,1.901951724137931,1.747869696508518,2.113282752559378,0.018835196195005954,0.0,0.0,0.0017176470588235325,0.002592592592592593,0.25121717702794566,0.005045647710031681,0.0,0.0,1.0,0.8333333333333334
multi_layer_random,30,760032,42.89067886218062,9,0.5011494252873563,0.0612172839506173,0.5437767287184592,-42.84170503502013,-42.40668365204536,0.22090341150416293,2.239667063019377e-06,1.9985034482758623,1.0919243217501025,1.9985034482758623,2.7527214285714283,0.5230795599489797,16.0,1.1535977433625393,0.5847529815614165,1.9985034482758623,2.1132827525593787,2.5732418036508555,0.014677183247456722,0.0,0.0,0.0,0.006944444444444445,0.5437767287184592,0.007970753307332747,1.0,0.16666666666666666,0.8333333333333334,0.8333333333333334
multi_layer_random,30,760104,43.96745618574398,9,0.4689655172413793,0.08284444444444444,0.9391255566298794,-43.90118063018842,-43.149880184884516,0.22090341150416293,0.036713202806183114,2.191606896551724,1.6719052943219719,2.191606896551724,3.218586351648352,0.6172184931314053,13.0,1.7122766501586018,0.6575898489680351,2.191606896551724,2.1132827525593787,2.5732418036508555,0.007914863258026157,0.0,0.0,0.02666923076923078,0.01138888888888889,0.9391255566298794,0.01605586190184356,1.0,0.5,0.6666666666666666,0.6666666666666666
multi_layer_random,30,760141,41.88904915551362,8,0.4735632183908046,0.05272098765432099,0.722015463581509,-41.84687236539016,-41.26925999452495,0.22090341150416293,0.026902786634958365,2.1640206896551724,1.5583753047647722,2.1640206896551724,3.3496659904198367,0.1526205255394409,13.0,1.6007751477738361,0.19502036854850494,2.1640206896551724,2.1132827525593787,2.5732418036508555,0.008754075835645398,0.0,0.0,0.0019368229403732367,0.0013888888888888887,0.722015463581509,0.004486562313768634,1.0,0.0,0.6666666666666666,0.8333333333333334
multi_layer_random,30,760185,42.70646149152751,9,0.503448275862069,0.06089999999999999,0.5434472056638946,-42.65774149152751,-42.2229837269964,0.22090341150416293,0.00023377355529131895,1.9847103448275862,0.8201901275266732,1.9847103448275862,2.1693857142857147,0.786085135442177,18.0,0.8840192909417363,0.84991429885724,1.9847103448275862,2.1132827525593787,2.5732418036508555,0.01523947681331748,0.0,0.0,0.0,0.0041666666666666675,0.5434472056638946,0.022337046557081266,0.8333333333333334,0.0,0.3333333333333333,0.8333333333333334
multi_layer_random,30,760200,43.16747751008882,9,0.46206896551724136,0.05393703703703705,0.7186996952998912,-43.12432788045919,-42.54936812421928,0.11321356601688148,0.054282572604042845,2.232986206896552,0.8588863665111985,2.232986206896552,2.570809253246753,0.7447619558658684,16.0,0.8672511784612251,0.7531267678158949,2.232986206896552,2.1132827525593787,2.3371313273803844,0.006735315101070151,0.0,0.0,0.001964462809917359,0.0038888888888888896,0.7186996952998912,0.021698215655229374,1.0,0.3333333333333333,0.6666666666666666,0.8333333333333334
multi_layer_random,30,760351,43.864410846333584,8,0.4781609195402299,0.05721728395061729,0.7399518311097931,-43.81863701917309,-43.22667555428526,0.22090341150416293,0.018614368085612457,2.136434482758621,1.0731834487006393,2.136434482758621,2.7498441111111114,0.6969120765450989,18.0,1.1179500005758884,0.741678628420348,2.136434482758621,2.1132827525593787,2.5732418036508555,0.009635566124983484,0.0,0.0,0.01783888888888889,0.0011111111111111111,0.7399518311097931,0.01360904517794992,1.0,0.0,0.6666666666666666,0.6666666666666666
multi_layer_random,30,760466,42.20207324661594,8,0.4804597701149425,0.05222098765432098,0.6324050275487088,-42.16029645649248,-41.654372434453514,0.22090341150416293,0.015040907919143951,2.122641379310345,0.32362482430089,2.122641379310345,2.3790263736263735,0.2578915589904601,13.0,0.36970156374438823,0.30396829843395834,2.122641379310345,2.1132827525593787,2.5732418036508555,0.010092165411547095,0.0,0.0,0.00027692307692307744,0.0041666666666666675,0.6324050275487088,0.002549098372431684,1.0,0.3333333333333333,0.8333333333333334,0.8333333333333334
multi_layer_random,30,760523,41.96170578343287,9,0.5126436781609195,0.06364320987654322,0.8501846677913284,-41.91079121553163,-41.23064348129857,0.345493163436756,0.004964903162901256,1.9295379310344831,0.776651747003566,1.9295379310344831,2.1280910973084888,0.737228387166133,23.0,0.9257725316871815,0.8863491718497486,1.9295379310344831,2.1132827525593787,2.824978578786397,0.01759434535605759,0.0,0.0,0.0007826086956521754,0.005,0.8501846677913284,0.006665275741434107,1.0,0.16666666666666666,0.5,0.3333333333333333
lorentzian_like_2d,40,860001,57.40774017134585,9,0.46923076923076923,0.05098593750000001,0.3822451035361239,-57.36695142134585,-57.061155338516954,0.017830632816244415,0.036105846390532575,2.1900153846153847,0.779684979153011,2.1900153846153847,2.329564724164724,0.7602109609843543,24.0,0.8125494691418479,0.7930754509731911,2.1900153846153847,1.7739760316291209,2.116433974716419,0.007962130177514792,0.0,0.0,0.000600000000000001,0.0034821428571428564,0.3822451035361239,0.013426324726070126,0.16666666666666666,0.0,1.0,1.0
lorentzian_like_2d,40,860002,60.011584927724456,10,0.47307692307692306,0.05026013233418368,0.28117748118343233,-59.971376821857106,-59.74643483691036,0.0,0.027868449940828457,2.1669384615384617,0.7015236666295214,2.1669384615384617,1.903566461608567,0.6321588562824489,19.0,0.715394289115995,0.6460294787689226,2.1669384615384617,1.8957090366709828,2.116433974716419,0.008663313609467451,0.0,0.0,0.0,0.0031249999999999993,0.28117748118343233,0.01039885792257605,0.3333333333333333,0.16666666666666666,0.8333333333333334,1.0
lorentzian_like_2d,40,860003,57.84569609843462,9,0.47307692307692306,0.057173992091049376,0.28602123118343237,-57.799956904761785,-57.57113991981504,0.0,0.027868449940828457,2.1669384615384617,0.9834987387579401,2.1669384615384617,1.754576286871024,0.8134561756614818,19.0,1.0904457087207913,0.9204031456243328,2.1669384615384617,1.6788813907161495,2.473011359090435,0.008663313609467451,0.0,0.0,0.0,0.005546875000000001,0.28602123118343237,0.003366260822810822,0.0,0.5,1.0,1.0
lorentzian_like_2d,40,860006,56.11647660002497,8,0.5038461538461538,0.051340234375,0.13425970201456824,-56.07540441252497,-55.967996650913314,0.017830632816244415,0.0003124736094674502,1.982323076923077,0.4359129126533152,1.982323076923077,2.155533992991136,0.405910891208179,21.0,0.45576532009478643,0.42576329864965023,1.982323076923077,1.7739760316291209,2.116433974716419,0.015337869822485202,0.0,0.0,0.00017142857142857172,0.0016071428571428567,0.13425970201456824,0.0036927085930538416,0.0,0.6666666666666666,1.0,1.0
lorentzian_like_2d,40,860007,56.43179481915536,8,0.5076923076923077,0.061337499999999996,0.3705807695185463,-56.38272481915536,-56.08626020354052,0.12721701563369794,0.0016608759763313418,1.959246153846154,1.002502937795156,1.959246153846154,1.8736862402217664,0.9951824389757432,24.0,1.0488218889630807,1.041501390143668,1.959246153846154,1.6020599913279623,2.116433974716419,0.016305325443786975,0.0,0.0,0.0004500000000000008,0.0013888888888888887,0.3705807695185463,0.009166747548818278,0.0,0.0,0.8333333333333334,0.6666666666666666
lorentzian_like_2d,40,860008,57.43559485891556,9,0.48717948717948717,0.051921875,0.1658026324174987,-57.39405735891556,-57.26141525298156,0.017830632816244415,0.0067770889940828435,2.082323076923077,0.5719884303112123,2.082323076923077,1.9382812430851648,0.5512403804158236,27.0,0.595712752141586,0.5749647022461973,2.082323076923077,1.7739760316291209,2.116433974716419,0.011487442472057853,0.0,0.0,0.0004000000000000007,0.002499999999999999,0.1658026324174987,0.004102701693569902,0.0,0.16666666666666666,1.0,1.0
lorentzian_like_2d,40,860009,54.87301183869142,9,0.514102564102564,0.053481283757716054,0.49206176125773077,-54.83022681168524,-54.43657740267906,0.16440195389316548,0.006275077159763254,1.9207846153846158,0.9401734451610421,1.9207846153846158,1.4968936427209156,0.7604898884552643,22.0,0.9545747093242746,0.7748911526184968,1.9207846153846158,1.6788813907161495,1.9444629140501284,0.0179834976988823,0.0,0.0,0.0,0.002578125,0.49206176125773077,0.00623121918730942,0.0,0.0,0.8333333333333334,0.8333333333333334
lorentzian_like_2d,40,860010,56.07976864416187,8,0.5166666666666667,0.052355859375,0.2832120541562608,-56.037883956661865,-55.81131431333686,0.017830632816244415,0.008949160000000045,1.9053999999999998,1.2865460278614327,1.9053999999999998,2.3504711000116023,1.0884577437958949,26.0,1.306444365720382,1.1083560816548441,1.9053999999999998,1.7739760316291209,2.116433974716419,0.01867777777777779,0.0,0.0,0.012492454085706681,0.0007142857142857141,0.2832120541562608,0.006139665909614016,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666
multi_layer_random,40,860002,64.7372539345652,10,0.46923076923076923,0.054939062500000004,1.3099115169643076,-64.6933026845652,-63.64537347099375,0.4804530139182014,0.036105846390532575,2.1900153846153847,1.3097169908906,2.1900153846153847,3.093749331827593,0.49298194354684177,23.0,1.350640560896061,0.533905513552303,2.1900153846153847,2.292029674220179,2.6609640474436818,0.007962130177514792,0.0,0.0,0.0017896873877111053,0.0017187500000000002,1.3099115169643076,0.007509451297570957,0.8333333333333334,0.3333333333333333,0.0,0.0
multi_layer_random,40,860256,61.165375736345304,10,0.5525641025641026,0.05789023437500001,1.6491662415241346,-61.119063548845304,-59.799730555626,0.345493163436756,0.09609046177514802,1.6900153846153845,1.3508454586719794,1.6900153846153845,2.770996722118461,0.18232480664203948,23.0,1.4628741554709768,0.2943535034410368,1.6900153846153845,2.292029674220179,2.473011359090435,0.02977836949375412,0.0,0.0,0.0018447006973827981,0.0007812500000000007,1.6491662415241346,0.00897123673986743,1.0,0.0,0.8333333333333334,0.8333333333333334
multi_layer_random,40,860915,64.30434104953132,10,0.48333333333333334,0.053027734374999996,1.1309030053732687,-64.26191886203132,-63.357196457732705,0.4804530139182014,0.011109159999999988,2.1054,0.6830427708273396,2.1054,2.624651336898396,0.41342081995656804,17.0,0.736331061700379,0.4667091108296074,2.1054,2.292029674220179,2.6609640474436818,0.010677777777777777,0.0,0.0,0.001848906174039867,0.003906250000000002,1.1309030053732687,0.008028155625268542,0.8333333333333334,0.0,0.3333333333333333,0.3333333333333333
multi_layer_random,40,861024,61.37909575013901,10,0.5474358974358975,0.06302773437499999,1.7719987148892948,-61.32867356263901,-59.91107459072757,0.4804530139182014,0.0779612310059173,1.7207846153846151,1.7671835619498495,1.7207846153846151,2.8708591023012078,0.4445122364933855,19.0,1.9167803234450467,0.5941089979885827,1.7207846153846151,2.292029674220179,2.6609640474436818,0.02803477975016438,0.0,0.0,0.0012138321009134406,0.006562500000000001,1.7719987148892948,0.00451156135803526,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334
multi_layer_random,40,861372,62.754499294820064,9,0.514102564102564,0.053280859375,0.8710182456946113,-62.71187460732006,-62.01506001076437,0.345493163436756,0.006275077159763254,1.9207846153846158,1.4007513726937169,1.9207846153846158,3.000381209266924,0.23522256717143467,21.0,1.4535882216306313,0.28805941610834906,1.9207846153846158,2.292029674220179,2.473011359090435,0.0179834976988823,0.0,0.0,0.004261063069939906,0.00031250000000000017,0.8710182456946113,0.008644990732397018,1.0,0.0,0.16666666666666666,0.16666666666666666
multi_layer_random,40,861799,61.86221572071102,9,0.5282051282051282,0.055021875,1.1084494512633405,-61.81819822071102,-60.93143865970035,0.345493163436756,0.02684052094674556,1.8361692307692308,1.688035192803428,1.8361692307692308,2.942742205199562,0.4635314450638371,28.0,1.7598275273108117,0.5353237795712207,1.8361692307692308,2.292029674220179,2.473011359090435,0.02196476002629849,0.0,0.0,0.013377579331614585,0.0020312500000000014,1.1084494512633405,0.00978741036461961,1.0,0.16666666666666666,0.8333333333333334,0.6666666666666666
multi_layer_random,40,862206,62.94625317501003,10,0.5205128205128206,0.05581406250000001,1.2015085213370822,-62.90160192501003,-61.94039510794036,0.4804530139182014,0.013847858224852109,1.8823230769230768,1.7323621800454059,1.8823230769230768,3.054750649350649,0.35777576745699546,22.0,1.8335014943329457,0.45891508174453527,1.8823230769230768,2.292029674220179,2.6609640474436818,0.019743852728468122,0.0,0.0,0.0018338022662107661,0.0010937500000000005,1.2015085213370822,0.007519970889236048,1.0,0.16666666666666666,0.3333333333333333,0.3333333333333333
multi_layer_random,40,862374,65.23991943793614,10,0.491025641025641,0.057043359375,1.0750365054683353,-65.19428475043614,-64.33425554606147,0.4804530139182014,0.0035101067455621422,2.059246153846154,0.7953298350001647,2.059246153846154,2.6807246753246754,0.40909428234103573,22.0,0.8567037419533857,0.4704681892942567,2.059246153846154,2.292029674220179,2.6609640474436818,0.012326692965154498,0.0,0.0,0.00029289317530167624,0.005312500000000001,1.0750365054683353,0.012049187379032099,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.5
