n,family,mean_score,mean_identity_variant,mean_score_A2,count,zeta,variant
30,lorentzian_like_2d,-37.45718893016996,-0.9907473053085982,-37.45718893016996,8,0.0,switch_zscore
30,multi_layer_random,-42.21373339408848,0.9907473053085979,-42.21373339408848,8,0.0,switch_zscore
40,lorentzian_like_2d,-56.74278673983671,-0.9749005254295223,-56.74278673983671,8,0.0,switch_zscore
40,multi_layer_random,-61.991815549943325,0.9749005254295223,-61.991815549943325,8,0.0,switch_zscore
30,lorentzian_like_2d,-37.952562582824264,-0.9907473053085982,-37.45718893016996,8,0.5,switch_zscore
30,multi_layer_random,-41.718359741434185,0.9907473053085979,-42.21373339408848,8,0.5,switch_zscore
40,lorentzian_like_2d,-57.23023700255147,-0.9749005254295223,-56.74278673983671,8,0.5,switch_zscore
40,multi_layer_random,-61.50436528722856,0.9749005254295223,-61.991815549943325,8,0.5,switch_zscore
30,lorentzian_like_2d,-38.44793623547856,-0.9907473053085982,-37.45718893016996,8,1.0,switch_zscore
30,multi_layer_random,-41.222986088779884,0.9907473053085979,-42.21373339408848,8,1.0,switch_zscore
40,lorentzian_like_2d,-57.71768726526623,-0.9749005254295223,-56.74278673983671,8,1.0,switch_zscore
40,multi_layer_random,-61.0169150245138,0.9749005254295223,-61.991815549943325,8,1.0,switch_zscore
30,lorentzian_like_2d,-38.94330988813286,-0.9907473053085982,-37.45718893016996,8,1.5,switch_zscore
30,multi_layer_random,-40.72761243612558,0.9907473053085979,-42.21373339408848,8,1.5,switch_zscore
40,lorentzian_like_2d,-58.205137527980995,-0.9749005254295223,-56.74278673983671,8,1.5,switch_zscore
40,multi_layer_random,-60.52946476179904,0.9749005254295223,-61.991815549943325,8,1.5,switch_zscore
30,lorentzian_like_2d,-39.43868354078716,-0.9907473053085982,-37.45718893016996,8,2.0,switch_zscore
30,multi_layer_random,-40.23223878347128,0.9907473053085979,-42.21373339408848,8,2.0,switch_zscore
40,lorentzian_like_2d,-58.692587790695754,-0.9749005254295223,-56.74278673983671,8,2.0,switch_zscore
40,multi_layer_random,-60.04201449908428,0.9749005254295223,-61.991815549943325,8,2.0,switch_zscore
30,lorentzian_like_2d,-39.934057193441454,-0.9907473053085982,-37.45718893016996,8,2.5,switch_zscore
30,multi_layer_random,-39.73686513081699,0.9907473053085979,-42.21373339408848,8,2.5,switch_zscore
40,lorentzian_like_2d,-59.18003805341051,-0.9749005254295223,-56.74278673983671,8,2.5,switch_zscore
40,multi_layer_random,-59.554564236369515,0.9749005254295223,-61.991815549943325,8,2.5,switch_zscore
