seed_label,n,scale_factor,gamma,family,mean_score,std_score,mean_penalty,mean_log_H,entropy_method,count
offset_100000,52,2.0,0.0,KR_like,-108.94037550895641,0.25485283940068043,16.53213696121958,108.94037550895641,sis,4
offset_100000,52,2.0,0.0,lorentzian_like_2d,-78.2821852339298,1.167178237988034,1.7595442305112137,78.2821852339298,exact,4
offset_100000,52,2.0,0.2,KR_like,-105.6339481167125,0.32006471794806834,16.53213696121958,108.94037550895641,sis,4
offset_100000,52,2.0,0.2,lorentzian_like_2d,-77.93027638782755,1.1893138201159004,1.7595442305112137,78.2821852339298,exact,4
offset_100000,52,2.0,0.4,KR_like,-102.32752072446857,0.38963086025402366,16.53213696121958,108.94037550895641,sis,4
offset_100000,52,2.0,0.4,lorentzian_like_2d,-77.5783675417253,1.212377586641689,1.7595442305112137,78.2821852339298,exact,4
offset_100000,52,2.0,0.6,KR_like,-99.02109333222467,0.4615867421318854,16.53213696121958,108.94037550895641,sis,4
offset_100000,52,2.0,0.6,lorentzian_like_2d,-77.22645869562307,1.2363175922270957,1.7595442305112137,78.2821852339298,exact,4
offset_100000,52,2.0,0.8,KR_like,-95.71466593998073,0.5349689368777347,16.53213696121958,108.94037550895641,sis,4
offset_100000,52,2.0,0.8,lorentzian_like_2d,-76.87454984952082,1.261083935150984,1.7595442305112137,78.2821852339298,exact,4
offset_100000,52,2.0,1.0,KR_like,-92.40823854773683,0.6092622883444989,16.53213696121958,108.94037550895641,sis,4
offset_100000,52,2.0,1.0,lorentzian_like_2d,-76.52264100341857,1.2866288977511064,1.7595442305112137,78.2821852339298,exact,4
offset_100000,52,2.0,1.5,KR_like,-84.14217006712704,0.7973045432637604,16.53213696121958,108.94037550895641,sis,4
offset_100000,52,2.0,1.5,lorentzian_like_2d,-75.64286888816297,1.3536052031706305,1.7595442305112137,78.2821852339298,exact,4
offset_100000,52,2.0,2.0,KR_like,-75.87610158651725,0.9871344102046546,16.53213696121958,108.94037550895641,sis,4
offset_100000,52,2.0,2.0,lorentzian_like_2d,-74.76309677290736,1.4245230645691274,1.7595442305112137,78.2821852339298,exact,4
offset_100000,52,2.05,0.0,KR_like,-108.94037550895641,0.25485283940068043,16.709638543415796,108.94037550895641,sis,4
offset_100000,52,2.05,0.0,lorentzian_like_2d,-78.2821852339298,1.167178237988034,1.7931099389321883,78.2821852339298,exact,4
offset_100000,52,2.05,0.2,KR_like,-105.59844780027325,0.3217562972991643,16.709638543415796,108.94037550895641,sis,4
offset_100000,52,2.05,0.2,lorentzian_like_2d,-77.92356324614335,1.188680574577946,1.7931099389321883,78.2821852339298,exact,4
