n,gamma,family,action_mode,normalization_method,mean_score_norm,std_score_norm,count
10,0.0,transitive_percolation,A1,robust_zscore,-1.6297366893248018,0.42994185625262626,10
10,0.0,lorentzian_like_3d,A1,robust_zscore,-0.8356962949243281,0.3400507322435559,10
10,0.0,multi_layer_random,A1,robust_zscore,-0.2878285210814449,0.4177907479990027,10
10,0.0,KR_like,A1,robust_zscore,0.016361048324039486,0.23791667952945603,10
10,0.0,lorentzian_like_2d,A1,robust_zscore,0.3854075593272816,0.46461799750403654,10
10,0.0,interval_order,A1,robust_zscore,0.4725841941747704,0.6045053447709949,10
10,0.0,absolute_layered,A1,robust_zscore,1.0942207425000576,0.20877499131627617,10
10,0.5,transitive_percolation,A1,robust_zscore,-1.9275868662851607,0.41196146953530016,10
10,0.5,lorentzian_like_3d,A1,robust_zscore,-1.1649116939733974,0.33788129063166517,10
10,0.5,multi_layer_random,A1,robust_zscore,-0.6230924523429362,0.41657118896609874,10
10,0.5,KR_like,A1,robust_zscore,-0.3228746934867196,0.2392394015873489,10
10,0.5,lorentzian_like_2d,A1,robust_zscore,0.0477007183581762,0.4660649327123683,10
10,0.5,interval_order,A1,robust_zscore,0.14244455754341495,0.599824110219386,10
10,0.5,absolute_layered,A1,robust_zscore,0.7692258579314895,0.20264846793451602,10
10,1.0,transitive_percolation,A1,robust_zscore,-2.2254370432455195,0.39476825054100473,10
10,1.0,lorentzian_like_3d,A1,robust_zscore,-1.4941270930224668,0.3358501377279791,10
10,1.0,multi_layer_random,A1,robust_zscore,-0.9583563836044275,0.41539347790861836,10
10,1.0,KR_like,A1,robust_zscore,-0.6621104352974787,0.2406301975137931,10
10,1.0,lorentzian_like_2d,A1,robust_zscore,-0.29000612261092923,0.4675676571873905,10
10,1.0,interval_order,A1,robust_zscore,-0.18769507908794053,0.5952283675083726,10
10,1.0,absolute_layered,A1,robust_zscore,0.4442309733629212,0.19652540042276928,10
10,1.5,transitive_percolation,A1,robust_zscore,-2.5232872202058783,0.3784694935110601,10
10,1.5,lorentzian_like_3d,A1,robust_zscore,-1.8233424920715364,0.33395979676950155,10
10,1.5,multi_layer_random,A1,robust_zscore,-1.2936203148659189,0.41425797174071616,10
10,1.5,KR_like,A1,robust_zscore,-1.0013461771082377,0.2420878940576845,10
10,1.5,lorentzian_like_2d,A1,robust_zscore,-0.6277129635800346,0.46912563480929426,10
10,1.5,interval_order,A1,robust_zscore,-0.5178347157192961,0.590720111994938,10
10,1.5,absolute_layered,A1,robust_zscore,0.11923608879435296,0.1904061221822474,10
10,2.0,transitive_percolation,A1,robust_zscore,-2.821137397166237,0.3631856412795289,10
10,2.0,lorentzian_like_3d,A1,robust_zscore,-2.1525578911206056,0.3322126714895029,10
10,2.0,multi_layer_random,A1,robust_zscore,-1.62888424612741,0.4131650184390877,10
10,2.0,KR_like,A1,robust_zscore,-1.3405819189189967,0.24361129028258433,10
10,2.0,lorentzian_like_2d,A1,robust_zscore,-0.96541980454914,0.4707383169731765,10
10,2.0,interval_order,A1,robust_zscore,-0.8479743523506516,0.5863013618322641,10
10,2.0,absolute_layered,A1,robust_zscore,-0.20575879577421524,0.18429101067512732,10
10,3.0,transitive_percolation,A1,robust_zscore,-3.416837751086954,0.3362075474274864,10
10,3.0,lorentzian_like_3d,A1,robust_zscore,-2.8109886892187443,0.3291570032040151,10
10,3.0,multi_layer_random,A1,robust_zscore,-2.299412108650393,0.4111081147725352,10
10,3.0,KR_like,A1,robust_zscore,-2.019053402540515,0.24685026390744916,10
10,3.0,lorentzian_like_2d,A1,robust_zscore,-1.640833486487351,0.4741255431441778,10
10,3.0,interval_order,A1,robust_zscore,-1.5082536256133625,0.5777405508147712,10
10,3.0,absolute_layered,A1,robust_zscore,-0.8557485649113517,0.1720750644692643,10
10,4.0,transitive_percolation,A1,robust_zscore,-4.012538105007671,0.31501918414908286,10
10,4.0,lorentzian_like_3d,A1,robust_zscore,-3.469419487316883,0.326699458205963,10
10,4.0,multi_layer_random,A1,robust_zscore,-2.9699399711733756,0.40922535380788233,10
10,4.0,KR_like,A1,robust_zscore,-2.697524886162033,0.25033710885448474,10
10,4.0,lorentzian_like_2d,A1,robust_zscore,-2.3162471684255617,0.4777247291409289,10
10,4.0,interval_order,A1,robust_zscore,-2.1685328988760735,0.5695624469668319,10
10,4.0,absolute_layered,A1,robust_zscore,-1.5057383340484882,0.1598817894591328,10
10,6.0,transitive_percolation,A1,robust_zscore,-5.203938812849107,0.29470295011917935,10
10,6.0,lorentzian_like_3d,A1,robust_zscore,-4.786281083513161,0.3236299293653329,10
10,6.0,multi_layer_random,A1,robust_zscore,-4.310995696219341,0.405991726917939,10
10,6.0,KR_like,A1,robust_zscore,-4.054467853405069,0.2580135041964893,10
10,6.0,lorentzian_like_2d,A1,robust_zscore,-3.667074532301983,0.48553984893391217,10
10,6.0,interval_order,A1,robust_zscore,-3.4890914454014954,0.554421314689589,10
10,6.0,absolute_layered,A1,robust_zscore,-2.805717872322761,0.1355877094507277,10
10,8.0,transitive_percolation,A1,robust_zscore,-6.395339520690541,0.30780194494610286,10
10,8.0,lorentzian_like_3d,A1,robust_zscore,-6.103142679709438,0.32307374493297214,10
10,8.0,multi_layer_random,A1,robust_zscore,-5.652051421265306,0.40348111336423637,10
10,8.0,KR_like,A1,robust_zscore,-5.411410820648106,0.26655836431733737,10
10,8.0,lorentzian_like_2d,A1,robust_zscore,-5.017901896178405,0.494144358742176,10
10,8.0,interval_order,A1,robust_zscore,-4.809649991926917,0.5410121315166871,10
10,8.0,absolute_layered,A1,robust_zscore,-4.105697410597034,0.11148406915780079,10
10,10.0,transitive_percolation,A1,robust_zscore,-7.586740228531975,0.35059051882919207,10
10,10.0,lorentzian_like_3d,A1,robust_zscore,-7.420004275905716,0.32504380696158974,10
10,10.0,multi_layer_random,A1,robust_zscore,-6.993107146311272,0.4017070695751895,10
10,10.0,KR_like,A1,robust_zscore,-6.768353787891142,0.27589100708245257,10
10,10.0,lorentzian_like_2d,A1,robust_zscore,-6.368729260054827,0.5034977894237702,10
10,10.0,interval_order,A1,robust_zscore,-6.130208538452339,0.5294665029944157,10
10,10.0,absolute_layered,A1,robust_zscore,-5.4056769488713075,0.08772798166100435,10
10,15.0,lorentzian_like_3d,A1,robust_zscore,-10.71215826639641,0.3405955422971013,10
10,15.0,transitive_percolation,A1,robust_zscore,-10.565241998135564,0.5310984489048309,10
10,15.0,multi_layer_random,A1,robust_zscore,-10.345746458926184,0.40054868301129437,10
