N,lor2d_mean,competitor,competitor_mean,gap,p_value
20,1.2969,random_layered_k4_uniform,1.7218,0.4249,4.6566e-03
20,1.2969,random_layered_k6_middle_heavy,1.7218,0.4249,8.5833e-04
20,1.2969,KR_like,2.2361,0.9391,2.7145e-05
28,1.3607,random_layered_k4_uniform,1.8142,0.4536,5.4830e-04
28,1.3607,random_layered_k6_middle_heavy,1.9654,0.6047,2.1595e-04
28,1.3607,KR_like,2.6458,1.2851,2.8603e-05
36,1.3333,random_layered_k4_uniform,2.0,0.6667,6.1946e-05
36,1.3333,random_layered_k6_middle_heavy,1.9667,0.6333,3.3389e-04
36,1.3333,KR_like,3.0,1.6667,2.9901e-05
44,1.3719,random_layered_k4_uniform,1.99,0.6181,5.7477e-05
44,1.3719,random_layered_k6_middle_heavy,2.0201,0.6482,6.0805e-05
44,1.3719,KR_like,3.3166,1.9447,2.0693e-05
52,1.4422,random_layered_k4_uniform,2.2743,0.8321,8.1996e-05
52,1.4422,random_layered_k6_middle_heavy,2.1217,0.6795,8.1996e-05
52,1.4422,KR_like,3.6056,2.1633,2.9031e-05
56,1.4165,random_layered_k4_uniform,2.3385,0.9221,7.4257e-05
56,1.4165,random_layered_k6_middle_heavy,2.2049,0.7884,7.0387e-05
56,1.4165,KR_like,3.7417,2.3252,2.7349e-05
