family,tier,N,seed,aw,cf,aw_over_sqrtN
lorentzian_like_2d,Tier-1,20,42,6,0.47368421052631576,1.3416407864998738
lorentzian_like_2d,Tier-1,20,43,4,0.5473684210526316,0.8944271909999159
lorentzian_like_2d,Tier-1,20,44,7,0.5473684210526316,1.5652475842498528
lorentzian_like_2d,Tier-1,20,45,6,0.3894736842105263,1.3416407864998738
lorentzian_like_2d,Tier-1,20,46,6,0.5210526315789473,1.3416407864998738
lorentzian_like_2d,Tier-1,20,47,6,0.531578947368421,1.3416407864998738
lorentzian_like_2d,Tier-1,20,48,7,0.3736842105263158,1.5652475842498528
lorentzian_like_2d,Tier-1,20,49,5,0.5052631578947369,1.118033988749895
lorentzian_like_2d,Tier-1,20,50,6,0.6,1.3416407864998738
lorentzian_like_2d,Tier-1,20,51,5,0.531578947368421,1.118033988749895
lorentzian_like_2d,Tier-1,28,42,9,0.5105820105820106,1.7008401285415224
lorentzian_like_2d,Tier-1,28,43,6,0.6137566137566137,1.1338934190276817
lorentzian_like_2d,Tier-1,28,44,7,0.5793650793650794,1.3228756555322951
lorentzian_like_2d,Tier-1,28,45,9,0.4417989417989418,1.7008401285415224
lorentzian_like_2d,Tier-1,28,46,6,0.5476190476190477,1.1338934190276817
lorentzian_like_2d,Tier-1,28,47,8,0.48148148148148145,1.5118578920369088
lorentzian_like_2d,Tier-1,28,48,7,0.4417989417989418,1.3228756555322951
lorentzian_like_2d,Tier-1,28,49,7,0.4973544973544973,1.3228756555322951
lorentzian_like_2d,Tier-1,28,50,6,0.5211640211640212,1.1338934190276817
lorentzian_like_2d,Tier-1,28,51,7,0.48148148148148145,1.3228756555322951
lorentzian_like_2d,Tier-1,36,42,7,0.5476190476190477,1.1666666666666667
lorentzian_like_2d,Tier-1,36,43,7,0.5666666666666667,1.1666666666666667
lorentzian_like_2d,Tier-1,36,44,9,0.546031746031746,1.5
lorentzian_like_2d,Tier-1,36,45,9,0.4587301587301587,1.5
lorentzian_like_2d,Tier-1,36,46,6,0.5555555555555556,1.0
lorentzian_like_2d,Tier-1,36,47,10,0.45396825396825397,1.6666666666666667
lorentzian_like_2d,Tier-1,36,48,8,0.43333333333333335,1.3333333333333333
lorentzian_like_2d,Tier-1,36,49,7,0.5317460317460317,1.1666666666666667
lorentzian_like_2d,Tier-1,36,50,8,0.5396825396825397,1.3333333333333333
lorentzian_like_2d,Tier-1,36,51,9,0.48095238095238096,1.5
lorentzian_like_2d,Tier-1,44,42,9,0.5243128964059197,1.3568010505999364
lorentzian_like_2d,Tier-1,44,43,10,0.5486257928118393,1.507556722888818
lorentzian_like_2d,Tier-1,44,44,9,0.5274841437632135,1.3568010505999364
lorentzian_like_2d,Tier-1,44,45,9,0.4978858350951374,1.3568010505999364
lorentzian_like_2d,Tier-1,44,46,9,0.5539112050739958,1.3568010505999364
