scale_label,scale_factor,n,gamma,family,mean_score,std_score,mean_penalty,mean_log_H,count
1.600,1.6,48,0.0,KR_like,-97.00715410052504,0.10939944281541335,14.687018345443835,97.00715410052504,2
1.600,1.6,48,0.0,lorentzian_like_2d,-70.80653821794888,3.8647624003242482,1.8446623073963315,70.80653821794888,2
1.600,1.6,48,0.1,KR_like,-95.53845226598067,0.14016706197832587,14.687018345443835,97.00715410052504,2
1.600,1.6,48,0.1,lorentzian_like_2d,-70.62207198720924,3.9270084110318404,1.8446623073963315,70.80653821794888,2
1.600,1.6,48,0.2,KR_like,-94.06975043143629,0.1709346811412183,14.687018345443835,97.00715410052504,2
1.600,1.6,48,0.2,lorentzian_like_2d,-70.43760575646961,3.9892544217394277,1.8446623073963315,70.80653821794888,2
1.600,1.6,48,0.4,KR_like,-91.13234676234751,0.2324699194670634,14.687018345443835,97.00715410052504,2
1.600,1.6,48,0.4,lorentzian_like_2d,-70.06867329499035,4.113746443154592,1.8446623073963315,70.80653821794888,2
1.600,1.6,48,0.6,KR_like,-88.19494309325876,0.2940051577928684,14.687018345443835,97.00715410052504,2
1.600,1.6,48,0.6,lorentzian_like_2d,-69.69974083351107,4.238238464569757,1.8446623073963315,70.80653821794888,2
1.600,1.6,48,0.8,KR_like,-85.25753942416998,0.3555403961186984,14.687018345443835,97.00715410052504,2
1.600,1.6,48,0.8,lorentzian_like_2d,-69.33080837203181,4.362730485984922,1.8446623073963315,70.80653821794888,2
1.600,1.6,48,1.0,KR_like,-82.32013575508122,0.41707563444451845,14.687018345443835,97.00715410052504,2
1.600,1.6,48,1.0,lorentzian_like_2d,-68.96187591055255,4.487222507400091,1.8446623073963315,70.80653821794888,2
1.600,1.6,48,1.5,KR_like,-74.9766265823593,0.570913730259076,14.687018345443835,97.00715410052504,2
1.600,1.6,48,1.5,lorentzian_like_2d,-68.03954475685438,4.798452560938017,1.8446623073963315,70.80653821794888,2
1.600,1.6,48,2.0,KR_like,-67.63311740963738,0.7247518260736436,14.687018345443835,97.00715410052504,2
1.600,1.6,48,2.0,lorentzian_like_2d,-67.11721360315622,5.109682614475931,1.8446623073963315,70.80653821794888,2
1.610,1.61,48,0.0,KR_like,-97.00715410052504,0.10939944281541335,14.724096730482891,97.00715410052504,2
1.610,1.61,48,0.0,lorentzian_like_2d,-70.80653821794888,3.8647624003242482,1.8527915303761913,70.80653821794888,2
1.610,1.61,48,0.1,KR_like,-95.53474442747677,0.14035854838052242,14.724096730482891,97.00715410052504,2
1.610,1.61,48,0.1,lorentzian_like_2d,-70.62125906491126,3.926985591743215,1.8527915303761913,70.80653821794888,2
1.610,1.61,48,0.2,KR_like,-94.06233475442846,0.17131765394565163,14.724096730482891,97.00715410052504,2
1.610,1.61,48,0.2,lorentzian_like_2d,-70.43597991187363,3.9892087831622027,1.8527915303761913,70.80653821794888,2
1.610,1.61,48,0.4,KR_like,-91.11751540833188,0.2332358650758698,14.724096730482891,97.00715410052504,2
1.610,1.61,48,0.4,lorentzian_like_2d,-70.0654216057984,4.1136551660001315,1.8527915303761913,70.80653821794888,2
1.610,1.61,48,0.6,KR_like,-88.1726960622353,0.29515407620610806,14.724096730482891,97.00715410052504,2
1.610,1.61,48,0.6,lorentzian_like_2d,-69.69486329972315,4.238101548838071,1.8527915303761913,70.80653821794888,2
1.610,1.61,48,0.8,KR_like,-85.22787671613874,0.3570722873363313,14.724096730482891,97.00715410052504,2
1.610,1.61,48,0.8,lorentzian_like_2d,-69.32430499364793,4.362547931676006,1.8527915303761913,70.80653821794888,2
