scale_label,n,gamma_c_est,status,min_delta_score,max_delta_score
1.400,48,,no_cross_left_never_wins,1.116299800667548,25.643045394394647
1.400,52,,no_cross_left_never_wins,2.3024230962075904,28.929023258163653
1.500,48,,no_cross_left_never_wins,0.5373165594835854,25.643045394394647
1.500,52,,no_cross_left_never_wins,1.7336359229679346,28.929023258163653
1.600,48,1.9967555266668422,crossing,-0.04166668170036303,25.643045394394647
1.600,52,,no_cross_left_never_wins,1.1648487497282503,28.929023258163653
1.700,48,1.952737045157847,crossing,-0.6206499228843114,25.643045394394647
1.700,52,,no_cross_left_never_wins,0.5960615764886086,28.929023258163653
1.800,48,1.9106174772047828,crossing,-1.1996331640682456,25.643045394394647
1.800,52,,no_cross_left_never_wins,0.027274403248924273,28.929023258163653
1.900,48,1.8702765413527844,crossing,-1.7786164052522082,25.643045394394647
1.900,52,1.963250565278255,crossing,-0.5415127699907458,28.929023258163653
2.000,48,1.831603904624463,crossing,-2.3575996464361424,25.643045394394647
2.000,52,1.926076900215988,crossing,-1.110299943230416,28.929023258163653
2.100,48,1.7944981748087956,crossing,-2.936582887620105,25.643045394394647
2.100,52,1.8902848234720406,crossing,-1.6790871164701002,28.929023258163653
2.200,48,1.7588660128067453,crossing,-3.515566128804039,25.643045394394647
2.200,52,1.8557987185057105,crossing,-2.247874289709756,28.929023258163653
