scale_label,scale_factor,n,gamma,family,mean_score,std_score,mean_penalty,mean_log_H,entropy_method,count
1.400,1.4,48,0.0,KR_like,-96.44958361234353,0.2890590502161561,13.945450644662689,96.44958361234353,sis,2
1.400,1.4,48,0.0,lorentzian_like_2d,-70.80653821794888,3.8647624003242482,1.682077847799135,70.80653821794888,exact,2
1.400,1.4,48,0.1,KR_like,-95.05503854787725,0.31599694133500156,13.945450644662689,96.44958361234353,sis,2
1.400,1.4,48,0.1,lorentzian_like_2d,-70.63833043316896,3.9274647968041276,1.682077847799135,70.80653821794888,exact,2
1.400,1.4,48,0.2,KR_like,-93.66049348341099,0.3429348324538219,13.945450644662689,96.44958361234353,sis,2
1.400,1.4,48,0.2,lorentzian_like_2d,-70.47012264838905,3.990167193284013,1.682077847799135,70.80653821794888,exact,2
1.400,1.4,48,0.4,KR_like,-90.87140335447845,0.3968106146914928,13.945450644662689,96.44958361234353,sis,2
1.400,1.4,48,0.4,lorentzian_like_2d,-70.13370707882922,4.115571986243761,1.682077847799135,70.80653821794888,exact,2
1.400,1.4,48,0.6,KR_like,-88.0823132255459,0.45068639692915863,13.945450644662689,96.44958361234353,sis,2
1.400,1.4,48,0.6,lorentzian_like_2d,-69.7972915092694,4.240976779203517,1.682077847799135,70.80653821794888,exact,2
1.400,1.4,48,0.8,KR_like,-85.29322309661337,0.5045621791668145,13.945450644662689,96.44958361234353,sis,2
1.400,1.4,48,0.8,lorentzian_like_2d,-69.46087593970957,4.366381572163281,1.682077847799135,70.80653821794888,exact,2
1.400,1.4,48,1.0,KR_like,-82.50413296768083,0.5584379614044853,13.945450644662689,96.44958361234353,sis,2
1.400,1.4,48,1.0,lorentzian_like_2d,-69.12446037014973,4.491786365123045,1.682077847799135,70.80653821794888,exact,2
1.400,1.4,48,1.5,KR_like,-75.53140764534949,0.6931274169986424,13.945450644662689,96.44958361234353,sis,2
1.400,1.4,48,1.5,lorentzian_like_2d,-68.28342144625017,4.805298347522434,1.682077847799135,70.80653821794888,exact,2
1.400,1.4,48,2.0,KR_like,-68.55868232301815,0.8278168725927995,13.945450644662689,96.44958361234353,sis,2
1.400,1.4,48,2.0,lorentzian_like_2d,-67.4423825223506,5.118810329921815,1.682077847799135,70.80653821794888,exact,2
1.400,1.4,52,0.0,KR_like,-108.98561716545495,0.1687926850512494,14.661866740320256,108.98561716545495,sis,2
1.400,1.4,52,0.0,lorentzian_like_2d,-80.0565939072913,1.3148746304708359,1.3485666593422307,80.0565939072913,exact,2
1.400,1.4,52,0.1,KR_like,-107.51943049142292,0.22194397192140286,14.661866740320256,108.98561716545495,sis,2
1.400,1.4,52,0.1,lorentzian_like_2d,-79.92173724135708,1.3249545074384228,1.3485666593422307,80.0565939072913,exact,2
1.400,1.4,52,0.2,KR_like,-106.0532438173909,0.2750952587915513,14.661866740320256,108.98561716545495,sis,2
1.400,1.4,52,0.2,lorentzian_like_2d,-79.78688057542286,1.3350343844059898,1.3485666593422307,80.0565939072913,exact,2
1.400,1.4,52,0.4,KR_like,-103.12087046932685,0.3813978325318632,14.661866740320256,108.98561716545495,sis,2
