scale_label,n,gamma_c_est,status,min_delta_score,max_delta_score
1.800,52,1.9818216987002641,crossing,-0.26269234938696684,28.639056505527762
1.820,52,1.9740518204109148,crossing,-0.3764497840349037,28.639056505527762
1.840,52,1.9663426289573263,crossing,-0.49020721868282635,28.639056505527762
1.860,52,1.9586934161111595,crossing,-0.6039646533307632,28.639056505527762
1.880,52,1.9511034846216093,crossing,-0.7177220879787001,28.639056505527762
1.900,52,1.9435721480035322,crossing,-0.8314795226266369,28.639056505527762
1.920,52,1.9360987303304666,crossing,-0.9452369572745738,28.639056505527762
1.940,52,1.9286825660324105,crossing,-1.0589943919225107,28.639056505527762
1.960,52,1.921322999698227,crossing,-1.1727518265704475,28.639056505527762
1.980,52,1.9140193858825567,crossing,-1.2865092612183844,28.639056505527762
2.000,52,1.9067710889171214,crossing,-1.400266695866307,28.639056505527762
2.020,52,1.8995774827262903,crossing,-1.514024130514244,28.639056505527762
2.040,52,1.8924379506468167,crossing,-1.6277815651621808,28.639056505527762
2.060,52,1.885351885251616,crossing,-1.7415389998101034,28.639056505527762
