scale_label,n,gamma_c_est,status,min_delta_score,max_delta_score
1.740,52,,no_cross_left_never_wins,0.07857995455684375,28.639056505527762
1.742,52,,no_cross_left_never_wins,0.06720421109204722,28.639056505527762
1.744,52,,no_cross_left_never_wins,0.05582846762725069,28.639056505527762
1.746,52,,no_cross_left_never_wins,0.04445272416245416,28.639056505527762
1.748,52,,no_cross_left_never_wins,0.03307698069767184,28.639056505527762
1.750,52,,no_cross_left_never_wins,0.021701237232861104,28.639056505527762
1.752,52,,no_cross_left_never_wins,0.010325493768078786,28.639056505527762
1.754,52,1.9999266588141114,crossing,-0.0010502496967035313,28.639056505527762
1.756,52,1.9991326108055956,crossing,-0.01242599316151427,28.639056505527762
1.758,52,1.9983391930821954,crossing,-0.0238017366263108,28.639056505527762
1.760,52,1.9975464048937637,crossing,-0.035177480091093116,28.639056505527762
