stage,n,n_cg,family,sample_id,keep_ratio,cg_repeat,gamma,beta,action_mode,entropy_method,log_H,penalty_local,score_local,penalty_global_consistency,score_augmented,score_augmented_full,sig_comp,sig_d_eff,sig_height_ratio,sig_width_ratio,sig_degree_var,sig_interval_empty,sig_interval_size_ratio,base_family_rank
original,16,16,KR_like,0,1.0,0,0.2,1.0,A2,exact,18.694635060455635,5.2399237136582375,-17.64665031772399,0.0,-17.64665031772399,-17.64665031772399,0.43333333333333335,2.4054,0.1875,0.4375,0.041748046875,0.7115384615384616,0.04927884615384615,1
original,16,16,KR_like,0,1.0,0,0.8,1.0,A2,exact,18.694635060455635,5.2399237136582375,-14.502696089529046,0.0,-14.502696089529046,-14.502696089529046,0.43333333333333335,2.4054,0.1875,0.4375,0.041748046875,0.7115384615384616,0.04927884615384615,2
original,16,16,KR_like,1,1.0,0,0.2,1.0,A2,exact,18.941170651723432,5.584940091357598,-17.824182633451912,0.0,-17.824182633451912,-17.824182633451912,0.39166666666666666,2.6554,0.1875,0.4375,0.0351409912109375,0.7021276595744681,0.03723404255319149,1
original,16,16,KR_like,1,1.0,0,0.8,1.0,A2,exact,18.941170651723432,5.584940091357598,-14.473218578637354,0.0,-14.473218578637354,-14.473218578637354,0.39166666666666666,2.6554,0.1875,0.4375,0.0351409912109375,0.7021276595744681,0.03723404255319149,2
original,16,16,KR_like,2,1.0,0,0.2,1.0,A2,exact,18.966587516995148,6.818351606697355,-17.602917195655678,0.0,-17.602917195655678,-17.602917195655678,0.4,2.6054,0.1875,0.4375,0.038818359375,0.7083333333333334,0.04296875,1
original,16,16,KR_like,2,1.0,0,0.8,1.0,A2,exact,18.966587516995148,6.818351606697355,-13.511906231637262,0.0,-13.511906231637262,-13.511906231637262,0.4,2.6054,0.1875,0.4375,0.038818359375,0.7083333333333334,0.04296875,2
original,16,16,lorentzian_like_2d,0,1.0,0,0.2,1.0,A2,exact,14.884221215631776,0.395999167044271,-14.805021382222922,0.0,-14.805021382222922,-14.805021382222922,0.525,1.8554,0.3125,0.3125,0.0478363037109375,0.4126984126984127,0.07936507936507936,5
original,16,16,lorentzian_like_2d,0,1.0,0,0.8,1.0,A2,exact,14.884221215631776,0.395999167044271,-14.567421881996358,0.0,-14.567421881996358,-14.567421881996358,0.525,1.8554,0.3125,0.3125,0.0478363037109375,0.4126984126984127,0.07936507936507936,1
original,16,16,lorentzian_like_2d,1,1.0,0,0.2,1.0,A2,exact,16.4164397316539,0.7535800003776052,-16.265723731578376,0.0,-16.265723731578376,-16.265723731578376,0.4583333333333333,2.2554000000000003,0.3125,0.3125,0.0400238037109375,0.6,0.06136363636363636,5
original,16,16,lorentzian_like_2d,1,1.0,0,0.8,1.0,A2,exact,16.4164397316539,0.7535800003776052,-15.813575731351815,0.0,-15.813575731351815,-15.813575731351815,0.4583333333333333,2.2554000000000003,0.3125,0.3125,0.0400238037109375,0.6,0.06136363636363636,1
