n,family,sample_id,gamma,beta,action_mode,log_H_mean,log_H_std,entropy_method,penalty_neutral,penalty_geometric,penalty_info,penalty_effective,score,score_per_node,score_per_nlogn,log_H_norm,penalty_norm,log_H_norm_scale,penalty_norm_scale,score_norm,score_norm_std_est,normalization_method,normalization_group,dropped_term
10,absolute_layered,0,0.0,1.0,A4,6.173786103901937,0.0,sis,0.1906,16.52718529491215,0.5972350669162926,0.5972350669162926,-6.173786103901937,-0.6173786103901937,-0.2681241237375587,-1.3377727058028293,-0.7958889274589986,2.735311080851398,1.6167754049515923,1.3377727058028293,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,0,0.2,1.0,A4,6.173786103901937,0.0,sis,0.1906,16.52718529491215,0.5972350669162926,0.5972350669162926,-6.0543390905186785,-0.6054339090518679,-0.2629366058583414,-1.3377727058028293,-0.7958889274589986,2.735311080851398,1.6167754049515923,1.1785949203110295,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,0,0.5,1.0,A4,6.173786103901937,0.0,sis,0.1906,16.52718529491215,0.5972350669162926,0.5972350669162926,-5.87516857044379,-0.5875168570443791,-0.25515532903951543,-1.3377727058028293,-0.7958889274589986,2.735311080851398,1.6167754049515923,0.9398282420733299,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,0,1.0,1.0,A4,6.173786103901937,0.0,sis,0.1906,16.52718529491215,0.5972350669162926,0.5972350669162926,-5.576551036985644,-0.5576551036985644,-0.24218653434147216,-1.3377727058028293,-0.7958889274589986,2.735311080851398,1.6167754049515923,0.5418837783438306,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,1,0.0,1.0,A4,5.662960480135946,0.0,sis,0.14,19.104177777777778,0.8343015854433914,0.8343015854433914,-5.662960480135946,-0.5662960480135946,-0.24593924877592305,-1.524525001489428,-0.6492597062319495,2.735311080851398,1.6167754049515923,1.524525001489428,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,1,0.2,1.0,A4,5.662960480135946,0.0,sis,0.14,19.104177777777778,0.8343015854433914,0.8343015854433914,-5.4961001630472675,-0.5496100163047267,-0.23869259727989905,-1.524525001489428,-0.6492597062319495,2.735311080851398,1.6167754049515923,1.3946730602430382,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,1,0.5,1.0,A4,5.662960480135946,0.0,sis,0.14,19.104177777777778,0.8343015854433914,0.8343015854433914,-5.24580968741425,-0.524580968741425,-0.2278226200358631,-1.524525001489428,-0.6492597062319495,2.735311080851398,1.6167754049515923,1.1998951483734532,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,1,1.0,1.0,A4,5.662960480135946,0.0,sis,0.14,19.104177777777778,0.8343015854433914,0.8343015854433914,-4.828658894692555,-0.48286588946925546,-0.20970599129580314,-1.524525001489428,-0.6492597062319495,2.735311080851398,1.6167754049515923,0.8752652952574785,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,2,0.0,1.0,A4,6.579251212010101,0.0,sis,0.21409999999999998,14.36961270231957,1.5333826055522266,1.5333826055522266,-6.579251212010101,-0.6579251212010101,-0.2857332496431268,-1.1895390694363364,-0.2168675397208773,2.735311080851398,1.6167754049515923,1.1895390694363364,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,2,0.2,1.0,A4,6.579251212010101,0.0,sis,0.21409999999999998,14.36961270231957,1.5333826055522266,1.5333826055522266,-6.272574690899656,-0.6272574690899656,-0.27241445755837157,-1.1895390694363364,-0.2168675397208773,2.735311080851398,1.6167754049515923,1.1461655614921609,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,2,0.5,1.0,A4,6.579251212010101,0.0,sis,0.21409999999999998,14.36961270231957,1.5333826055522266,1.5333826055522266,-5.812559909233988,-0.5812559909233987,-0.2524362694312387,-1.1895390694363364,-0.2168675397208773,2.735311080851398,1.6167754049515923,1.0811052995758976,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,2,1.0,1.0,A4,6.579251212010101,0.0,sis,0.21409999999999998,14.36961270231957,1.5333826055522266,1.5333826055522266,-5.045868606457875,-0.5045868606457875,-0.21913928921935055,-1.1895390694363364,-0.2168675397208773,2.735311080851398,1.6167754049515923,0.9726715297154591,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,3,0.0,1.0,A4,5.662960480135946,0.0,sis,0.14,19.033066666666667,0.3156753088664458,0.3156753088664458,-5.662960480135946,-0.5662960480135946,-0.24593924877592305,-1.524525001489428,-0.9700378891438016,2.735311080851398,1.6167754049515923,1.524525001489428,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,3,0.2,1.0,A4,5.662960480135946,0.0,sis,0.14,19.033066666666667,0.3156753088664458,0.3156753088664458,-5.599825418362657,-0.5599825418362656,-0.243197327881647,-1.524525001489428,-0.9700378891438016,2.735311080851398,1.6167754049515923,1.3305174236606678,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,3,0.5,1.0,A4,5.662960480135946,0.0,sis,0.14,19.033066666666667,0.3156753088664458,0.3156753088664458,-5.505122825702723,-0.5505122825702723,-0.23908444654023295,-1.524525001489428,-0.9700378891438016,2.735311080851398,1.6167754049515923,1.0395060569175272,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,3,1.0,1.0,A4,5.662960480135946,0.0,sis,0.14,19.033066666666667,0.3156753088664458,0.3156753088664458,-5.3472851712695,-0.53472851712695,-0.23222964430454285,-1.524525001489428,-0.9700378891438016,2.735311080851398,1.6167754049515923,0.5544871123456264,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,4,0.0,1.0,A4,5.662960480135946,0.0,sis,0.14,19.763196296296297,0.688640639784743,0.688640639784743,-5.662960480135946,-0.5662960480135946,-0.24593924877592305,-1.524525001489428,-0.7393532004875786,2.735311080851398,1.6167754049515923,1.524525001489428,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,4,0.2,1.0,A4,5.662960480135946,0.0,sis,0.14,19.763196296296297,0.688640639784743,0.688640639784743,-5.525232352178998,-0.5525232352178998,-0.2399577921784663,-1.524525001489428,-0.7393532004875786,2.735311080851398,1.6167754049515923,1.3766543613919122,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,4,0.5,1.0,A4,5.662960480135946,0.0,sis,0.14,19.763196296296297,0.688640639784743,0.688640639784743,-5.318640160243574,-0.5318640160243574,-0.2309856072822811,-1.524525001489428,-0.7393532004875786,2.735311080851398,1.6167754049515923,1.1548484012456388,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,4,1.0,1.0,A4,5.662960480135946,0.0,sis,0.14,19.763196296296297,0.688640639784743,0.688640639784743,-4.974319840351203,-0.49743198403512034,-0.21603196578863917,-1.524525001489428,-0.7393532004875786,2.735311080851398,1.6167754049515923,0.7851718010018495,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,5,0.0,1.0,A4,7.272398392570047,0.0,sis,0.2894,6.855964595193741,1.1233300459846234,1.1233300459846234,-7.272398392570047,-0.7272398392570046,-0.3158362492095249,-0.9361319943097314,-0.4704912392846894,2.735311080851398,1.6167754049515923,0.9361319943097314,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,5,0.2,1.0,A4,7.272398392570047,0.0,sis,0.2894,6.855964595193741,1.1233300459846234,1.1233300459846234,-7.047732383373122,-0.7047732383373122,-0.30607912840297996,-0.9361319943097314,-0.4704912392846894,2.735311080851398,1.6167754049515923,0.8420337464527935,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,5,0.5,1.0,A4,7.272398392570047,0.0,sis,0.2894,6.855964595193741,1.1233300459846234,1.1233300459846234,-6.710733369577735,-0.6710733369577735,-0.2914434471931625,-0.9361319943097314,-0.4704912392846894,2.735311080851398,1.6167754049515923,0.7008863746673867,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,5,1.0,1.0,A4,7.272398392570047,0.0,sis,0.2894,6.855964595193741,1.1233300459846234,1.1233300459846234,-6.149068346585423,-0.6149068346585423,-0.2670506451768001,-0.9361319943097314,-0.4704912392846894,2.735311080851398,1.6167754049515923,0.465640755025042,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,6,0.0,1.0,A4,6.173786103901937,0.0,sis,0.1906,17.420000109726967,1.128603581105495,1.128603581105495,-6.173786103901937,-0.6173786103901937,-0.2681241237375587,-1.3377727058028293,-0.46722947818619615,2.735311080851398,1.6167754049515923,1.3377727058028293,0.0,robust_zscore,"n,gamma,action_mode",none
10,absolute_layered,6,0.2,1.0,A4,6.173786103901937,0.0,sis,0.1906,17.420000109726967,1.128603581105495,1.128603581105495,-5.948065387680837,-0.5948065387680838,-0.2583211975869514,-1.3377727058028293,-0.46722947818619615,2.735311080851398,1.6167754049515923,1.24432681016559,0.0,robust_zscore,"n,gamma,action_mode",none
