action_mode,n,gamma,lor4d_rank,lor4d_score,top1_family,top1_score,gap_to_top1,total_families
A2,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,17
A2,10,0.1,9,-7.91161587343648,multi_layer_random,-8.502339211072183,0.5907233376357031,17
A2,10,0.2,14,-3.3319019433743087,KR_like,-7.87503905968016,4.543137116305851,17
A2,10,0.5,15,10.407239846812203,KR_4layer,-7.045895425170025,17.453135271982227,17
A2,10,1.0,15,33.30580949712306,KR_4layer,-5.871108056309576,39.17691755343263,17
A2,10,2.0,15,79.10294879774477,KR_4layer,-3.5215333185886792,82.62448211633345,17
A2,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,17
A2,20,0.1,2,-29.631614677073458,KR_2layer,-29.98467371650881,0.353059039435351,17
A2,20,0.2,3,-25.632243957503675,lorentzian_like_3d,-26.174338054891496,0.542094097387821,17
A2,20,0.5,15,-13.634131798794325,KR_4layer,-23.706500122323334,10.072368323529009,17
A2,20,1.0,16,6.362721799054594,KR_4layer,-22.061162445978475,28.42388424503307,17
A2,20,2.0,16,46.35642899475243,lorentzian_like_2d,-20.62359294608282,66.98002194083524,17
A2,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,17
A2,40,0.1,3,-82.07252472843697,lorentzian_like_5d,-86.20245574283624,4.129931014399261,17
A2,40,0.2,3,-77.9491947507374,KR_2layer,-80.6831198411129,2.733925090375493,17
A2,40,0.5,5,-65.57920481763867,KR_like,-67.59508489692719,2.0158800792885216,17
A2,40,1.0,15,-44.96255492914078,multi_layer_random,-63.603878003381304,18.641323074240525,17
A2,40,2.0,15,-3.7292551521449973,random_layered_k4_uniform,-58.942278234273886,55.213023082128885,17
A4,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,17
A4,10,0.1,3,-11.761468760978971,transitive_percolation,-12.199255080952629,0.43778631997365736,17
A4,10,0.2,2,-11.031607718459293,transitive_percolation,-11.205377953174876,0.17377023471558317,17
A4,10,0.5,4,-8.842024590900255,lorentzian_like_3d,-9.398817758602236,0.5567931677019811,17
A4,10,1.0,14,-5.192719378301861,multi_layer_random,-7.897215487883102,2.7044961095812408,17
A4,10,2.0,15,2.1058910468949277,KR_like,-6.379791792935416,8.485682839830343,17
A4,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,17
A4,20,0.1,3,-33.19796494711484,lorentzian_like_5d,-34.18886130172192,0.9908963546070808,17
