n,gamma,K,lor4d_a2_rank,lor4d_in_topk,lor4d_sequential_rank,lor4d_a4_only_rank,lor4d_a6_hybrid_rank,sequential_top1,topk_families
10,0.0,3,3,True,3.0,3,3,lorentzian_like_5d,"['lorentzian_like_5d', 'transitive_percolation', 'lorentzian_like_4d']"
10,0.0,5,3,True,3.0,3,3,lorentzian_like_5d,"['lorentzian_like_5d', 'transitive_percolation', 'lorentzian_like_4d', 'KR_2layer', 'lorentzian_like_3d']"
10,0.0,8,3,True,3.0,3,3,lorentzian_like_5d,"['lorentzian_like_5d', 'transitive_percolation', 'lorentzian_like_4d', 'KR_2layer', 'lorentzian_like_3d', 'random_layered_k8_uniform', 'random_layered_k6_tapered', 'random_layered_k4_uniform']"
10,0.0,10,3,True,3.0,3,3,lorentzian_like_5d,"['lorentzian_like_5d', 'transitive_percolation', 'lorentzian_like_4d', 'KR_2layer', 'lorentzian_like_3d', 'random_layered_k8_uniform', 'random_layered_k6_tapered', 'random_layered_k4_uniform', 'random_layered_k6_middle_heavy', 'random_layered_k6_uniform']"
10,0.1,3,9,False,,3,13,KR_2layer,"['multi_layer_random', 'lorentzian_like_3d', 'KR_2layer']"
10,0.1,5,9,False,,3,13,KR_2layer,"['multi_layer_random', 'lorentzian_like_3d', 'KR_2layer', 'KR_like', 'random_layered_k6_longjump']"
10,0.1,8,9,False,,3,13,KR_2layer,"['multi_layer_random', 'lorentzian_like_3d', 'KR_2layer', 'KR_like', 'random_layered_k6_longjump', 'random_layered_k6_tapered', 'KR_4layer', 'random_layered_k4_uniform']"
10,0.1,10,9,True,1.0,3,13,lorentzian_like_4d,"['multi_layer_random', 'lorentzian_like_3d', 'KR_2layer', 'KR_like', 'random_layered_k6_longjump', 'random_layered_k6_tapered', 'KR_4layer', 'random_layered_k4_uniform', 'lorentzian_like_4d', 'random_layered_k6_uniform']"
10,0.2,3,14,False,,2,15,multi_layer_random,"['KR_like', 'KR_4layer', 'multi_layer_random']"
10,0.2,5,14,False,,2,15,multi_layer_random,"['KR_like', 'KR_4layer', 'multi_layer_random', 'lorentzian_like_2d', 'random_layered_k6_longjump']"
10,0.2,8,14,False,,2,15,lorentzian_like_3d,"['KR_like', 'KR_4layer', 'multi_layer_random', 'lorentzian_like_2d', 'random_layered_k6_longjump', 'interval_order', 'random_layered_k6_uniform', 'lorentzian_like_3d']"
10,0.2,10,14,False,,2,15,lorentzian_like_3d,"['KR_like', 'KR_4layer', 'multi_layer_random', 'lorentzian_like_2d', 'random_layered_k6_longjump', 'interval_order', 'random_layered_k6_uniform', 'lorentzian_like_3d', 'random_layered_k4_uniform', 'random_layered_k6_middle_heavy']"
10,0.5,3,15,False,,4,15,KR_like,"['KR_4layer', 'KR_like', 'lorentzian_like_2d']"
10,0.5,5,15,False,,4,15,multi_layer_random,"['KR_4layer', 'KR_like', 'lorentzian_like_2d', 'interval_order', 'multi_layer_random']"
10,0.5,8,15,False,,4,15,multi_layer_random,"['KR_4layer', 'KR_like', 'lorentzian_like_2d', 'interval_order', 'multi_layer_random', 'random_layered_k6_longjump', 'random_layered_k6_uniform', 'random_layered_k6_middle_heavy']"
10,0.5,10,15,False,,4,15,lorentzian_like_3d,"['KR_4layer', 'KR_like', 'lorentzian_like_2d', 'interval_order', 'multi_layer_random', 'random_layered_k6_longjump', 'random_layered_k6_uniform', 'random_layered_k6_middle_heavy', 'random_layered_k4_uniform', 'lorentzian_like_3d']"
10,1.0,3,15,False,,14,15,KR_like,"['KR_4layer', 'KR_like', 'lorentzian_like_2d']"
10,1.0,5,15,False,,14,15,multi_layer_random,"['KR_4layer', 'KR_like', 'lorentzian_like_2d', 'interval_order', 'multi_layer_random']"
10,1.0,8,15,False,,14,15,multi_layer_random,"['KR_4layer', 'KR_like', 'lorentzian_like_2d', 'interval_order', 'multi_layer_random', 'random_layered_k6_longjump', 'random_layered_k6_uniform', 'random_layered_k6_middle_heavy']"
10,1.0,10,15,False,,14,15,multi_layer_random,"['KR_4layer', 'KR_like', 'lorentzian_like_2d', 'interval_order', 'multi_layer_random', 'random_layered_k6_longjump', 'random_layered_k6_uniform', 'random_layered_k6_middle_heavy', 'absolute_layered', 'random_layered_k4_uniform']"
10,2.0,3,15,False,,15,15,KR_like,"['KR_4layer', 'KR_like', 'lorentzian_like_2d']"
10,2.0,5,15,False,,15,15,KR_like,"['KR_4layer', 'KR_like', 'lorentzian_like_2d', 'interval_order', 'multi_layer_random']"
10,2.0,8,15,False,,15,15,KR_like,"['KR_4layer', 'KR_like', 'lorentzian_like_2d', 'interval_order', 'multi_layer_random', 'random_layered_k6_longjump', 'random_layered_k6_uniform', 'absolute_layered']"
10,2.0,10,15,False,,15,15,KR_like,"['KR_4layer', 'KR_like', 'lorentzian_like_2d', 'interval_order', 'multi_layer_random', 'random_layered_k6_longjump', 'random_layered_k6_uniform', 'absolute_layered', 'random_layered_k6_middle_heavy', 'random_layered_k4_uniform']"
20,0.0,3,3,True,3.0,3,3,lorentzian_like_5d,"['lorentzian_like_5d', 'KR_2layer', 'lorentzian_like_4d']"
20,0.0,5,3,True,3.0,3,3,lorentzian_like_5d,"['lorentzian_like_5d', 'KR_2layer', 'lorentzian_like_4d', 'transitive_percolation', 'lorentzian_like_3d']"
20,0.0,8,3,True,3.0,3,3,lorentzian_like_5d,"['lorentzian_like_5d', 'KR_2layer', 'lorentzian_like_4d', 'transitive_percolation', 'lorentzian_like_3d', 'KR_like', 'random_layered_k6_uniform', 'multi_layer_random']"
20,0.0,10,3,True,3.0,3,3,lorentzian_like_5d,"['lorentzian_like_5d', 'KR_2layer', 'lorentzian_like_4d', 'transitive_percolation', 'lorentzian_like_3d', 'KR_like', 'random_layered_k6_uniform', 'multi_layer_random', 'random_layered_k4_uniform', 'KR_4layer']"
20,0.1,3,2,True,3.0,3,2,lorentzian_like_5d,"['KR_2layer', 'lorentzian_like_4d', 'lorentzian_like_5d']"
