n,g1,g2,K,lor4d_a2_rank(g1),in_topk,lor4d_seq_rank,lor4d_a4_rank(g2),lor4d_a2_rank,improvement,top_k
10,0.0,0.2,3,3,True,2.0,2,3,0.0,"['lorentzian_like_5d', 'transitive_percolation', 'lorentzian_like_4d']"
10,0.0,0.5,3,3,True,1.0,4,3,3.0,"['lorentzian_like_5d', 'transitive_percolation', 'lorentzian_like_4d']"
10,0.0,1.0,3,3,True,1.0,14,3,13.0,"['lorentzian_like_5d', 'transitive_percolation', 'lorentzian_like_4d']"
10,0.0,2.0,3,3,True,1.0,15,3,14.0,"['lorentzian_like_5d', 'transitive_percolation', 'lorentzian_like_4d']"
10,0.0,0.2,5,3,True,2.0,2,3,0.0,"['lorentzian_like_5d', 'transitive_percolation', 'lorentzian_like_4d', 'KR_2layer', 'lorentzian_like_3d']"
10,0.0,0.5,5,3,True,2.0,4,3,2.0,"['lorentzian_like_5d', 'transitive_percolation', 'lorentzian_like_4d', 'KR_2layer', 'lorentzian_like_3d']"
10,0.0,1.0,5,3,True,2.0,14,3,12.0,"['lorentzian_like_5d', 'transitive_percolation', 'lorentzian_like_4d', 'KR_2layer', 'lorentzian_like_3d']"
10,0.0,2.0,5,3,True,3.0,15,3,12.0,"['lorentzian_like_5d', 'transitive_percolation', 'lorentzian_like_4d', 'KR_2layer', 'lorentzian_like_3d']"
10,0.0,0.2,8,3,True,2.0,2,3,0.0,"['lorentzian_like_5d', 'transitive_percolation', 'lorentzian_like_4d', 'KR_2layer', 'lorentzian_like_3d', 'random_layered_k8_uniform', 'random_layered_k6_tapered', 'random_layered_k4_uniform']"
10,0.0,0.5,8,3,True,4.0,4,3,0.0,"['lorentzian_like_5d', 'transitive_percolation', 'lorentzian_like_4d', 'KR_2layer', 'lorentzian_like_3d', 'random_layered_k8_uniform', 'random_layered_k6_tapered', 'random_layered_k4_uniform']"
