n,gamma,family,action_mode,mean_score_norm,std_score_norm,mean_score_norm_std_est,mean_log_H_norm,mean_penalty_norm,count
60,0.0,KR_2layer,A4,-2.0168837761332346,0.06045546713760961,0.4401563856207083,2.0168837761332346,9.262285271417632,16
60,0.0,lorentzian_like_5d,A4,-1.8640079046840525,0.07105697239965507,0.27717413544365144,1.8640079046840525,7.054275470571367,16
60,0.0,lorentzian_like_4d,A4,-1.3252363006884416,0.12547193454484112,0.2890202185166675,1.3252363006884416,2.965628880203486,16
60,0.0,KR_like,A4,-0.6940843041300438,0.07149255320863793,0.31314755155616747,0.6940843041300438,-0.21267641375093574,16
60,0.0,absolute_layered,A4,-0.5548655535068135,0.5340868106519961,3.1438606096743524e-16,0.5548655535068135,3.152942929153441,16
60,0.0,lorentzian_like_3d,A4,-0.4192103960848732,0.15951852935560543,0.2862569191849691,0.4192103960848732,0.008459781768035978,16
60,0.0,multi_layer_random,A4,-0.33538131094378687,0.28319931866056597,0.3145250949127207,0.33538131094378687,-0.05800289410248359,16
60,0.0,KR_4layer,A4,-0.26754174932030655,0.07950087165483993,0.3216504913574611,0.26754174932030655,-0.6342461537353169,16
60,0.0,random_layered_k4_uniform,A4,0.005612487571379518,0.08839804927821666,0.27397809991458166,-0.005612487571379518,-1.4097469764712678,16
60,0.0,transitive_percolation,A4,0.10436676620448031,0.3468141137016805,0.34247947546853513,-0.10436676620448031,2.6512600050483406,16
60,0.0,random_layered_k6_middle_heavy,A4,0.4552755806628049,0.15500568145599855,0.2865720350236071,-0.4552755806628049,-0.483629996239491,16
60,0.0,random_layered_k6_tapered,A4,0.4679088913247947,0.16690371253177955,0.25008276600990914,-0.4679088913247947,-0.3841181117844829,16
60,0.0,random_layered_k6_longjump,A4,0.7274726535118925,0.11456895851036282,0.26533904704633304,-0.7274726535118925,-0.5003595081796246,16
60,0.0,random_layered_k6_uniform,A4,0.7510692387930853,0.10255828512697168,0.2614209419565843,-0.7510692387930853,-0.3070143517214632,16
60,0.0,interval_order,A4,0.8773001162568711,0.30651041206334484,0.30617173219257565,-0.8773001162568711,-0.5299014967307135,16
60,0.0,random_layered_k8_uniform,A4,1.0803239047055775,0.17171071701456492,0.27377861572930945,-1.0803239047055775,0.4262998811811042,16
60,0.0,lorentzian_like_2d,A4,1.1969616367443932,0.14564332422497045,0.25868654520421724,-1.1969616367443932,0.08916243111639781,16
60,0.2,KR_like,A4,-0.736619586880231,0.10739137886832806,0.31314755155616747,0.6940843041300438,-0.21267641375093574,16
