n,gamma,family,action_mode,score_norm_mean,score_norm_std,score_norm_ci_low,score_norm_ci_high,bootstrap_mode,count
10,0.0,KR_like,A1,0.01636104832403947,0.23791667952945592,-0.130417864238155,0.13007159437414412,outer_plus_measurement,10
10,0.0,KR_like,A2,0.01636104832403947,0.23791667952945592,-0.12777493121082534,0.12751270615368923,outer_plus_measurement,10
10,0.0,KR_like,A3,0.01636104832403947,0.23791667952945592,-0.13249247287412325,0.14655794870767572,outer_plus_measurement,10
10,0.0,absolute_layered,A1,1.0942207425000572,0.20877499131627605,0.9721737877973202,1.203006844452901,outer_plus_measurement,10
10,0.0,absolute_layered,A2,1.0942207425000572,0.20877499131627605,0.9560844487746533,1.1827300983917768,outer_plus_measurement,10
10,0.0,absolute_layered,A3,1.0942207425000572,0.20877499131627605,0.9793853839471188,1.2089507063990712,outer_plus_measurement,10
10,0.0,interval_order,A1,0.4725841941747702,0.6045053447709946,0.1399818157000326,0.8530274185346818,outer_plus_measurement,10
10,0.0,interval_order,A2,0.4725841941747702,0.6045053447709946,0.14159993904471677,0.8648313580615027,outer_plus_measurement,10
10,0.0,interval_order,A3,0.4725841941747702,0.6045053447709946,0.15665670945415258,0.8829139771011878,outer_plus_measurement,10
10,0.0,lorentzian_like_2d,A1,0.3854075593272814,0.4646179975040363,0.05224720523208167,0.6090878146689741,outer_plus_measurement,10
10,0.0,lorentzian_like_2d,A2,0.3854075593272814,0.4646179975040363,0.12835788451252747,0.6052396957145938,outer_plus_measurement,10
10,0.0,lorentzian_like_2d,A3,0.3854075593272814,0.4646179975040363,0.044292610451297384,0.6120140993734772,outer_plus_measurement,10
10,0.0,lorentzian_like_3d,A1,-0.8356962949243278,0.34005073224355564,-1.0221343975420523,-0.6442493270612417,outer_plus_measurement,10
10,0.0,lorentzian_like_3d,A2,-0.8356962949243278,0.34005073224355564,-1.032783273384528,-0.6436571540862158,outer_plus_measurement,10
10,0.0,lorentzian_like_3d,A3,-0.8356962949243278,0.34005073224355564,-1.0204981613766986,-0.6409301468904477,outer_plus_measurement,10
10,0.0,multi_layer_random,A1,-0.28782852108144474,0.4177907479990025,-0.5143503747740863,-0.05279327556505855,outer_plus_measurement,10
10,0.0,multi_layer_random,A2,-0.28782852108144474,0.4177907479990025,-0.5414808378254998,-0.05748827767553103,outer_plus_measurement,10
10,0.0,multi_layer_random,A3,-0.28782852108144474,0.4177907479990025,-0.5108469500504693,-0.05054216269531686,outer_plus_measurement,10
10,0.0,transitive_percolation,A1,-1.6297366893248015,0.4299418562526261,-1.9057296009075746,-1.3769639916310423,outer_plus_measurement,10
10,0.0,transitive_percolation,A2,-1.6297366893248015,0.4299418562526261,-1.8928494346865434,-1.362946727548853,outer_plus_measurement,10
10,0.0,transitive_percolation,A3,-1.6297366893248015,0.4299418562526261,-1.8339547949983404,-1.3260852888294867,outer_plus_measurement,10
10,0.5,KR_like,A1,-0.3228746934867196,0.23923940158734885,-0.47404953455332294,-0.20832598104315167,outer_plus_measurement,10
10,0.5,KR_like,A2,0.3131298858717297,0.5196226987446708,0.10011182896560704,0.638595574657067,outer_plus_measurement,10
10,0.5,KR_like,A3,0.3033842572056443,0.5198829798757161,0.0738228216094174,0.6452916791122573,outer_plus_measurement,10
10,0.5,absolute_layered,A1,0.7692258579314888,0.2026484679345159,0.6506470276549304,0.8715219316712333,outer_plus_measurement,10
10,0.5,absolute_layered,A2,2.947619792114005,0.7012324679022989,2.4970823460161604,3.2784654922013927,outer_plus_measurement,10
10,0.5,absolute_layered,A3,2.9236333062057285,0.7073333676265083,2.525322755130652,3.290665098267016,outer_plus_measurement,10
10,0.5,interval_order,A1,0.14244455754341467,0.5998241102193856,-0.19573438961909448,0.5063315465499707,outer_plus_measurement,10
10,0.5,interval_order,A2,0.9871255864245697,1.4919515462150732,0.17534597465466797,1.8976147759285555,outer_plus_measurement,10
10,0.5,interval_order,A3,0.9682838525790807,1.4939711621747689,0.18001559482100166,1.8980736319707878,outer_plus_measurement,10
10,0.5,lorentzian_like_2d,A1,0.047700718358176054,0.4660649327123681,-0.2351355084563885,0.26879429422212175,outer_plus_measurement,10
10,0.5,lorentzian_like_2d,A2,0.6616221132069302,0.6603737657117451,0.3394188463495567,1.0342383676812146,outer_plus_measurement,10
10,0.5,lorentzian_like_2d,A3,0.6503475836991914,0.6630749883187357,0.3467404185018134,1.0539257783523412,outer_plus_measurement,10
10,0.5,lorentzian_like_3d,A1,-1.1649116939733974,0.33788129063166494,-1.3747320752004746,-0.9532353191765273,outer_plus_measurement,10
10,0.5,lorentzian_like_3d,A2,2.082806680634623,1.2785252769074666,1.3635916439923175,2.904554413474735,outer_plus_measurement,10
10,0.5,lorentzian_like_3d,A3,2.063040709206848,1.276064948192777,1.4730708799005603,2.7420120490410174,outer_plus_measurement,10
10,0.5,multi_layer_random,A1,-0.6230924523429361,0.41657118896609857,-0.8739480291627668,-0.3841855595097884,outer_plus_measurement,10
10,0.5,multi_layer_random,A2,0.8666575192491999,0.9735882291324528,0.3811101421982952,1.5669109392661462,outer_plus_measurement,10
10,0.5,multi_layer_random,A3,0.852940080033847,0.9732694253235314,0.4355616987026643,1.4314372165933786,outer_plus_measurement,10
10,0.5,transitive_percolation,A1,-1.9275868662851603,0.41196146953529994,-2.167530582963176,-1.6851086070576777,outer_plus_measurement,10
10,0.5,transitive_percolation,A2,5.546949692601696,1.5291480164697235,4.562494694704347,6.3813414622053495,outer_plus_measurement,10
10,0.5,transitive_percolation,A3,5.49581849908521,1.5128728661016195,4.595108650834803,6.396947277447008,outer_plus_measurement,10
10,1.0,KR_like,A1,-0.6621104352974787,0.2406301975137931,-0.8280327604946192,-0.5516075144773002,outer_plus_measurement,10
10,1.0,KR_like,A2,0.60989872341942,1.2494033960879345,0.10766832174328263,1.4883056291439416,outer_plus_measurement,10
10,1.0,KR_like,A3,0.5904074660872493,1.2503268112570007,0.044850134460191295,1.4566300503837606,outer_plus_measurement,10
10,1.0,absolute_layered,A1,0.4442309733629207,0.19652540042276914,0.34785432909977765,0.5397157860128179,outer_plus_measurement,10
10,1.0,absolute_layered,A2,4.801018841727952,1.197804913125946,4.000650878532468,5.463454983046915,outer_plus_measurement,10
10,1.0,absolute_layered,A3,4.753045869911399,1.20995581233153,3.9452822660211377,5.306960608883733,outer_plus_measurement,10
10,1.0,interval_order,A1,-0.1876950790879408,0.5952283675083723,-0.5039292644896262,0.1356006849594637,outer_plus_measurement,10
10,1.0,interval_order,A2,1.501666978674369,2.4337652831593863,0.3502061865451505,2.8047354598689678,outer_plus_measurement,10
