n,action_mode,family_a,family_b,gamma_c_est,diff_at_min_gamma,diff_at_max_gamma
10,A2,lorentzian_like_2d,KR_like,8.977362504173513,0.369046511003242,-0.4531248357184108
12,A2,lorentzian_like_2d,KR_like,0.6536755876525828,0.4783449417508635,-14.157200603667164
14,A2,lorentzian_like_2d,KR_like,0.842269608959678,0.7178371746082524,-16.32746914945306
16,A2,lorentzian_like_2d,KR_like,0.7513936178037848,0.8971468345174887,-22.98239680972372
10,A2,lorentzian_like_2d,multi_layer_random,0.38327333335686625,0.6732360804087261,-34.45762337763111
12,A2,lorentzian_like_2d,multi_layer_random,0.36475457220756835,0.5929008039063324,-31.916674076429064
14,A2,lorentzian_like_2d,multi_layer_random,0.5890914759012379,0.7043931845260945,-23.21016723067798
16,A2,lorentzian_like_2d,multi_layer_random,0.4595932498052762,1.0059251886094782,-42.76865979651273
10,A2,lorentzian_like_2d,transitive_percolation,0.14601496092350988,2.0151442486520827,-274.0037288732218
12,A2,lorentzian_like_2d,transitive_percolation,0.2407787316940625,2.32385281002304,-190.7042268441024
14,A2,lorentzian_like_2d,transitive_percolation,0.2755223621665804,2.4741222038647264,-177.12089755492173
16,A2,lorentzian_like_2d,transitive_percolation,0.2617988694219641,2.333927563795969,-175.96535760493975
10,A3,lorentzian_like_2d,KR_like,8.355826371898996,0.369046511003242,-0.5142808693845584
12,A3,lorentzian_like_2d,KR_like,0.649835840146145,0.4783449417508635,-14.243679058750123
14,A3,lorentzian_like_2d,KR_like,0.8427225577609159,0.7178371746082524,-16.31830759207559
16,A3,lorentzian_like_2d,KR_like,0.7512566810377943,0.8971468345174887,-22.986749499772948
10,A3,lorentzian_like_2d,multi_layer_random,0.38434238062432197,0.6732360804087261,-34.35990698932655
12,A3,lorentzian_like_2d,multi_layer_random,0.3646895308051687,0.5929008039063324,-31.922472072156996
14,A3,lorentzian_like_2d,multi_layer_random,0.5891916804553902,0.7043931845260945,-23.206100051958988
16,A3,lorentzian_like_2d,multi_layer_random,0.46024409853843956,1.0059251886094782,-42.70675648635016
10,A3,lorentzian_like_2d,transitive_percolation,0.1468632331408883,2.0151442486520827,-272.409462312872
12,A3,lorentzian_like_2d,transitive_percolation,0.24173397063020574,2.32385281002304,-189.94145470672402
14,A3,lorentzian_like_2d,transitive_percolation,0.2763088413745982,2.4741222038647264,-176.60970237129624
16,A3,lorentzian_like_2d,transitive_percolation,0.2628909580986704,2.333927563795969,-175.22467549169443
