n,gamma,alpha,mode,lor4d_rank,top1_family,gap_to_top1,total_families
10,0.0,0.0,info_only,3,lorentzian_like_5d,0.8640987042209485,17
10,0.0,0.0,info_plus_smd,3,lorentzian_like_5d,0.8640987042209485,17
10,0.0,0.0,smd_only,3,lorentzian_like_5d,0.8640987042209485,17
10,0.0,0.0,geo_plus_smd,3,lorentzian_like_5d,0.8640987042209485,17
10,0.0,0.01,info_only,3,lorentzian_like_5d,0.8640987042209485,17
10,0.0,0.01,info_plus_smd,3,lorentzian_like_5d,0.8523851401424523,17
10,0.0,0.01,smd_only,3,lorentzian_like_5d,0.8523851401424523,17
10,0.0,0.01,geo_plus_smd,3,lorentzian_like_5d,0.8523851401424523,17
10,0.0,0.05,info_only,3,lorentzian_like_5d,0.8640987042209485,17
10,0.0,0.05,info_plus_smd,3,lorentzian_like_5d,0.8055308838284727,17
10,0.0,0.05,smd_only,3,lorentzian_like_5d,0.8055308838284727,17
10,0.0,0.05,geo_plus_smd,3,lorentzian_like_5d,0.8055308838284727,17
10,0.0,0.1,info_only,3,lorentzian_like_5d,0.8640987042209485,17
10,0.0,0.1,info_plus_smd,3,lorentzian_like_5d,0.7469630634360005,17
10,0.0,0.1,smd_only,3,lorentzian_like_5d,0.7469630634360005,17
10,0.0,0.1,geo_plus_smd,3,lorentzian_like_5d,0.7469630634360005,17
10,0.0,0.5,info_only,3,lorentzian_like_5d,0.8640987042209485,17
10,0.0,0.5,info_plus_smd,2,lorentzian_like_5d,0.2784205002962068,17
10,0.0,0.5,smd_only,2,lorentzian_like_5d,0.2784205002962068,17
10,0.0,0.5,geo_plus_smd,2,lorentzian_like_5d,0.2784205002962068,17
10,0.0,1.0,info_only,3,lorentzian_like_5d,0.8640987042209485,17
10,0.0,1.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
10,0.0,1.0,smd_only,1,lorentzian_like_4d,0.0,17
10,0.0,1.0,geo_plus_smd,1,lorentzian_like_4d,0.0,17
10,0.0,5.0,info_only,3,lorentzian_like_5d,0.8640987042209485,17
10,0.0,5.0,info_plus_smd,2,KR_2layer,0.7328991629074642,17
10,0.0,5.0,smd_only,2,KR_2layer,0.7328991629074642,17
10,0.0,5.0,geo_plus_smd,2,KR_2layer,0.7328991629074642,17
10,0.2,0.0,info_only,2,transitive_percolation,0.17377023471558317,17
10,0.2,0.0,info_plus_smd,2,transitive_percolation,0.17377023471558317,17
10,0.2,0.0,smd_only,3,lorentzian_like_5d,0.8640987042209485,17
10,0.2,0.0,geo_plus_smd,14,KR_like,4.50590788173795,17
10,0.2,0.01,info_only,2,transitive_percolation,0.17377023471558317,17
10,0.2,0.01,info_plus_smd,2,transitive_percolation,0.15153402297022112,17
10,0.2,0.01,smd_only,3,lorentzian_like_5d,0.8523851401424523,17
10,0.2,0.01,geo_plus_smd,14,KR_like,4.398925796618545,17
10,0.2,0.05,info_only,2,transitive_percolation,0.17377023471558317,17
10,0.2,0.05,info_plus_smd,2,transitive_percolation,0.06258917598878355,17
10,0.2,0.05,smd_only,3,lorentzian_like_5d,0.8055308838284727,17
10,0.2,0.05,geo_plus_smd,14,KR_like,3.970997456140926,17
10,0.2,0.1,info_only,2,transitive_percolation,0.17377023471558317,17
10,0.2,0.1,info_plus_smd,1,lorentzian_like_4d,0.0,17
10,0.2,0.1,smd_only,3,lorentzian_like_5d,0.7469630634360005,17
10,0.2,0.1,geo_plus_smd,13,KR_like,3.4360870305439026,17
10,0.2,0.5,info_only,2,transitive_percolation,0.17377023471558317,17
10,0.2,0.5,info_plus_smd,1,lorentzian_like_4d,0.0,17
10,0.2,0.5,smd_only,2,lorentzian_like_5d,0.2784205002962068,17
10,0.2,0.5,geo_plus_smd,3,KR_2layer,1.6486251361194082,17
10,0.2,1.0,info_only,2,transitive_percolation,0.17377023471558317,17
10,0.2,1.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
10,0.2,1.0,smd_only,1,lorentzian_like_4d,0.0,17
10,0.2,1.0,geo_plus_smd,2,KR_2layer,1.7684491900029644,17
10,0.2,5.0,info_only,2,transitive_percolation,0.17377023471558317,17
10,0.2,5.0,info_plus_smd,2,KR_2layer,0.8115402422629117,17
10,0.2,5.0,smd_only,2,KR_2layer,0.7328991629074642,17
10,0.2,5.0,geo_plus_smd,2,KR_2layer,2.7270416210714177,17
10,0.5,0.0,info_only,4,lorentzian_like_3d,0.5567931677019811,17
10,0.5,0.0,info_plus_smd,4,lorentzian_like_3d,0.5567931677019811,17
10,0.5,0.0,smd_only,3,lorentzian_like_5d,0.8640987042209485,17
10,0.5,0.0,geo_plus_smd,15,KR_4layer,17.374880518895807,17
10,0.5,0.01,info_only,4,lorentzian_like_3d,0.5567931677019811,17
10,0.5,0.01,info_plus_smd,3,lorentzian_like_3d,0.5225274138754354,17
10,0.5,0.01,smd_only,3,lorentzian_like_5d,0.8523851401424523,17
10,0.5,0.01,geo_plus_smd,15,KR_4layer,17.236053591102007,17
10,0.5,0.05,info_only,4,lorentzian_like_3d,0.5567931677019811,17
10,0.5,0.05,info_plus_smd,2,lorentzian_like_3d,0.38546439856926007,17
10,0.5,0.05,smd_only,3,lorentzian_like_5d,0.8055308838284727,17
10,0.5,0.05,geo_plus_smd,15,KR_4layer,16.68074587992679,17
10,0.5,0.1,info_only,4,lorentzian_like_3d,0.5567931677019811,17
10,0.5,0.1,info_plus_smd,2,lorentzian_like_3d,0.21413562943654085,17
10,0.5,0.1,smd_only,3,lorentzian_like_5d,0.7469630634360005,17
10,0.5,0.1,geo_plus_smd,14,KR_4layer,15.986611240957767,17
10,0.5,0.5,info_only,4,lorentzian_like_3d,0.5567931677019811,17
10,0.5,0.5,info_plus_smd,1,lorentzian_like_4d,0.0,17
10,0.5,0.5,smd_only,2,lorentzian_like_5d,0.2784205002962068,17
10,0.5,0.5,geo_plus_smd,9,KR_like,11.367042347858984,17
10,0.5,1.0,info_only,4,lorentzian_like_3d,0.5567931677019811,17
10,0.5,1.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
10,0.5,1.0,smd_only,1,lorentzian_like_4d,0.0,17
10,0.5,1.0,geo_plus_smd,5,KR_like,6.017938091888752,17
10,0.5,5.0,info_only,4,lorentzian_like_3d,0.5567931677019811,17
10,0.5,5.0,info_plus_smd,2,KR_2layer,0.9295018612960824,17
10,0.5,5.0,smd_only,2,KR_2layer,0.7328991629074642,17
10,0.5,5.0,geo_plus_smd,2,KR_2layer,5.718255308317351,17
10,1.0,0.0,info_only,14,multi_layer_random,2.7044961095812408,17
10,1.0,0.0,info_plus_smd,14,multi_layer_random,2.7044961095812408,17
10,1.0,0.0,smd_only,3,lorentzian_like_5d,0.8640987042209485,17
10,1.0,0.0,geo_plus_smd,15,KR_4layer,39.02040804725979,17
10,1.0,0.01,info_only,14,multi_layer_random,2.7044961095812408,17
10,1.0,0.01,info_plus_smd,13,lorentzian_like_3d,2.5982390994796267,17
10,1.0,0.01,smd_only,3,lorentzian_like_5d,0.8523851401424523,17
10,1.0,0.01,geo_plus_smd,15,KR_4layer,38.88158111946599,17
10,1.0,0.05,info_only,14,multi_layer_random,2.7044961095812408,17
10,1.0,0.05,info_plus_smd,12,lorentzian_like_3d,2.4611760841734514,17
10,1.0,0.05,smd_only,3,lorentzian_like_5d,0.8055308838284727,17
10,1.0,0.05,geo_plus_smd,15,KR_4layer,38.326273408290774,17
10,1.0,0.1,info_only,14,multi_layer_random,2.7044961095812408,17
10,1.0,0.1,info_plus_smd,9,lorentzian_like_3d,2.2898473150407312,17
10,1.0,0.1,smd_only,3,lorentzian_like_5d,0.7469630634360005,17
10,1.0,0.1,geo_plus_smd,15,KR_4layer,37.63213876932175,17
10,1.0,0.5,info_only,14,multi_layer_random,2.7044961095812408,17
10,1.0,0.5,info_plus_smd,3,lorentzian_like_3d,0.9192171619789802,17
10,1.0,0.5,smd_only,2,lorentzian_like_5d,0.2784205002962068,17
