family,N,rep,seed,log_H,f5_calibrated,bdg_d2_link_norm,bdg_d2_corrected_norm,bdg_d4_standard_norm,bd_d4_trunc_norm,bd_ratio,C0,C1,C2,C3,total_relations
Lor2D,16,0,1642,17.006783442844746,34.4609592602651,-2.0,-0.5,2.75,0.08144134645630807,1.2064000000000001,24,12,5,3,50
Lor2D,16,1,2642,17.178632170774197,34.32367530628819,-1.75,0.0,-1.0,-0.1907241805196006,1.409438775510204,22,14,10,3,56
Lor2D,16,2,3642,15.44231342309622,30.37552538755428,-2.5,-1.0,1.5,-0.22474487139158927,1.203923900118906,28,12,6,3,58
Lor2D,16,3,4642,16.341375353003595,32.52745442022784,-2.75,-1.625,-0.3125,-0.6329931618554524,1.2320499479708638,30,9,7,5,62
Lor2D,16,4,5642,15.629348188496072,31.136365112819423,-2.0,-0.375,-2.1875,-0.3608276348795436,1.1934156378600822,24,13,10,2,54
Lor2D,16,5,6642,13.993473881441243,27.641600797145223,-1.75,-0.125,-0.5625,-0.25876556226357783,1.4758387196060325,22,13,10,5,57
Lor2D,16,6,7642,16.648834998790186,32.79660924729655,-2.5,-1.0,0.5,-0.32680694400755506,1.3214189733942485,28,12,7,3,61
Lor2D,16,7,8642,15.578224993261738,31.224645857290785,-1.875,-0.5,-2.25,-0.5479414346754807,1.1961552153791384,23,11,11,6,53
Lor3D,16,0,1642,22.569370263872408,58.043280813312094,-1.375,-0.75,3.125,0.37061721886821103,0.3168,19,5,0,1,25
Lor3D,16,1,2642,20.823020086319993,48.55594677700383,-1.625,-0.875,-1.4375,-0.17371383508360627,0.6410034602076125,21,6,5,1,34
Lor3D,16,2,3642,20.77408154830934,47.778268798511235,-2.5,-1.875,-0.4375,-0.39484832575153217,0.33528122717311903,28,5,3,1,37
Lor3D,16,3,4642,20.025801038876224,44.379395064503505,-2.625,-2.0,-3.5,-0.7520655799074123,0.4354550862581797,29,5,6,1,41
Lor3D,16,4,5642,20.166020706780017,46.05953097878686,-2.125,-1.0,2.5,0.13247238276429088,0.41589506172839513,25,9,2,0,36
Lor3D,16,5,6642,21.543884253127953,52.78444494521042,-1.625,-0.5,4.75,0.540720673228154,0.39000000000000007,21,9,0,0,30
Lor3D,16,6,7642,21.65975464732737,51.703462761815004,-2.5,-2.125,-2.0625,-0.5309310892394865,0.22318339100346024,28,3,3,0,34
Lor3D,16,7,8642,22.87108535841854,61.27073999144515,-2.375,-2.375,-0.6875,-0.37783798031553784,0.0,27,0,0,0,27
Lor4D,16,0,1642,26.565684152337163,82.6564767349106,-0.375,-0.375,0.3125,0.4386586006121883,0.0,11,0,0,0,11
Lor4D,16,1,2642,24.496519009046423,70.54690530447843,-0.625,-0.25,1.875,0.540720673228154,0.22265625,13,3,0,0,16
Lor4D,16,2,3642,24.208593759847794,70.71551870703061,-1.25,-1.25,-0.125,0.08144134645630807,0.0,18,0,0,0,18
Lor4D,16,3,4642,24.370680892977475,67.83106509072557,-1.75,-1.75,-0.375,-0.12268279877562338,0.0,22,0,0,0,22
Lor4D,16,4,5642,23.967610141342373,67.07333706473868,-1.125,-0.875,1.0625,0.2685551462522453,0.11634349030470913,17,2,0,0,19
Lor4D,16,5,6642,24.31196539155703,67.94680616536104,-1.125,-0.875,1.0625,0.2685551462522453,0.11634349030470913,17,2,0,0,19
Lor4D,16,6,7642,23.985349385115462,68.07410017515141,-1.0,-0.75,1.125,0.3195861825602282,0.12345679012345685,16,2,0,0,18
Lor4D,16,7,8642,24.90058535789657,76.554266406581,-0.625,-0.625,0.1875,0.3365965279962225,0.0,13,0,0,0,13
Lor5D,16,0,1642,27.776148092734427,91.8235064212504,0.375,0.375,0.6875,0.7448448184600855,0.0,5,0,0,0,5
Lor5D,16,1,2642,26.85384255776691,83.26959544721922,0.25,0.5,1.75,0.829896545640057,0.3125,6,2,0,0,8
Lor5D,16,2,3642,24.98717711395419,74.40033903331242,-1.0,-1.0,0.0,0.18350341907227385,0.0,16,0,0,0,16
Lor5D,16,3,4642,26.60882818171082,81.30006637394546,-0.625,-0.625,0.1875,0.3365965279962225,0.0,13,0,0,0,13
Lor5D,16,4,5642,25.77141762957757,77.93358497564513,-0.625,-0.625,0.1875,0.3365965279962225,0.0,13,0,0,0,13
Lor5D,16,5,6642,26.402873318049387,81.8888332445069,-0.375,-0.375,0.3125,0.4386586006121883,0.0,11,0,0,0,11
Lor5D,16,6,7642,26.653061582529833,83.41907449149318,0.375,0.625,1.8125,0.8809275819480399,0.36734693877551017,5,2,0,0,7
Lor5D,16,7,8642,26.93386554017581,87.48706827207633,0.125,0.125,0.5625,0.6427827458441198,0.0,7,0,0,0,7
KR_like,16,0,1642,19.668276887366353,41.96237183316375,-3.0,-2.25,-1.125,-0.7350552344714181,0.4697542533081286,32,6,5,3,46
KR_like,16,1,2642,18.6823329280277,40.34309768935464,-3.625,-3.5,-4.25,-1.53454146996315,0.5297258810964757,37,1,7,7,53
KR_like,16,2,3642,19.08555487718354,42.20398472546637,-3.125,-2.625,3.6875,-0.5139207438034923,0.5196921684019918,33,4,1,7,47
KR_like,16,3,4642,19.585570681223807,44.62454460511425,-2.5,-2.0,-2.0,-0.6670138527274408,0.5258774538964901,28,4,5,3,41
KR_like,16,4,5642,19.243573838745846,43.18019843824246,-2.625,-2.0,-4.0,-0.8541276525233781,0.5655991735537191,29,5,7,2,44
KR_like,16,5,6642,19.111713290248435,42.114385505778706,-2.875,-2.0,2.5,-0.4118586711875265,0.5722046174739702,31,7,3,5,47
KR_like,16,6,7642,18.078784399418865,38.9762498651145,-4.125,-4.0,-3.0,-1.432479397347184,0.5367805478608803,41,1,4,4,57
KR_like,16,7,8642,18.462965450587475,40.00371661722228,-3.5,-3.375,-7.1875,-1.585572506271133,0.5562130177514794,36,1,8,3,52
Lor2D,20,0,2042,20.297537481933137,40.23193109073797,-2.3,0.0,2.5,-0.23835314774038477,1.8183593749999998,33,23,14,10,96
Lor2D,20,1,3042,22.196663222481178,44.47041863956729,-3.7,-1.9,-1.65,-0.9187669651801565,1.4379084967320266,47,18,12,3,102
Lor2D,20,2,4042,21.25826643066601,42.04698008852475,-2.9,-0.8,6.9,-0.2655697004379757,1.4658203125,39,21,10,16,96
Lor2D,20,3,5042,22.049786120122352,44.14546045878169,-2.4,-1.0,-4.0,-0.8507255834361793,1.743285123966942,34,14,15,6,88
Lor2D,20,4,6042,21.094086567207007,41.93717684318529,-3.0,-0.9,2.05,-0.4696938456699071,1.595245383124171,40,21,12,8,99
Lor2D,20,5,7042,23.073133096509977,46.084315335541895,-2.8,-0.6,6.2,0.1562868663746829,1.4139979338842972,38,22,6,5,88
Lor2D,20,6,8042,21.44691326843627,42.610837231738586,-2.3,-0.6,-2.6,-0.8915504124825657,1.5969085859195749,33,17,18,12,91
Lor2D,20,7,9042,20.416437458172712,40.72336947293124,-3.3,-1.8,-2.8,-1.0820662813657016,1.6188,43,15,14,7,100
Lor3D,20,0,2042,27.780341130817355,62.57772610508995,-2.7,-1.7,0.85,-0.2927862531355665,0.4838820301783265,37,10,4,1,54
Lor3D,20,1,3042,27.260106345645553,58.06256906240222,-3.1,-1.8,1.2,-0.4560855693211116,0.6485307621671258,41,13,6,3,66
Lor3D,20,2,4042,29.788592651502935,67.16605747543603,-3.5,-2.5,2.45,-0.37443591122833897,0.23852040816326525,45,10,1,0,56
Lor3D,20,3,5042,29.704345338895532,68.8092962713325,-1.6,-0.4,0.7,0.1018537609795012,0.727788279773157,26,12,6,1,46
Lor3D,20,4,6042,29.5685693209943,67.94758375648644,-2.8,-1.8,4.4,-0.007012449810862353,0.3168,38,10,0,2,50
Lor3D,20,5,7042,29.85323614865654,69.6334627525101,-2.3,-1.7,-2.35,-0.5105186747162934,0.41162570888468814,33,6,6,1,46
Lor3D,20,6,8042,29.466810803738078,67.57159746075138,-1.6,0.5,6.75,0.8367006838144546,0.7392,26,21,3,0,50
Lor3D,20,7,9042,29.399849575547677,67.84725199532457,-2.3,-1.0,4.8,0.27876135351384174,0.4296875,33,13,1,1,48
Lor4D,20,0,2042,31.6677078435668,79.9654833208156,-1.9,-1.3,2.25,0.1426785900258875,0.20081632653061218,29,6,0,0,35
Lor4D,20,1,3042,31.019185763769975,74.07796871771339,-3.1,-2.6,1.2,-0.40165246392592985,0.12051039697542537,41,5,0,0,46
Lor4D,20,2,4042,34.448597384628606,93.58791520154568,-1.6,-1.6,-0.3,-0.06144555520604396,0.0,26,0,0,0,26
Lor4D,20,3,5042,34.0918928275408,89.99930223931189,-1.5,-1.3,0.65,0.08824548463070583,0.07956104252400548,25,2,0,0,27
Lor4D,20,4,6042,33.66716194817256,90.05010573194325,-1.0,-0.6,1.8,0.4012358406530009,0.19444444444444442,20,4,0,0,24
Lor4D,20,5,7042,33.25445320861822,84.46849382022411,-1.7,-1.6,-3.1,-0.37443591122833897,0.2001953125,27,1,4,0,32
Lor4D,20,6,8042,34.24665674946065,88.06209358235087,-1.9,-1.6,0.9,-0.02062072615965769,0.1025390625,29,3,0,0,32
Lor4D,20,7,9042,32.96957298893167,85.33381932390783,-1.6,-1.2,1.5,0.15628686637468298,0.15111111111111108,26,4,0,0,30
Lor5D,20,0,2042,34.55127822953975,96.06506176368214,-1.2,-1.2,-0.1,0.1018537609795013,0.0,22,0,0,0,22
Lor5D,20,1,3042,33.568710959929014,86.93062699077225,-1.9,-1.7,0.45,-0.07505383155483943,0.06867845993756509,29,2,0,0,31
Lor5D,20,2,4042,34.47618743322937,95.91342931222869,-1.2,-1.2,-0.1,0.1018537609795013,0.0,22,0,0,0,22
Lor5D,20,3,5042,36.470189173133676,104.1878832101908,-0.5,-0.5,0.25,0.3876275643042054,0.0,15,0,0,0,15
Lor5D,20,4,6042,37.19092253277717,107.95925709036206,-0.2,-0.2,0.4,0.5101020514433643,0.0,12,0,0,0,12
Lor5D,20,5,7042,36.55477556255558,103.26022680989577,-0.3,-0.2,0.8,0.5237103277921598,0.07653061224489792,13,1,0,0,14
Lor5D,20,6,8042,36.41690510321043,99.46720496492793,-1.0,-0.9,0.45,0.23793652446745567,0.0498866213151928,20,1,0,0,21
Lor5D,20,7,9042,35.2160985979416,97.98488105364359,-1.1,-1.1,-0.05,0.14267859002588762,0.0,21,0,0,0,21
KR_like,20,0,2042,26.886372003428278,59.1563230292845,-3.6,-2.9,0.25,-0.9051586888313607,0.5990338164251209,46,7,5,6,69
KR_like,20,1,3042,27.747172735148514,61.03830340114933,-3.4,-2.5,1.65,-0.7146428199482249,0.6228373702422144,44,9,5,7,68
KR_like,20,2,4042,26.63681046158346,57.10573581645233,-4.8,-4.6,-1.8,-1.585572506271133,0.6067816775728734,58,2,4,6,82
KR_like,20,3,5042,27.81523826353572,62.07497121196443,-3.2,-2.1,4.65,-0.2791779767867709,0.5150884495317378,42,11,2,6,62
