scope,alpha,focus_family,control_family,win_rate_focus_vs_control,mean_score_focus,mean_score_control,mean_gap_control_minus_focus
16,-10.0,Lor4D,KR_like,1.0,-72.14830948203826,-47.020877551611036,25.12743193042722
16,-9.75,Lor4D,KR_like,1.0,-72.13022198139035,-46.88725732931907,25.242964652071294
16,-9.5,Lor4D,KR_like,1.0,-72.11213448074245,-46.75363710702709,25.358497373715362
16,-9.25,Lor4D,KR_like,1.0,-72.09404698009455,-46.62001688473512,25.474030095359435
16,-9.0,Lor4D,KR_like,1.0,-72.07595947944665,-46.48639666244314,25.589562817003504
16,-8.75,Lor4D,KR_like,1.0,-72.05787197879874,-46.352776440151175,25.705095538647573
16,-8.5,Lor4D,KR_like,1.0,-72.03978447815084,-46.2191562178592,25.820628260291645
16,-8.25,Lor4D,KR_like,1.0,-72.02169697750294,-46.08553599556723,25.936160981935718
16,-8.0,Lor4D,KR_like,1.0,-72.00360947685503,-45.95191577327525,26.05169370357979
16,-7.75,Lor4D,KR_like,1.0,-71.98552197620714,-45.81829555098328,26.167226425223856
16,-7.5,Lor4D,KR_like,1.0,-71.96743447555923,-45.68467532869131,26.28275914686793
16,-7.25,Lor4D,KR_like,1.0,-71.94934697491132,-45.55105510639934,26.398291868511997
16,-7.0,Lor4D,KR_like,1.0,-71.93125947426343,-45.417434884107365,26.51382459015607
16,-6.75,Lor4D,KR_like,1.0,-71.91317197361552,-45.28381466181539,26.62935731180014
16,-6.5,Lor4D,KR_like,1.0,-71.89508447296762,-45.15019443952342,26.744890033444214
16,-6.25,Lor4D,KR_like,1.0,-71.87699697231972,-45.016574217231444,26.860422755088283
16,-6.0,Lor4D,KR_like,1.0,-71.85890947167182,-44.88295399493947,26.975955476732352
16,-5.75,Lor4D,KR_like,1.0,-71.84082197102391,-44.7493337726475,27.09148819837642
16,-5.5,Lor4D,KR_like,1.0,-71.82273447037602,-44.61571355035553,27.20702092002049
16,-5.25,Lor4D,KR_like,1.0,-71.80464696972811,-44.48209332806355,27.322553641664562
16,-5.0,Lor4D,KR_like,1.0,-71.7865594690802,-44.348473105771575,27.438086363308635
16,-4.75,Lor4D,KR_like,1.0,-71.76847196843231,-44.21485288347961,27.553619084952707
16,-4.5,Lor4D,KR_like,1.0,-71.7503844677844,-44.081232661187634,27.669151806596776
16,-4.25,Lor4D,KR_like,1.0,-71.7322969671365,-43.94761243889566,27.78468452824085
16,-4.0,Lor4D,KR_like,1.0,-71.7142094664886,-43.813992216603694,27.900217249884914
16,-3.75,Lor4D,KR_like,1.0,-71.69612196584069,-43.68037199431172,28.015749971528987
16,-3.5,Lor4D,KR_like,1.0,-71.6780344651928,-43.546751772019746,28.131282693173056
16,-3.25,Lor4D,KR_like,1.0,-71.6599469645449,-43.413131549727765,28.24681541481713
16,-3.0,Lor4D,KR_like,1.0,-71.64185946389699,-43.27951132743579,28.3623481364612
16,-2.75,Lor4D,KR_like,1.0,-71.62377196324908,-43.14589110514382,28.477880858105273
16,-2.5,Lor4D,KR_like,1.0,-71.60568446260119,-43.01227088285185,28.593413579749342
16,-2.25,Lor4D,KR_like,1.0,-71.58759696195328,-42.87865066055988,28.708946301393407
16,-2.0,Lor4D,KR_like,1.0,-71.56950946130539,-42.745030438267904,28.82447902303748
16,-1.75,Lor4D,KR_like,1.0,-71.55142196065748,-42.61141021597594,28.940011744681556
16,-1.5,Lor4D,KR_like,1.0,-71.53333446000957,-42.47778999368396,29.055544466325625
16,-1.25,Lor4D,KR_like,1.0,-71.51524695936168,-42.34416977139199,29.171077187969694
16,-1.0,Lor4D,KR_like,1.0,-71.49715945871377,-42.210549549100016,29.286609909613766
16,-0.75,Lor4D,KR_like,1.0,-71.47907195806587,-42.07692932680804,29.402142631257835
16,-0.5,Lor4D,KR_like,1.0,-71.46098445741796,-41.94330910451606,29.517675352901904
16,-0.25,Lor4D,KR_like,1.0,-71.44289695677006,-41.809688882224094,29.633208074545976
16,0.0,Lor4D,KR_like,1.0,-71.42480945612216,-41.67606865993212,29.74874079619005
16,0.25,Lor4D,KR_like,1.0,-71.40672195547427,-41.54244843764015,29.86427351783412
16,0.5,Lor4D,KR_like,1.0,-71.38863445482636,-41.40882821534817,29.979806239478187
16,0.75,Lor4D,KR_like,1.0,-71.37054695417845,-41.2752079930562,30.09533896112226
16,1.0,Lor4D,KR_like,1.0,-71.35245945353054,-41.14158777076423,30.21087168276633
16,1.25,Lor4D,KR_like,1.0,-71.33437195288265,-41.00796754847225,30.326404404410404
16,1.5,Lor4D,KR_like,1.0,-71.31628445223475,-40.874347326180285,30.44193712605447
16,1.75,Lor4D,KR_like,1.0,-71.29819695158685,-40.740727103888304,30.55746984769854
16,2.0,Lor4D,KR_like,1.0,-71.28010945093894,-40.60710688159634,30.673002569342614
16,2.25,Lor4D,KR_like,1.0,-71.26202195029104,-40.473486659304356,30.788535290986687
16,2.5,Lor4D,KR_like,1.0,-71.24393444964313,-40.33986643701239,30.904068012630752
16,2.75,Lor4D,KR_like,1.0,-71.22584694899524,-40.206246214720416,31.01960073427482
16,3.0,Lor4D,KR_like,1.0,-71.20775944834733,-40.07262599242844,31.135133455918893
16,3.25,Lor4D,KR_like,1.0,-71.18967194769942,-39.939005770136475,31.250666177562962
16,3.5,Lor4D,KR_like,1.0,-71.17158444705153,-39.8053855478445,31.366198899207035
16,3.75,Lor4D,KR_like,1.0,-71.15349694640364,-39.67176532555253,31.481731620851107
16,4.0,Lor4D,KR_like,1.0,-71.13540944575573,-39.538145103260554,31.59726434249518
16,4.25,Lor4D,KR_like,1.0,-71.11732194510782,-39.40452488096858,31.712797064139245
16,4.5,Lor4D,KR_like,1.0,-71.09923444445991,-39.27090465867661,31.828329785783318
16,4.75,Lor4D,KR_like,1.0,-71.08114694381202,-39.13728443638463,31.943862507427387
