d,N,p_frw,rep,H_eff_sq,R_eff,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy,b1_mean,b1_std,b1_neg_frac,eig_min,eig_max,eig_gap,eig_spread
2,128,0.4,0,0.16000000000000003,-0.5886587104606437,4095,0.1328125,16.0,0.125,8.0,3.2015621187164243,0.40019526483955303,0.1171875,2.6818049200611833,-0.765625,4.420273561599441,0.5625,-6.611977793385667,10.076593743224603,0.8609529404613756,16.68857153661027
2,128,0.4,1,0.16000000000000003,-0.5139308453078343,4322,0.140625,16.0,0.125,8.0,3.020761493398643,0.3775951866748304,0.109375,2.6892289591488927,-0.453125,4.406776342676697,0.546875,-6.331790501072589,9.863297094364132,0.20362297727331047,16.19508759543672
2,128,0.4,2,0.16000000000000003,-0.6372984863002918,4675,0.125,17.0,0.1328125,7.529411764705882,1.9738778512426491,0.26215565211816433,0.0859375,2.796194493874835,-0.734375,4.311112775070376,0.5546875,-6.19385417876011,9.99183737062945,0.8248308265644422,16.18569154938956
2,128,0.4,3,0.16000000000000003,-0.5975282767420491,4241,0.140625,17.0,0.1328125,7.529411764705882,3.4319887401917226,0.45581100455671314,0.1171875,2.721265336760028,-1.125,4.407025640951049,0.5546875,-7.233901665838546,10.013724096777814,0.6467302660514278,17.24762576261636
2,128,0.4,4,0.16000000000000003,-0.5077658218826232,4190,0.140625,16.0,0.125,8.0,3.3354160160315836,0.41692700200394794,0.1015625,2.6714456023585296,-0.828125,4.380548936420526,0.5703125,-6.1017123945302565,9.477234013773428,0.3161252288322913,15.578946408303684
2,128,0.4,5,0.16000000000000003,-0.5200157724333656,4176,0.1171875,17.0,0.1328125,7.529411764705882,3.648007466756154,0.4845009916785517,0.09375,2.6883095059917532,-0.921875,4.530468682639247,0.578125,-7.106404206288643,10.75774057508401,1.484409106755166,17.864144781372655
2,128,0.4,6,0.16000000000000003,-0.7025581229178319,4417,0.109375,20.0,0.15625,6.4,2.3748684174075834,0.3710731902199349,0.078125,2.9136619779900803,-0.40625,3.8272001433815817,0.515625,-5.602530426552814,9.02189406828791,0.2967757367733146,14.624424494840724
2,128,0.4,7,0.16000000000000003,-0.6034828067668154,4261,0.1484375,16.0,0.125,8.0,2.979093821953246,0.37238672774415577,0.1015625,2.7045561505358204,-0.796875,4.053084039885554,0.5625,-5.905196873954582,9.539709829127423,0.3339745580482454,15.444906703082005
2,128,0.5,0,0.25,0.0,4186,0.1484375,16.0,0.125,8.0,2.4238399287081647,0.3029799910885206,0.1015625,2.7251026364144884,-1.25,3.75,0.671875,-5.9177586297164595,9.560238627853938,0.6179542119788799,15.477997257570397
2,128,0.5,1,0.25,0.0,4245,0.125,16.0,0.125,8.0,2.7838821814150108,0.34798527267687634,0.1015625,2.7065727904584413,-0.375,4.270172713134681,0.53125,-5.640178028941774,9.178409199459995,0.5020169664871919,14.81858722840177
2,128,0.5,2,0.25,0.0,4407,0.125,18.0,0.140625,7.111111111111111,2.3778816176702997,0.3343896024848859,0.0859375,2.823618770179986,-0.28125,4.3784584544677365,0.5390625,-6.490141569192793,9.928515651928745,0.6076601192966073,16.41865722112154
2,128,0.5,3,0.25,0.0,4166,0.1328125,17.0,0.1328125,7.529411764705882,2.8308728036508155,0.3759752942348739,0.1015625,2.749974704063056,-0.859375,4.001434069102601,0.609375,-5.660779831446108,9.401854709684725,0.22267356299985508,15.062634541130834
2,128,0.5,4,0.25,0.0,4355,0.1484375,16.0,0.125,8.0,2.850438562747845,0.3563048203434806,0.1015625,2.7092506058208747,-1.46875,5.015503308492578,0.625,-7.440237196642846,10.261161785893007,0.21713159800648185,17.701398982535853
2,128,0.5,5,0.25,0.0,4270,0.125,16.0,0.125,8.0,2.4238399287081647,0.3029799910885206,0.09375,2.723950853371088,-1.578125,4.770694025440638,0.65625,-6.580469193449343,9.783285977971309,0.5679090315049695,16.36375517142065
2,128,0.5,6,0.25,0.0,4332,0.1328125,16.0,0.125,8.0,2.449489742783178,0.30618621784789724,0.1015625,2.7262866856616137,-1.828125,4.592979314603431,0.6328125,-6.483107793503748,9.7393569116222,0.5147605523307206,16.22246470512595
2,128,0.5,7,0.25,0.0,4639,0.125,18.0,0.140625,7.111111111111111,3.089208616546187,0.4344199617018076,0.09375,2.776601820903771,-0.703125,4.479744996579046,0.5234375,-6.696305187622855,10.11607457391758,0.24191687315456,16.812379761540434
2,128,0.67,0,0.4489000000000001,1.4440138982498913,4558,0.140625,16.0,0.125,8.0,3.3541019662496847,0.4192627457812106,0.1015625,2.679079410943402,-0.609375,4.704111192284362,0.5625,-6.483121854032264,10.528343056279862,1.1513971845469477,17.011464910312128
2,128,0.67,1,0.4489000000000001,1.6652884023319552,4991,0.109375,21.0,0.1640625,6.095238095238095,2.447637576361218,0.40156553987176236,0.078125,2.9570694935503914,-0.9375,4.471699201645835,0.6171875,-6.261533126044591,9.74957163730933,0.23230929834715575,16.01110476335392
2,128,0.67,2,0.4489000000000001,1.1752953029275595,4191,0.1328125,18.0,0.140625,7.111111111111111,2.051798368068821,0.288534145509678,0.0859375,2.8470035676077208,-0.609375,4.458549327906444,0.5390625,-6.097071002379939,9.244807522298608,0.17777143625861846,15.341878524678545
2,128,0.67,3,0.4489000000000001,1.427107607710107,4645,0.125,20.0,0.15625,6.4,2.6343879744638983,0.4116231210099841,0.09375,2.8967156142229475,-0.34375,4.99443049180785,0.5546875,-5.989882378817959,9.914280938022987,0.42037823540209374,15.904163316840947
2,128,0.67,4,0.4489000000000001,1.4687375817737718,4629,0.140625,17.0,0.1328125,7.529411764705882,2.3544113054340587,0.31269525150296096,0.09375,2.7794913711627407,-1.484375,5.337052637868115,0.6015625,-6.781160897125972,10.470016475000861,1.220428823845758,17.251177372126833
2,128,0.67,5,0.4489000000000001,1.4389969394925812,4504,0.140625,19.0,0.1484375,6.7368421052631575,2.402676254844911,0.3566472565785415,0.09375,2.8767638537252136,-0.78125,4.162589150696955,0.5625,-6.809760524367179,9.846768579998974,0.46371584126998044,16.656529104366154
2,128,0.67,6,0.4489000000000001,1.7477459348127928,4524,0.140625,18.0,0.140625,7.111111111111111,2.997941680718231,0.42158554885100125,0.1015625,2.7905309828327467,-2.015625,3.8323955770999163,0.71875,-7.089524763616041,10.675327071185226,2.1459573343506655,17.764851834801267
2,128,0.67,7,0.4489000000000001,1.0813905320895516,4234,0.140625,18.0,0.140625,7.111111111111111,2.6223163824902103,0.36876324128768584,0.1015625,2.820300135245679,-1.140625,4.309753427909189,0.625,-6.657113636791469,10.104925892687042,1.1614316729950982,16.76203952947851
2,128,1.0,0,1.0,5.035316879377907,4909,0.1171875,22.0,0.171875,5.818181818181818,2.901979945365885,0.4987778031097615,0.0859375,2.9623069074026627,-0.453125,4.0366666612906,0.515625,-5.886104053830763,9.524511723186098,0.5908116795399856,15.410615777016861
2,128,1.0,1,1.0,4.6546878735437796,4612,0.1328125,18.0,0.140625,7.111111111111111,3.1426968052735442,0.44194173824159216,0.0859375,2.781132099018847,-1.21875,4.4597812095998615,0.625,-6.250338690433214,9.923335015953208,0.34487660816578014,16.173673706386424
2,128,1.0,2,1.0,4.753397612896086,4746,0.140625,20.0,0.15625,6.4,2.764054992217051,0.4318835925339142,0.09375,2.8843504159989,-0.59375,4.20088811294707,0.53125,-6.474885506386017,10.040224576819417,0.9211425727842144,16.515110083205435
2,128,1.0,3,1.0,5.215814866964008,4486,0.1328125,20.0,0.15625,6.4,3.1208973068654475,0.48764020419772613,0.0859375,2.8617400837529465,-0.65625,3.9537116659539047,0.578125,-6.138784377177501,10.293818164622678,1.1950762498337646,16.43260254180018
2,128,1.0,4,1.0,5.610914936374303,4608,0.125,21.0,0.1640625,6.095238095238095,3.449013135663204,0.5658537175697445,0.1015625,2.8759303512369465,-1.25,4.02336923485777,0.59375,-6.596034079832036,9.398691893353917,0.48676179785941365,15.994725973185952
