d,N,p_frw,rep,bin_label,t_mean,H_local,H_local_sq,n_elements,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width
2,128,0.4,0,early,0.4314944311875205,1.2115078202660945,1.4677511985659035,64,893,0.1875,9.0,0.140625,7.111111111111111
2,128,0.4,0,late,0.8270935523364952,0.48995240186109634,0.24005335608945724,64,428,0.265625,8.0,0.125,8.0
2,128,0.4,1,early,0.40775053380111026,1.1839439339559592,1.4017232387511127,64,817,0.1875,10.0,0.15625,6.4
2,128,0.4,1,late,0.835315388798147,0.48816126334471466,0.23830141903030785,64,513,0.28125,7.0,0.109375,9.142857142857142
2,128,0.4,2,early,0.3657225648544725,1.351270801261371,1.8259327783415475,64,933,0.15625,10.0,0.15625,6.4
2,128,0.4,2,late,0.8217982691873198,0.49694568400045586,0.24695501284668092,64,552,0.25,8.0,0.125,8.0
2,128,0.4,3,early,0.3970172158454191,1.2661073704081651,1.6030278734018786,64,839,0.1875,10.0,0.15625,6.4
2,128,0.4,3,late,0.8248088869522575,0.49180510435040453,0.2418722606651123,64,433,0.28125,7.0,0.109375,9.142857142857142
2,128,0.4,4,early,0.428115245499374,1.1638314499073066,1.3545036437933435,64,871,0.25,9.0,0.140625,7.111111111111111
2,128,0.4,4,late,0.8559546749809033,0.4746043588393547,0.22524929742931496,64,454,0.265625,8.0,0.125,8.0
2,128,0.4,5,early,0.3887499601516708,1.2170823022564339,1.4812893304658215,64,669,0.21875,8.0,0.125,8.0
2,128,0.4,5,late,0.8018030999003863,0.509986538480304,0.26008626943112256,64,589,0.21875,9.0,0.140625,7.111111111111111
2,128,0.4,6,early,0.3739138684039639,1.3891368600471905,1.9297012159417677,64,890,0.15625,12.0,0.1875,5.333333333333333
2,128,0.4,6,late,0.8423309392611895,0.48329652510040366,0.2335755311741251,64,484,0.21875,9.0,0.140625,7.111111111111111
2,128,0.4,7,early,0.4304750284524831,1.223305074439279,1.4964753051488902,64,952,0.171875,10.0,0.15625,6.4
2,128,0.4,7,late,0.8604369439290418,0.46990499306870137,0.2208107025108963,64,374,0.296875,7.0,0.109375,9.142857142857142
2,128,0.5,0,early,0.4560864921688285,1.3473498426489174,1.8153515984860626,64,956,0.203125,11.0,0.171875,5.818181818181818
2,128,0.5,0,late,0.8515090717192004,0.5942403625787034,0.3531216085176689,64,393,0.296875,6.0,0.09375,10.666666666666666
2,128,0.5,1,early,0.41623727901786856,1.3948239061212233,1.9455337290872672,64,828,0.203125,9.0,0.140625,7.111111111111111
2,128,0.5,1,late,0.8170590952323264,0.6222050138192918,0.38713907922186513,64,490,0.25,9.0,0.140625,7.111111111111111
2,128,0.5,2,early,0.4108205025822499,1.3984002095186707,1.9555231459818623,64,836,0.203125,10.0,0.15625,6.4
2,128,0.5,2,late,0.8423115968905304,0.6021354319072759,0.3625670783581617,64,473,0.25,8.0,0.125,8.0
2,128,0.5,3,early,0.42468292411390485,1.3559905516144557,1.8387103760676757,64,777,0.1875,10.0,0.15625,6.4
2,128,0.5,3,late,0.803005944716055,0.635354994943111,0.4036759695991606,64,536,0.25,8.0,0.125,8.0
2,128,0.5,4,early,0.443854703753845,1.3937820860460821,1.9426285033829682,64,985,0.21875,12.0,0.1875,5.333333333333333
2,128,0.5,4,late,0.8755205750120888,0.5772300576833133,0.33319453949308114,64,376,0.296875,6.0,0.09375,10.666666666666666
2,128,0.5,5,early,0.416819185663721,1.4735528937269553,2.171358130611084,64,929,0.21875,9.0,0.140625,7.111111111111111
2,128,0.5,5,late,0.8244515001644495,0.6150824125405102,0.3783263742166544,64,436,0.234375,7.0,0.109375,9.142857142857142
2,128,0.5,6,early,0.4000483539962439,1.505738135046252,2.267247331332565,64,836,0.25,10.0,0.15625,6.4
2,128,0.5,6,late,0.8305109236059826,0.6121311504550313,0.37470454535740016,64,450,0.265625,7.0,0.109375,9.142857142857142
2,128,0.5,7,early,0.3646532542668877,1.681450070173957,2.827274338488005,64,852,0.203125,12.0,0.1875,5.333333333333333
2,128,0.5,7,late,0.8236247968797404,0.6197484924177675,0.38408819385409565,64,553,0.25,8.0,0.125,8.0
2,128,0.67,0,early,0.4162559400519541,1.9882929041521544,3.9533086727018083,64,1067,0.1875,11.0,0.171875,5.818181818181818
2,128,0.67,0,late,0.852202943032992,0.7951762354372112,0.632305245404095,64,421,0.28125,8.0,0.125,8.0
2,128,0.67,1,early,0.3713248067165016,2.1660970535095734,4.691976445222855,64,1074,0.203125,14.0,0.21875,4.571428571428571
2,128,0.67,1,late,0.8119177549649852,0.8404010853620039,0.7062739842776341,64,520,0.21875,9.0,0.140625,7.111111111111111
2,128,0.67,2,early,0.42747569387476336,1.799162782815309,3.2369867190677266,64,886,0.203125,12.0,0.1875,5.333333333333333
2,128,0.67,2,late,0.8076826572455339,0.8402147244684088,0.7059607832135242,64,424,0.265625,8.0,0.125,8.0
2,128,0.67,3,early,0.4215609453656228,1.9593722851551032,3.839139751833931,64,1023,0.171875,12.0,0.1875,5.333333333333333
2,128,0.67,3,late,0.8425665586643339,0.8059516082388931,0.6495579948228583,64,476,0.25,8.0,0.125,8.0
