metric,scope,alpha,win_rate_focus_vs_control,mean_gap_control_minus_focus
bd_ratio,16,-10.0,1.0,25.12743193042722
bd_ratio,16,-9.75,1.0,25.242964652071294
bd_ratio,16,-9.5,1.0,25.358497373715362
bd_ratio,16,-9.25,1.0,25.474030095359435
bd_ratio,16,-9.0,1.0,25.589562817003504
bd_ratio,16,-8.75,1.0,25.705095538647573
bd_ratio,16,-8.5,1.0,25.820628260291645
bd_ratio,16,-8.25,1.0,25.936160981935718
bd_ratio,16,-8.0,1.0,26.05169370357979
bd_ratio,16,-7.75,1.0,26.167226425223856
bd_ratio,16,-7.5,1.0,26.28275914686793
bd_ratio,16,-7.25,1.0,26.398291868511997
bd_ratio,16,-7.0,1.0,26.51382459015607
bd_ratio,16,-6.75,1.0,26.62935731180014
bd_ratio,16,-6.5,1.0,26.744890033444214
bd_ratio,16,-6.25,1.0,26.860422755088283
bd_ratio,16,-6.0,1.0,26.975955476732352
bd_ratio,16,-5.75,1.0,27.09148819837642
bd_ratio,16,-5.5,1.0,27.20702092002049
bd_ratio,16,-5.25,1.0,27.322553641664562
bd_ratio,16,-5.0,1.0,27.438086363308635
bd_ratio,16,-4.75,1.0,27.553619084952707
bd_ratio,16,-4.5,1.0,27.669151806596776
bd_ratio,16,-4.25,1.0,27.78468452824085
bd_ratio,16,-4.0,1.0,27.900217249884914
bd_ratio,16,-3.75,1.0,28.015749971528987
bd_ratio,16,-3.5,1.0,28.131282693173056
bd_ratio,16,-3.25,1.0,28.24681541481713
bd_ratio,16,-3.0,1.0,28.3623481364612
bd_ratio,16,-2.75,1.0,28.477880858105273
bd_ratio,16,-2.5,1.0,28.593413579749342
bd_ratio,16,-2.25,1.0,28.708946301393407
bd_ratio,16,-2.0,1.0,28.82447902303748
bd_ratio,16,-1.75,1.0,28.940011744681556
bd_ratio,16,-1.5,1.0,29.055544466325625
bd_ratio,16,-1.25,1.0,29.171077187969694
bd_ratio,16,-1.0,1.0,29.286609909613766
bd_ratio,16,-0.75,1.0,29.402142631257835
bd_ratio,16,-0.5,1.0,29.517675352901904
bd_ratio,16,-0.25,1.0,29.633208074545976
bd_ratio,16,0.0,1.0,29.74874079619005
bd_ratio,16,0.25,1.0,29.86427351783412
bd_ratio,16,0.5,1.0,29.979806239478187
bd_ratio,16,0.75,1.0,30.09533896112226
bd_ratio,16,1.0,1.0,30.21087168276633
bd_ratio,16,1.25,1.0,30.326404404410404
bd_ratio,16,1.5,1.0,30.44193712605447
bd_ratio,16,1.75,1.0,30.55746984769854
bd_ratio,16,2.0,1.0,30.673002569342614
bd_ratio,16,2.25,1.0,30.788535290986687
bd_ratio,16,2.5,1.0,30.904068012630752
bd_ratio,16,2.75,1.0,31.01960073427482
bd_ratio,16,3.0,1.0,31.135133455918893
bd_ratio,16,3.25,1.0,31.250666177562962
bd_ratio,16,3.5,1.0,31.366198899207035
bd_ratio,16,3.75,1.0,31.481731620851107
bd_ratio,16,4.0,1.0,31.59726434249518
bd_ratio,16,4.25,1.0,31.712797064139245
bd_ratio,16,4.5,1.0,31.828329785783318
bd_ratio,16,4.75,1.0,31.943862507427387
bd_ratio,16,5.0,1.0,32.059395229071455
bd_ratio,16,5.25,1.0,32.17492795071553
bd_ratio,16,5.5,1.0,32.2904606723596
bd_ratio,16,5.75,1.0,32.40599339400367
bd_ratio,16,6.0,1.0,32.521526115647745
bd_ratio,16,6.25,1.0,32.63705883729181
bd_ratio,16,6.5,1.0,32.75259155893588
bd_ratio,16,6.75,1.0,32.868124280579956
bd_ratio,16,7.0,1.0,32.98365700222402
bd_ratio,16,7.25,1.0,33.09918972386809
bd_ratio,16,7.5,1.0,33.214722445512166
bd_ratio,16,7.75,1.0,33.33025516715624
bd_ratio,16,8.0,1.0,33.445787888800304
bd_ratio,16,8.25,1.0,33.561320610444376
bd_ratio,16,8.5,1.0,33.67685333208845
bd_ratio,16,8.75,1.0,33.79238605373252
bd_ratio,16,9.0,1.0,33.907918775376594
bd_ratio,16,9.25,1.0,34.02345149702066
bd_ratio,16,9.5,1.0,34.13898421866473
bd_ratio,16,9.75,1.0,34.254516940308804
bd_ratio,16,10.0,1.0,34.370049661952876
bd_ratio,20,-10.0,1.0,22.05564523527552
bd_ratio,20,-9.75,1.0,22.172484075876582
bd_ratio,20,-9.5,1.0,22.28932291647765
bd_ratio,20,-9.25,1.0,22.406161757078717
bd_ratio,20,-9.0,1.0,22.523000597679786
bd_ratio,20,-8.75,1.0,22.639839438280852
bd_ratio,20,-8.5,1.0,22.756678278881914
bd_ratio,20,-8.25,1.0,22.873517119482983
bd_ratio,20,-8.0,1.0,22.990355960084052
bd_ratio,20,-7.75,1.0,23.10719480068511
bd_ratio,20,-7.5,1.0,23.22403364128618
bd_ratio,20,-7.25,1.0,23.340872481887246
bd_ratio,20,-7.0,1.0,23.457711322488308
bd_ratio,20,-6.75,1.0,23.574550163089377
bd_ratio,20,-6.5,1.0,23.691389003690443
bd_ratio,20,-6.25,1.0,23.80822784429151
bd_ratio,20,-6.0,1.0,23.925066684892577
bd_ratio,20,-5.75,1.0,24.041905525493647
bd_ratio,20,-5.5,1.0,24.158744366094705
bd_ratio,20,-5.25,1.0,24.275583206695774
bd_ratio,20,-5.0,1.0,24.39242204729684
bd_ratio,20,-4.75,1.0,24.509260887897906
bd_ratio,20,-4.5,1.0,24.62609972849897
bd_ratio,20,-4.25,1.0,24.742938569100037
bd_ratio,20,-4.0,1.0,24.859777409701103
bd_ratio,20,-3.75,1.0,24.976616250302172
bd_ratio,20,-3.5,1.0,25.093455090903237
bd_ratio,20,-3.25,1.0,25.210293931504296
bd_ratio,20,-3.0,1.0,25.32713277210537
bd_ratio,20,-2.75,1.0,25.443971612706434
bd_ratio,20,-2.5,1.0,25.5608104533075
bd_ratio,20,-2.25,1.0,25.677649293908566
bd_ratio,20,-2.0,1.0,25.79448813450963
bd_ratio,20,-1.75,1.0,25.911326975110697
bd_ratio,20,-1.5,1.0,26.028165815711766
bd_ratio,20,-1.25,1.0,26.145004656312828
bd_ratio,20,-1.0,1.0,26.261843496913894
bd_ratio,20,-0.75,1.0,26.37868233751496
bd_ratio,20,-0.5,1.0,26.49552117811603
bd_ratio,20,-0.25,1.0,26.61236001871709
bd_ratio,20,0.0,1.0,26.72919885931816
bd_ratio,20,0.25,1.0,26.84603769991923
bd_ratio,20,0.5,1.0,26.96287654052029
bd_ratio,20,0.75,1.0,27.07971538112136
bd_ratio,20,1.0,1.0,27.196554221722426
bd_ratio,20,1.25,1.0,27.313393062323488
bd_ratio,20,1.5,1.0,27.430231902924554
bd_ratio,20,1.75,1.0,27.547070743525623
bd_ratio,20,2.0,1.0,27.66390958412669
bd_ratio,20,2.25,1.0,27.780748424727754
bd_ratio,20,2.5,1.0,27.897587265328823
bd_ratio,20,2.75,1.0,28.014426105929886
bd_ratio,20,3.0,1.0,28.131264946530955
bd_ratio,20,3.25,1.0,28.24810378713202
bd_ratio,20,3.5,1.0,28.364942627733083
bd_ratio,20,3.75,1.0,28.481781468334148
bd_ratio,20,4.0,1.0,28.598620308935217
bd_ratio,20,4.25,1.0,28.715459149536287
bd_ratio,20,4.5,1.0,28.83229799013735
bd_ratio,20,4.75,1.0,28.94913683073841
bd_ratio,20,5.0,1.0,29.06597567133948
bd_ratio,20,5.25,1.0,29.182814511940546
bd_ratio,20,5.5,1.0,29.299653352541615
bd_ratio,20,5.75,1.0,29.416492193142677
bd_ratio,20,6.0,1.0,29.533331033743742
bd_ratio,20,6.25,1.0,29.65016987434481
bd_ratio,20,6.5,1.0,29.767008714945874
bd_ratio,20,6.75,1.0,29.883847555546943
bd_ratio,20,7.0,1.0,30.00068639614801
bd_ratio,20,7.25,1.0,30.117525236749074
bd_ratio,20,7.5,1.0,30.23436407735014
bd_ratio,20,7.75,1.0,30.35120291795121
bd_ratio,20,8.0,1.0,30.468041758552268
bd_ratio,20,8.25,1.0,30.584880599153337
bd_ratio,20,8.5,1.0,30.701719439754402
bd_ratio,20,8.75,1.0,30.818558280355468
bd_ratio,20,9.0,1.0,30.935397120956537
bd_ratio,20,9.25,1.0,31.052235961557603
bd_ratio,20,9.5,1.0,31.16907480215867
bd_ratio,20,9.75,1.0,31.285913642759734
bd_ratio,20,10.0,1.0,31.4027524833608
bd_ratio,28,-10.0,1.0,24.62278917446504
bd_ratio,28,-9.75,1.0,24.750668612099396
bd_ratio,28,-9.5,1.0,24.87854804973375
bd_ratio,28,-9.25,1.0,25.0064274873681
bd_ratio,28,-9.0,1.0,25.134306925002456
bd_ratio,28,-8.75,1.0,25.262186362636808
bd_ratio,28,-8.5,1.0,25.390065800271156
bd_ratio,28,-8.25,1.0,25.517945237905504
bd_ratio,28,-8.0,1.0,25.645824675539863
bd_ratio,28,-7.75,1.0,25.773704113174222
bd_ratio,28,-7.5,1.0,25.901583550808574
bd_ratio,28,-7.25,1.0,26.029462988442923
bd_ratio,28,-7.0,1.0,26.157342426077275
bd_ratio,28,-6.75,1.0,26.285221863711623
bd_ratio,28,-6.5,1.0,26.41310130134597
bd_ratio,28,-6.25,1.0,26.54098073898033
bd_ratio,28,-6.0,1.0,26.66886017661468
bd_ratio,28,-5.75,1.0,26.796739614249038
bd_ratio,28,-5.5,1.0,26.92461905188339
bd_ratio,28,-5.25,1.0,27.05249848951773
bd_ratio,28,-5.0,1.0,27.180377927152087
bd_ratio,28,-4.75,1.0,27.30825736478645
bd_ratio,28,-4.5,1.0,27.436136802420798
bd_ratio,28,-4.25,1.0,27.564016240055146
bd_ratio,28,-4.0,1.0,27.6918956776895
bd_ratio,28,-3.75,1.0,27.81977511532385
bd_ratio,28,-3.5,1.0,27.947654552958205
bd_ratio,28,-3.25,1.0,28.07553399059256
bd_ratio,28,-3.0,1.0,28.20341342822691
bd_ratio,28,-2.75,1.0,28.33129286586126
bd_ratio,28,-2.5,1.0,28.459172303495613
bd_ratio,28,-2.25,1.0,28.58705174112996
bd_ratio,28,-2.0,1.0,28.714931178764317
bd_ratio,28,-1.75,1.0,28.842810616398666
bd_ratio,28,-1.5,1.0,28.970690054033025
bd_ratio,28,-1.25,1.0,29.098569491667376
bd_ratio,28,-1.0,1.0,29.22644892930173
bd_ratio,28,-0.75,1.0,29.354328366936077
bd_ratio,28,-0.5,1.0,29.48220780457043
bd_ratio,28,-0.25,1.0,29.610087242204784
bd_ratio,28,0.0,1.0,29.73796667983914
bd_ratio,28,0.25,1.0,29.865846117473488
bd_ratio,28,0.5,1.0,29.993725555107844
bd_ratio,28,0.75,1.0,30.1216049927422
bd_ratio,28,1.0,1.0,30.249484430376544
bd_ratio,28,1.25,1.0,30.377363868010892
bd_ratio,28,1.5,1.0,30.505243305645244
bd_ratio,28,1.75,1.0,30.633122743279607
bd_ratio,28,2.0,1.0,30.76100218091396
bd_ratio,28,2.25,1.0,30.88888161854831
bd_ratio,28,2.5,1.0,31.016761056182663
bd_ratio,28,2.75,1.0,31.14464049381701
bd_ratio,28,3.0,1.0,31.272519931451363
bd_ratio,28,3.25,1.0,31.40039936908571
bd_ratio,28,3.5,1.0,31.528278806720067
bd_ratio,28,3.75,1.0,31.656158244354422
bd_ratio,28,4.0,1.0,31.784037681988767
bd_ratio,28,4.25,1.0,31.911917119623126
bd_ratio,28,4.5,1.0,32.039796557257475
bd_ratio,28,4.75,1.0,32.16767599489182
bd_ratio,28,5.0,1.0,32.295555432526186
bd_ratio,28,5.25,1.0,32.42343487016054
bd_ratio,28,5.5,1.0,32.55131430779488
bd_ratio,28,5.75,1.0,32.67919374542924
bd_ratio,28,6.0,1.0,32.80707318306359
bd_ratio,28,6.25,1.0,32.93495262069794
bd_ratio,28,6.5,1.0,33.0628320583323
bd_ratio,28,6.75,1.0,33.19071149596665
bd_ratio,28,7.0,1.0,33.318590933601
bd_ratio,28,7.25,1.0,33.44647037123535
bd_ratio,28,7.5,1.0,33.5743498088697
bd_ratio,28,7.75,1.0,33.70222924650405
bd_ratio,28,8.0,1.0,33.83010868413841
bd_ratio,28,8.25,1.0,33.957988121772765
bd_ratio,28,8.5,1.0,34.08586755940712
bd_ratio,28,8.75,1.0,34.21374699704147
bd_ratio,28,9.0,1.0,34.34162643467582
bd_ratio,28,9.25,1.0,34.469505872310165
bd_ratio,28,9.5,1.0,34.59738530994452
bd_ratio,28,9.75,1.0,34.725264747578876
bd_ratio,28,10.0,1.0,34.85314418521323
bd_ratio,36,-10.0,1.0,23.484192602649827
bd_ratio,36,-9.75,1.0,23.64681509927653
bd_ratio,36,-9.5,1.0,23.809437595903226
bd_ratio,36,-9.25,1.0,23.97206009252992
bd_ratio,36,-9.0,1.0,24.134682589156625
bd_ratio,36,-8.75,1.0,24.297305085783325
bd_ratio,36,-8.5,1.0,24.459927582410025
bd_ratio,36,-8.25,1.0,24.62255007903672
bd_ratio,36,-8.0,1.0,24.785172575663427
bd_ratio,36,-7.75,1.0,24.947795072290127
bd_ratio,36,-7.5,1.0,25.110417568916812
bd_ratio,36,-7.25,1.0,25.273040065543515
bd_ratio,36,-7.0,1.0,25.435662562170226
bd_ratio,36,-6.75,1.0,25.598285058796915
bd_ratio,36,-6.5,1.0,25.760907555423614
bd_ratio,36,-6.25,1.0,25.92353005205032
bd_ratio,36,-6.0,1.0,26.086152548677013
bd_ratio,36,-5.75,1.0,26.248775045303727
bd_ratio,36,-5.5,1.0,26.411397541930427
bd_ratio,36,-5.25,1.0,26.574020038557126
bd_ratio,36,-5.0,1.0,26.736642535183815
bd_ratio,36,-4.75,1.0,26.899265031810526
bd_ratio,36,-4.5,1.0,27.06188752843723
bd_ratio,36,-4.25,1.0,27.224510025063918
bd_ratio,36,-4.0,1.0,27.38713252169061
bd_ratio,36,-3.75,1.0,27.54975501831732
bd_ratio,36,-3.5,1.0,27.712377514944023
bd_ratio,36,-3.25,1.0,27.87500001157072
bd_ratio,36,-3.0,1.0,28.03762250819742
bd_ratio,36,-2.75,1.0,28.200245004824115
bd_ratio,36,-2.5,1.0,28.36286750145082
bd_ratio,36,-2.25,1.0,28.52548999807751
bd_ratio,36,-2.0,1.0,28.68811249470421
bd_ratio,36,-1.75,1.0,28.850734991330913
bd_ratio,36,-1.5,1.0,29.013357487957617
bd_ratio,36,-1.25,1.0,29.175979984584316
bd_ratio,36,-1.0,1.0,29.338602481211016
bd_ratio,36,-0.75,1.0,29.501224977837705
bd_ratio,36,-0.5,1.0,29.66384747446442
bd_ratio,36,-0.25,1.0,29.82646997109111
bd_ratio,36,0.0,1.0,29.98909246771781
bd_ratio,36,0.25,1.0,30.15171496434451
bd_ratio,36,0.5,1.0,30.314337460971203
bd_ratio,36,0.75,1.0,30.476959957597916
bd_ratio,36,1.0,1.0,30.639582454224605
bd_ratio,36,1.25,1.0,30.802204950851305
bd_ratio,36,1.5,1.0,30.964827447478005
bd_ratio,36,1.75,1.0,31.127449944104708
bd_ratio,36,2.0,1.0,31.29007244073141
bd_ratio,36,2.25,1.0,31.45269493735811
