N,lambda,action_key,focus_family,control_family,mean_score_focus,mean_score_control,win_rate_focus_vs_control,mean_f5_focus,mean_f5_control,mean_action_focus,mean_action_control
16,0.0,bdg_d2_link_norm,Lor4D,KR_like,-71.42480945612216,-41.67606865993212,1.0,71.42480945612216,41.67606865993212,-0.984375,-3.171875
16,1.0,bdg_d2_link_norm,Lor4D,KR_like,-70.44043445612216,-38.50419365993212,1.0,71.42480945612216,41.67606865993212,-0.984375,-3.171875
16,2.0,bdg_d2_link_norm,Lor4D,KR_like,-69.45605945612216,-35.33231865993212,1.0,71.42480945612216,41.67606865993212,-0.984375,-3.171875
16,3.0,bdg_d2_link_norm,Lor4D,KR_like,-68.47168445612216,-32.16044365993212,1.0,71.42480945612216,41.67606865993212,-0.984375,-3.171875
16,5.0,bdg_d2_link_norm,Lor4D,KR_like,-66.50293445612218,-25.81669365993212,1.0,71.42480945612216,41.67606865993212,-0.984375,-3.171875
16,7.0,bdg_d2_link_norm,Lor4D,KR_like,-64.53418445612218,-19.47294365993212,1.0,71.42480945612216,41.67606865993212,-0.984375,-3.171875
16,10.0,bdg_d2_link_norm,Lor4D,KR_like,-61.58105945612217,-9.95731865993212,1.0,71.42480945612216,41.67606865993212,-0.984375,-3.171875
16,15.0,bdg_d2_link_norm,Lor4D,KR_like,-56.65918445612217,5.90205634006788,1.0,71.42480945612216,41.67606865993212,-0.984375,-3.171875
16,20.0,bdg_d2_link_norm,Lor4D,KR_like,-51.73730945612217,21.76143134006788,1.0,71.42480945612216,41.67606865993212,-0.984375,-3.171875
16,30.0,bdg_d2_link_norm,Lor4D,KR_like,-41.89355945612217,53.48018134006788,1.0,71.42480945612216,41.67606865993212,-0.984375,-3.171875
16,50.0,bdg_d2_link_norm,Lor4D,KR_like,-22.20605945612217,116.91768134006789,1.0,71.42480945612216,41.67606865993212,-0.984375,-3.171875
20,0.0,bdg_d2_link_norm,Lor4D,KR_like,-85.69314774222659,-58.96394888290842,1.0,85.69314774222659,58.96394888290842,-1.7875,-3.8625
20,1.0,bdg_d2_link_norm,Lor4D,KR_like,-83.90564774222658,-55.10144888290842,1.0,85.69314774222659,58.96394888290842,-1.7875,-3.8625
20,2.0,bdg_d2_link_norm,Lor4D,KR_like,-82.11814774222657,-51.23894888290842,1.0,85.69314774222659,58.96394888290842,-1.7875,-3.8625
20,3.0,bdg_d2_link_norm,Lor4D,KR_like,-80.33064774222657,-47.37644888290842,1.0,85.69314774222659,58.96394888290842,-1.7875,-3.8625
20,5.0,bdg_d2_link_norm,Lor4D,KR_like,-76.75564774222659,-39.65144888290842,1.0,85.69314774222659,58.96394888290842,-1.7875,-3.8625
20,7.0,bdg_d2_link_norm,Lor4D,KR_like,-73.18064774222657,-31.92644888290842,1.0,85.69314774222659,58.96394888290842,-1.7875,-3.8625
20,10.0,bdg_d2_link_norm,Lor4D,KR_like,-67.81814774222659,-20.33894888290842,1.0,85.69314774222659,58.96394888290842,-1.7875,-3.8625
20,15.0,bdg_d2_link_norm,Lor4D,KR_like,-58.88064774222657,-1.0264488829084177,1.0,85.69314774222659,58.96394888290842,-1.7875,-3.8625
20,20.0,bdg_d2_link_norm,Lor4D,KR_like,-49.94314774222657,18.28605111709158,1.0,85.69314774222659,58.96394888290842,-1.7875,-3.8625
20,30.0,bdg_d2_link_norm,Lor4D,KR_like,-32.06814774222658,56.91105111709159,1.0,85.69314774222659,58.96394888290842,-1.7875,-3.8625
20,50.0,bdg_d2_link_norm,Lor4D,KR_like,3.681852257773423,134.16105111709157,1.0,85.69314774222659,58.96394888290842,-1.7875,-3.8625
28,0.0,bdg_d2_link_norm,Lor4D,KR_like,-125.03523043511743,-95.29726375527828,1.0,125.03523043511743,95.29726375527828,-2.9017857142857144,-5.803571428571429
28,1.0,bdg_d2_link_norm,Lor4D,KR_like,-122.1334447208317,-89.49369232670685,1.0,125.03523043511743,95.29726375527828,-2.9017857142857144,-5.803571428571429
28,2.0,bdg_d2_link_norm,Lor4D,KR_like,-119.231659006546,-83.69012089813543,1.0,125.03523043511743,95.29726375527828,-2.9017857142857144,-5.803571428571429
28,3.0,bdg_d2_link_norm,Lor4D,KR_like,-116.32987329226029,-77.886549469564,1.0,125.03523043511743,95.29726375527828,-2.9017857142857144,-5.803571428571429
28,5.0,bdg_d2_link_norm,Lor4D,KR_like,-110.52630186368884,-66.27940661242114,1.0,125.03523043511743,95.29726375527828,-2.9017857142857144,-5.803571428571429
28,7.0,bdg_d2_link_norm,Lor4D,KR_like,-104.72273043511743,-54.67226375527828,1.0,125.03523043511743,95.29726375527828,-2.9017857142857144,-5.803571428571429
28,10.0,bdg_d2_link_norm,Lor4D,KR_like,-96.01737329226029,-37.261549469564,1.0,125.03523043511743,95.29726375527828,-2.9017857142857144,-5.803571428571429
28,15.0,bdg_d2_link_norm,Lor4D,KR_like,-81.5084447208317,-8.243692326706858,1.0,125.03523043511743,95.29726375527828,-2.9017857142857144,-5.803571428571429
28,20.0,bdg_d2_link_norm,Lor4D,KR_like,-66.99951614940314,20.77416481615028,1.0,125.03523043511743,95.29726375527828,-2.9017857142857144,-5.803571428571429
28,30.0,bdg_d2_link_norm,Lor4D,KR_like,-37.981659006545996,78.80987910186457,1.0,125.03523043511743,95.29726375527828,-2.9017857142857144,-5.803571428571429
28,50.0,bdg_d2_link_norm,Lor4D,KR_like,20.054055279168292,194.88130767329312,1.0,125.03523043511743,95.29726375527828,-2.9017857142857144,-5.803571428571429
36,0.0,bdg_d2_link_norm,Lor4D,KR_like,-165.29320283821744,-135.30411037049961,1.0,165.29320283821744,135.30411037049961,-4.930555555555555,-8.125
36,1.0,bdg_d2_link_norm,Lor4D,KR_like,-160.3626472826619,-127.17911037049963,1.0,165.29320283821744,135.30411037049961,-4.930555555555555,-8.125
