d,N,H,H_sq,rep,n_causal_pairs,C_0,C_1,C_2,N_2,N_3,N_4,N_5,longest_chain,longest_chain_ratio,N3_over_N2,N4_over_N3,N5_over_N4,N4_over_N2sq,chain_entropy,N2_per_N,N3_per_N,N4_per_N
2,128,0.0,0.0,0,4276,421,313,246,4276.0,52949.0,322824.0,1152634.0,17.0,0.1328125,12.382834424695977,6.096885682449149,3.5704718360468863,0.017655922804505928,0.6750685478615077,33.40625,413.6640625,2522.0625
2,128,0.0,0.0,1,4082,448,310,249,4082.0,50333.0,310172.0,1114750.0,17.0,0.1328125,12.33047525722685,6.162398426479646,3.5939736662239015,0.01861472349899092,0.6720618854233751,31.890625,393.2265625,2423.21875
2,128,0.0,0.0,2,3827,434,292,273,3827.0,44481.0,264345.0,929396.0,18.0,0.140625,11.622942252417037,5.942874485735483,3.5158448239989406,0.018049042843236506,0.6833441338905306,29.8984375,347.5078125,2065.1953125
2,128,0.0,0.0,3,4229,425,330,273,4229.0,53391.0,334990.0,1216549.0,17.0,0.1328125,12.624970442184914,6.274278436440599,3.6315979581480042,0.018730806291345645,0.66677679613803,33.0390625,417.1171875,2617.109375
2,128,0.0,0.0,4,4406,448,313,268,4406.0,59354.0,405897.0,1655890.0,18.0,0.140625,13.471175669541534,6.838578697307679,4.079581765817436,0.02090869154821068,0.6234187625100829,34.421875,463.703125,3171.0703125
2,128,0.0,0.0,5,3782,436,311,247,3782.0,43934.0,264337.0,955423.0,16.0,0.125,11.61660497091486,6.016684117084718,3.6144126626238475,0.018480550667094347,0.6738543927072348,29.546875,343.234375,2065.1328125
2,128,0.0,0.0,6,4022,417,332,264,4022.0,47829.0,286641.0,1028809.0,17.0,0.1328125,11.891844853306813,5.993037696794832,3.5891899623570946,0.017719610763377257,0.6759893894433238,31.421875,373.6640625,2239.3828125
2,128,0.0,0.0,7,4286,441,319,246,4286.0,52829.0,310082.0,1025647.0,15.0,0.1171875,12.3259449370042,5.86954135039467,3.3076637792583896,0.01687999148166915,0.7016911200536148,33.484375,412.7265625,2422.515625
2,128,0.25,0.0625,0,3631,457,314,250,3631.0,36166.0,177019.0,506918.0,16.0,0.125,9.960341503717984,4.894624785710335,2.8636361068585856,0.013426641255366951,0.7701215258923694,28.3671875,282.546875,1382.9609375
2,128,0.25,0.0625,1,3858,410,308,275,3858.0,41702.0,225012.0,720972.0,15.0,0.1171875,10.809227579056506,5.395712435854396,3.2041491120473573,0.015117543719620397,0.7231295597851595,30.140625,325.796875,1757.90625
2,128,0.25,0.0625,2,3622,433,292,256,3622.0,36121.0,175792.0,496777.0,15.0,0.1171875,9.97266703478741,4.866753412142521,2.8259363338490946,0.013399920298098528,0.7746971250931949,28.296875,282.1953125,1373.375
2,128,0.25,0.0625,3,3840,398,318,266,3840.0,41107.0,216785.0,668180.0,17.0,0.1328125,10.704947916666667,5.273676016250274,3.082224323638628,0.014701673719618056,0.7375140468429939,30.0,321.1484375,1693.6328125
2,128,0.25,0.0625,4,3601,445,314,241,3601.0,38520.0,205554.0,638306.0,15.0,0.1171875,10.697028603165787,5.3362928348909655,3.105295931969215,0.01585184034704174,0.733879593850699,28.1328125,300.9375,1605.890625
2,128,0.25,0.0625,5,3906,409,307,258,3906.0,42811.0,225780.0,691581.0,17.0,0.1328125,10.96031746031746,5.273878208871552,3.0630746744618653,0.014798612241751828,0.7388705086414252,30.515625,334.4609375,1763.90625
2,128,0.25,0.0625,6,3513,430,317,237,3513.0,33749.0,159084.0,436241.0,15.0,0.1171875,9.606888699117563,4.7137396663604845,2.7422053757763196,0.012890513046211425,0.7886226596288705,27.4453125,263.6640625,1242.84375
