d,N,hubble,rep,R_dS,H2,n_causal_pairs,b1_mean,b1_std,w_max_ratio,mean_layer_width,n_patches,b1_std_patch_mean,b1_std_patch_std,wmr_patch_mean,wmr_patch_std
4,128,0.0,0,0.0,0.0,1531,0.5625,22.904267479009235,0.3515625,25.6,2,8.804949959992266,8.29609971539316,nan,nan
4,128,0.0,1,0.0,0.0,1690,0.0625,20.06230529500536,0.359375,25.6,2,5.578926743183234,5.084989800413044,nan,nan
4,128,0.0,2,0.0,0.0,1505,5.2109375,27.002214129050486,0.375,32.0,2,10.261596499727238,10.261596499727238,nan,nan
4,128,0.0,3,0.0,0.0,1412,-0.171875,22.74969415144685,0.4140625,32.0,2,6.471407581045022,6.471407581045022,nan,nan
4,128,0.0,4,0.0,0.0,1742,2.6015625,26.579285826722163,0.3203125,25.6,2,8.23591070236744,7.717521172078719,nan,nan
4,128,0.0,5,0.0,0.0,1385,1.734375,26.016966932357334,0.3828125,25.6,2,7.105772322320399,6.539214598587867,nan,nan
4,128,0.0,6,0.0,0.0,1177,0.3046875,14.925103953652844,0.421875,25.6,2,4.414154411779705,4.070980119267398,nan,nan
4,128,0.0,7,0.0,0.0,1318,-1.53125,16.59816325493577,0.375,25.6,2,5.096895584019621,4.382966112111698,nan,nan
4,128,0.0,8,0.0,0.0,1525,-1.671875,24.407065247267543,0.3515625,25.6,2,9.498431708573701,9.120692013742552,nan,nan
4,128,0.0,9,0.0,0.0,1417,1.6796875,22.451313155411285,0.3828125,21.333333333333332,2,9.320367424492304,4.142571236819191,nan,nan
4,128,0.0,10,0.0,0.0,1371,-0.46875,19.30428122043139,0.3828125,25.6,2,8.768635094635862,8.360952637140343,nan,nan
4,128,0.0,11,0.0,0.0,1563,-0.984375,24.86431440557682,0.359375,21.333333333333332,2,5.917064238767036,4.454897683793644,nan,nan
4,128,0.0,12,0.0,0.0,1552,1.8203125,24.575277717705323,0.3515625,25.6,2,4.457251304237095,3.8628094697515376,nan,nan
4,128,0.0,13,0.0,0.0,1588,-3.859375,31.255433121449062,0.3515625,25.6,2,6.46344080983193,5.9179338395086525,nan,nan
4,128,0.0,14,0.0,0.0,1274,0.296875,22.271534303553832,0.390625,25.6,2,5.879315407493658,5.273622494108135,nan,nan
4,128,0.0,15,0.0,0.0,1387,2.0078125,25.336946865493555,0.3828125,25.6,2,6.363974934926761,5.848108702438459,nan,nan
4,128,0.0,16,0.0,0.0,1243,-3.578125,20.955163957468216,0.3984375,25.6,2,5.508261687687232,5.0531786274487995,nan,nan
4,128,0.0,17,0.0,0.0,1245,6.7109375,24.837016333913656,0.3828125,25.6,2,7.844480570661975,7.524995037472818,nan,nan
4,128,0.0,18,0.0,0.0,1604,3.6015625,24.929381461612596,0.359375,21.333333333333332,2,6.736143201749671,5.379595972319406,nan,nan
