d,N,hubble,rep,R_dS,R_hat,n_causal_pairs,bd_ratio,bdg_d4,bdg_d2c,occupancy_R,M1_mean_interval,M2_interval_entropy,M3_c1_ratio,M4_tail_weight,M5_log_interval_ratio,M6_weighted_depth_ratio,M7_norm_bd_shift,C0,C1,C2,C3,total_pairs
2,128,0.000000,0,0.000000,91.944176,4056,11.465577,1.484375,-0.406250,0.902367,11.706114,3.483376,0.435897,0.826923,-0.257829,23.174431,-0.406250,396,306,273,259,4056
2,128,0.000000,1,0.000000,20.621637,4050,10.822725,-3.406250,-1.437500,0.894568,11.098272,3.423282,0.388252,0.827654,-0.454665,20.874967,-1.437500,427,271,277,232,4050
2,128,0.000000,2,0.000000,84.479512,4145,11.954286,3.140625,-0.343750,0.900362,12.277201,3.515062,0.441892,0.821472,-0.233487,23.592466,-0.343750,413,327,248,214,4145
2,128,0.000000,3,0.000000,4.451443,4041,11.037094,-3.257812,-1.640625,0.893591,11.351398,3.430101,0.377713,0.829003,-0.499265,20.630703,-1.640625,430,261,266,224,4041
2,128,0.000000,4,0.000000,43.876988,3985,11.350558,-3.914062,-1.328125,0.898369,11.634630,3.467756,0.387292,0.834128,-0.458710,21.840954,-1.328125,405,256,265,214,3985
2,128,0.000000,5,0.000000,10.208991,4018,11.449355,-1.429688,-1.359375,0.888751,11.882529,3.485251,0.398385,0.815082,-0.412199,23.723232,-1.359375,447,296,274,232,4018
2,128,0.000000,6,0.000000,11.219896,4109,11.374669,-0.390625,-0.781250,0.891701,11.756145,3.478344,0.426546,0.811146,-0.295956,23.539560,-0.781250,445,331,281,223,4109
2,128,0.000000,7,0.000000,-24.747375,4089,11.566545,3.812500,-1.000000,0.890438,11.989729,3.487789,0.416667,0.812179,-0.336472,23.725737,-1.000000,448,320,250,241,4089
2,128,0.250000,0,0.125000,9.357628,3868,10.638849,1.296875,-1.031250,0.886246,11.004395,3.413344,0.413333,0.806101,-0.350202,21.580242,-1.031250,440,310,257,225,3868
2,128,0.250000,1,0.125000,-9.480336,3897,10.984127,0.757812,-0.609375,0.889402,11.350013,3.440629,0.432148,0.805235,-0.273094,22.920011,-0.609375,431,328,268,217,3897
2,128,0.250000,2,0.125000,-23.449800,3514,9.763391,5.218750,-1.437500,0.868241,10.245020,3.344766,0.398701,0.780876,-0.410879,21.201328,-1.437500,463,307,227,234,3514
