d,N,hubble,rep,R_dS,H2,n_causal_pairs,rho_eff,b1_mean,b1_std,b1_median,s_bdg,b1_mean_scaled,b1_std_scaled,s_bdg_scaled
4,128,0.0,0,0.0,0.0,1578,12.328125,-3.3359375,29.61821582229581,0.0,-427.0,-11.712953522490889,103.99379045490363,-1499.2580508788337
4,128,0.0,1,0.0,0.0,1388,10.84375,4.578125,16.00273871824367,1.0,586.0,15.075696806990669,52.69677804728617,1929.6891912948056
4,128,0.0,2,0.0,0.0,1531,11.9609375,0.5625,22.904267479009235,1.0,72.0,1.9453830935986298,79.21346617764529,249.00903598062462
4,128,0.0,3,0.0,0.0,1690,13.203125,0.0625,20.06230529500536,1.0,8.0,0.2271006539648224,72.89860244060218,29.068883707497267
4,128,0.0,4,0.0,0.0,1505,11.7578125,5.2109375,27.002214129050486,1.0,667.0,17.868131064723144,92.58969256407185,2287.1207762845625
4,128,0.0,5,0.0,0.0,1412,11.03125,-0.171875,22.74969415144685,1.0,-22.0,-0.5708540344197292,75.55930000388858,-73.06931640572533
4,128,0.0,6,0.0,0.0,1742,13.609375,2.6015625,26.579285826722163,1.0,333.0,9.597394667194227,98.05334142509142,1228.466517400861
4,128,0.0,7,0.0,0.0,1385,10.8203125,1.734375,26.016966932357334,0.0,222.0,5.705095342696973,85.58084432541577,730.2522038652126
4,128,0.0,8,0.0,0.0,1177,9.1953125,0.3046875,14.925103953652844,1.0,39.0,0.9239274792141015,45.25854743928416,118.26271733940499
4,128,0.0,9,0.0,0.0,1318,10.296875,-1.53125,16.59816325493577,0.0,-196.0,-4.913588945286549,53.26142137568249,-628.9393849966783
4,128,0.0,10,0.0,0.0,1525,11.9140625,-1.671875,24.407065247267543,1.0,-214.0,-5.77076967206561,84.2452646956609,-738.6585180243981
4,128,0.0,11,0.0,0.0,1417,11.0703125,1.6796875,22.451313155411285,1.0,215.0,5.588669542293604,74.70018680030824,715.3497014135813
4,128,0.0,12,0.0,0.0,1371,10.7109375,-0.46875,19.30428122043139,1.0,-60.0,-1.5341047806546149,63.17821889571177,-196.3654119237907
4,128,0.0,13,0.0,0.0,1563,12.2109375,-0.984375,24.86431440557682,1.0,-126.0,-3.4398149498247848,86.88623787626352,-440.29631357757245
4,128,0.0,14,0.0,0.0,1552,12.125,1.8203125,24.575277717705323,1.0,233.0,6.338504821452929,85.57350251795772,811.3286171459749
4,128,0.0,15,0.0,0.0,1588,12.40625,-3.859375,31.255433121449062,1.0,-494.0,-13.59368629879112,110.08947121899901,-1739.9918462452633
4,128,0.25,0,0.75,0.0625,1085,8.4765625,0.4140625,15.416877593925877,1.0,53.0,1.2055237871858635,44.88552492343645,154.30704475979053
4,128,0.25,1,0.75,0.0625,1024,8.0,3.4921875,16.13371668168385,1.0,447.0,9.877397849699586,45.6330418854447,1264.306924761547
4,128,0.25,2,0.75,0.0625,1120,8.75,2.921875,19.655871170832775,1.0,374.0,8.643022808122096,58.14285102648718,1106.3069194396282
4,128,0.25,3,0.75,0.0625,896,7.0,-0.59375,15.403143703072434,1.0,-76.0,-1.5709148409446008,40.752887646920186,-201.0770996409089
4,128,0.25,4,0.75,0.0625,1060,8.28125,3.4609375,22.485725452408552,1.0,443.0,9.959595593587993,64.70753434132735,1274.8282359792631
4,128,0.25,5,0.75,0.0625,835,6.5234375,2.3515625,12.871716719559739,1.0,301.0,6.006130702394987,32.875678610234104,768.7847299065584
4,128,0.25,6,0.75,0.0625,1125,8.7890625,-1.390625,20.184397739575363,0.0,-178.0,-4.122695972973424,59.83937817732403,-527.7050845405982
4,128,0.25,7,0.75,0.0625,1143,8.9296875,2.84375,19.8062638056121,1.0,364.0,8.497859460916052,59.18623165394988,1087.7260109972547
4,128,0.25,8,0.75,0.0625,987,7.7109375,-1.859375,13.763478833833219,0.5,-238.0,-5.163219388850087,38.21921923919352,-660.8920817728111
4,128,0.25,9,0.75,0.0625,1095,8.5546875,3.75,17.125456198303155,1.0,480.0,10.968149021997741,50.089214840715705,1403.9230748157108
4,128,0.25,10,0.75,0.0625,1119,8.7421875,3.8828125,17.05351003722822,1.0,497.0,11.480385659648224,50.422437879259405,1469.4893644349727
4,128,0.25,11,0.75,0.0625,1188,9.28125,1.3671875,21.58445298912724,1.0,175.0,4.165156408626835,65.75734688502344,533.1400203042349
4,128,0.25,12,0.75,0.0625,1028,8.03125,1.5625,16.818307547134463,1.0,200.0,4.4280406440447795,47.66217560496413,566.7892024377318
