d,N,hubble,rep,R_dS,H2,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy,b1_mean,b1_std,b1_neg_frac,eig_min,eig_max,eig_gap,eig_spread
2,128,0.0,0,0.0,0.0,4112,0.140625,15.0,0.1171875,8.533333333333333,2.8487814158961995,0.3338415721753359,0.09375,2.6360363844245036,-1.109375,4.502142502117742,0.609375,-6.295632695620871,9.946022837759056,0.7464428956913292,16.241655533379927
2,128,0.0,1,0.0,0.0,4006,0.1328125,14.0,0.109375,9.142857142857142,2.5030593525621763,0.27377211668648804,0.1015625,2.600155829181979,-1.3125,4.785639325105894,0.6015625,-6.952890847518323,10.238390445652689,0.7125113113676065,17.191281293171013
2,128,0.0,2,0.0,0.0,3973,0.1171875,19.0,0.1484375,6.7368421052631575,2.424482696059162,0.3598841501962819,0.0859375,2.865979132330568,0.21875,4.508563899680252,0.4375,-6.339239974581487,9.852022301862785,1.0185276849388334,16.19126227644427
2,128,0.0,3,0.0,0.0,4009,0.1171875,15.0,0.1171875,8.533333333333333,2.704728370013439,0.31696035586094984,0.109375,2.643990024455514,-0.640625,4.659892660713871,0.4921875,-6.371447411146831,9.881958257398809,0.6246649420554959,16.25340566854564
2,128,0.0,4,0.0,0.0,4063,0.140625,16.0,0.125,8.0,3.2596012026013246,0.40745015032516557,0.09375,2.662962080769405,-1.046875,4.426234600015571,0.5546875,-7.1153803971793605,10.46153359861688,1.5287031558097386,17.57691399579624
2,128,0.0,5,0.0,0.0,4056,0.125,16.0,0.125,8.0,2.449489742783178,0.30618621784789724,0.0859375,2.711766234467073,-0.265625,3.6560830624282867,0.5234375,-5.7936862157145175,9.128579523632595,0.4985213591107538,14.922265739347113
2,128,0.0,6,0.0,0.0,4030,0.1328125,15.0,0.1171875,8.533333333333333,2.0286832072937253,0.23773631335473344,0.0859375,2.6775584021763437,-0.875,4.262848226244984,0.5625,-5.8009224892424935,9.506702125396632,0.8236066269456845,15.307624614639126
2,128,0.0,7,0.0,0.0,4017,0.1171875,17.0,0.1328125,7.529411764705882,3.3098364462671057,0.43958765301985,0.09375,2.715472774089838,-1.015625,4.687057270759021,0.578125,-6.21121913588769,9.542831801223553,0.2292349701444163,15.754050937111243
2,128,0.25,0,0.125,0.0625,3460,0.125,14.0,0.109375,9.142857142857142,2.614715031103304,0.2859844565269239,0.1015625,2.58887190499634,-0.8125,4.3043401062183735,0.609375,-6.367607655287372,9.496452703096917,0.22000700913946503,15.86406035838429
2,128,0.25,1,0.125,0.0625,3715,0.140625,15.0,0.1171875,8.533333333333333,2.8720878971384023,0.33657280044590654,0.109375,2.6452026813563627,-0.515625,4.442311432055952,0.5546875,-6.065301499474186,9.090723851447443,0.11769226569522573,15.15602535092163
