d,N,hubble,rep,seed,R_dS,R_hat,flat_prefactor,flat_r2,n_causal_pairs,bd_ratio,bdg_d4,bdg_d2c,occupancy_R,f_link,wall_sigma
2,128,0.000000,0,20588323,0.000000,1.333831,0.397566,0.840939,4193,11.378792,2.312500,-0.625000,0.896256,0.103744,1.000000
2,128,0.000000,1,20588333,0.000000,26.086523,0.488464,0.804920,4315,12.742311,0.875000,-0.500000,0.900579,0.099421,1.000000
2,128,0.000000,2,20588343,0.000000,3.045080,0.505405,0.813791,3967,11.320494,3.937500,-0.250000,0.891606,0.108394,1.000000
2,128,0.000000,3,20588353,0.000000,-8.246918,0.464645,0.842611,4098,11.817956,3.140625,-0.218750,0.897999,0.102001,1.000000
2,128,0.000000,4,20588363,0.000000,-15.030029,0.407525,0.872611,3981,10.696210,1.539062,-1.421875,0.887968,0.112032,1.000000
2,128,0.000000,5,20588373,0.000000,-42.370697,0.462759,0.874438,3883,10.901479,1.359375,-1.531250,0.883080,0.116920,1.000000
2,128,0.000000,6,20588383,0.000000,63.190265,0.456727,0.763575,4084,11.548114,2.281250,-0.062500,0.904016,0.095984,1.000000
2,128,0.000000,7,20588393,0.000000,-33.001555,0.473261,0.843747,4216,11.789362,-1.671875,-1.468750,0.887808,0.112192,1.000000
2,128,0.250000,0,20588348,0.125000,11.057828,0.392544,0.573898,3746,10.869165,0.031250,-0.062500,0.898825,0.101175,1.000000
2,128,0.250000,1,20588358,0.125000,-2.964529,0.414790,0.578694,3763,10.282798,0.593750,-1.062500,0.884135,0.115865,1.000000
2,128,0.250000,2,20588368,0.125000,13.411596,0.341155,0.552830,3650,9.409357,-1.554688,-0.984375,0.884384,0.115616,1.000000
2,128,0.250000,3,20588378,0.125000,22.508543,0.360585,0.552435,3709,10.243156,2.695312,-0.234375,0.893233,0.106767,1.000000
2,128,0.250000,4,20588388,0.125000,-30.902256,0.442030,0.565639,3895,10.820580,4.054688,-1.390625,0.877022,0.122978,1.000000
2,128,0.250000,5,20588398,0.125000,-7.719515,0.375613,0.588586,3685,9.951645,4.015625,-0.343750,0.888195,0.111805,1.000000
2,128,0.250000,6,20588408,0.125000,10.638357,0.373132,0.596418,3610,9.642696,1.812500,-0.750000,0.883102,0.116898,1.000000
2,128,0.250000,7,20588418,0.125000,-18.398751,0.447334,0.568109,3762,10.632557,-0.031250,-1.187500,0.880914,0.119086,1.000000
2,128,0.500000,0,20588373,0.500000,-27.186910,0.456661,0.553429,3046,8.196243,-3.546875,-1.468750,0.860473,0.139527,1.000000
2,128,0.500000,1,20588383,0.500000,64.580710,0.402479,0.502960,3497,9.459926,2.531250,-0.187500,0.885902,0.114098,1.000000
2,128,0.500000,2,20588393,0.500000,-37.370702,0.444810,0.615184,3557,9.572063,0.742188,-1.265625,0.874613,0.125387,1.000000
2,128,0.500000,3,20588403,0.500000,29.109903,0.388588,0.562497,3318,8.812594,0.093750,-0.062500,0.886980,0.113020,1.000000
2,128,0.500000,4,20588413,0.500000,78.660783,0.448210,0.435680,3354,9.202189,0.445312,-0.359375,0.883423,0.116577,1.000000
2,128,0.500000,5,20588423,0.500000,-17.605864,0.454585,0.569596,3274,8.847521,0.320312,-1.609375,0.860110,0.139890,1.000000
2,128,0.500000,6,20588433,0.500000,-11.886470,0.428228,0.583576,3616,9.728553,0.539062,-1.671875,0.871681,0.128319,1.000000
2,128,0.500000,7,20588443,0.500000,1.181240,0.452383,0.530026,3032,8.260990,0.351562,-0.921875,0.864446,0.135554,1.000000
2,128,1.000000,0,20588423,2.000000,37.104848,0.584333,0.465172,2622,6.967374,0.015625,-0.843750,0.844394,0.155606,1.000000
2,128,1.000000,1,20588433,2.000000,104.116098,0.455745,0.448143,2745,6.796467,-2.617188,-0.984375,0.851730,0.148270,1.000000
2,128,1.000000,2,20588443,2.000000,190.294808,0.532662,0.379373,2529,7.154159,2.070312,-0.484375,0.859233,0.140767,1.000000
2,128,1.000000,3,20588453,2.000000,187.197783,0.523223,0.444502,2911,7.647228,4.273438,0.171875,0.867743,0.132257,1.000000
2,128,1.000000,4,20588463,2.000000,-15.271281,0.565783,0.506988,2599,6.879365,0.789062,-1.046875,0.841862,0.158138,1.000000
2,128,1.000000,5,20588473,2.000000,45.373168,0.531146,0.518281,2506,6.709975,-2.617188,-0.859375,0.844773,0.155227,1.000000
2,128,1.000000,6,20588483,2.000000,39.759223,0.532160,0.473975,2589,6.460342,-0.570312,-1.140625,0.837003,0.162997,1.000000
2,128,1.000000,7,20588493,2.000000,322.304396,0.479651,0.389720,2636,6.829772,-0.203125,-0.781250,0.852428,0.147572,1.000000
2,128,2.000000,0,20588523,8.000000,864.932704,0.699731,0.273406,1588,4.060346,-1.343750,-0.937500,0.775819,0.224181,1.000000
2,128,2.000000,1,20588533,8.000000,3959.447637,0.763739,0.280634,1541,3.782520,3.843750,-0.437500,0.779364,0.220636,1.000000
2,128,2.000000,2,20588543,8.000000,972.491771,0.733929,0.360349,1512,3.941623,1.671875,-0.406250,0.789683,0.210317,1.000000
2,128,2.000000,3,20588553,8.000000,622.448512,0.637180,0.308476,1590,3.987473,2.632812,-0.609375,0.781761,0.218239,1.000000
2,128,2.000000,4,20588563,8.000000,1279.865386,0.721703,0.298956,1542,3.938200,-0.968750,-1.312500,0.771725,0.228275,1.000000
2,128,2.000000,5,20588573,8.000000,792.431487,0.556396,0.222244,1522,3.657156,1.125000,-1.000000,0.768068,0.231932,1.000000
