N,lambda,action_field,beta_entropy,entropy_sign,action_sign,focus_lor,mean_score_focus,mean_score_kr,win_rate_focus_vs_kr,lambda_cross_mean_focus_vs_kr,mean_f5_focus,mean_f5_kr,win_rate_f5_focus_vs_kr,agreement_rate_score_vs_f5
16,0.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-15.977373306463498,-18.989846544100253,0.0,2.9211861698295802,31.810854423610923,41.67606865993212,1.0,0.0
16,2.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-11.696123306463498,-12.646096544100253,0.375,2.9211861698295802,31.810854423610923,41.67606865993212,1.0,0.375
16,4.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-7.4148733064635,-6.302346544100253,0.5,2.9211861698295802,31.810854423610923,41.67606865993212,1.0,0.5
16,6.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-3.1336233064635,0.041403455899747144,0.875,2.9211861698295802,31.810854423610923,41.67606865993212,1.0,0.875
16,8.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,1.1476266935365003,6.385153455899747,0.875,2.9211861698295802,31.810854423610923,41.67606865993212,1.0,0.875
16,10.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,5.4288766935365,12.728903455899747,0.875,2.9211861698295802,31.810854423610923,41.67606865993212,1.0,0.875
16,12.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,9.7101266935365,19.072653455899747,0.875,2.9211861698295802,31.810854423610923,41.67606865993212,1.0,0.875
16,14.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,13.991376693536502,25.416403455899747,0.875,2.9211861698295802,31.810854423610923,41.67606865993212,1.0,0.875
16,16.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,18.272626693536502,31.760153455899747,0.875,2.9211861698295802,31.810854423610923,41.67606865993212,1.0,0.875
16,18.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,22.553876693536502,38.10390345589975,0.875,2.9211861698295802,31.810854423610923,41.67606865993212,1.0,0.875
16,20.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,26.835126693536502,44.44765345589975,0.875,2.9211861698295802,31.810854423610923,41.67606865993212,1.0,0.875
20,0.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-21.479102955691083,-27.150899454348938,0.0,5.53345999869059,42.78131114512608,58.96394888290842,1.0,0.0
20,2.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-15.80410295569108,-19.42589945434894,0.125,5.53345999869059,42.78131114512608,58.96394888290842,1.0,0.125
