d,N,p_frw,rep,bin_label,n_matched,H_local,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width
2,128,0.5,0,early,64,1.3948239061212233,828,0.203125,9.0,0.140625,7.111111111111112
2,128,0.5,0,late,64,0.6222050138192918,490,0.25,9.0,0.140625,7.111111111111112
2,128,0.5,1,early,64,1.3984002095186707,836,0.203125,10.0,0.15625,6.4
2,128,0.5,1,late,64,0.6021354319072759,473,0.25,8.0,0.125,8.0
2,128,0.5,2,early,64,1.3559905516144557,777,0.1875,10.0,0.15625,6.4
2,128,0.5,2,late,64,0.635354994943111,536,0.25,8.0,0.125,8.0
2,128,0.5,3,early,64,1.3937820860460821,985,0.21875,12.0,0.1875,5.333333333333333
2,128,0.5,3,late,64,0.5772300576833133,376,0.296875,6.0,0.09375,10.666666666666666
2,128,0.5,4,early,64,1.4735528937269553,929,0.21875,9.0,0.140625,7.111111111111112
2,128,0.5,4,late,64,0.6150824125405102,436,0.234375,7.0,0.109375,9.142857142857142
2,128,0.5,5,early,64,1.505738135046252,836,0.25,10.0,0.15625,6.4
2,128,0.5,5,late,64,0.6121311504550313,450,0.265625,7.0,0.109375,9.142857142857142
2,128,0.5,6,early,64,1.681450070173957,852,0.203125,12.0,0.1875,5.333333333333333
2,128,0.5,6,late,64,0.6197484924177675,553,0.25,8.0,0.125,8.0
2,128,0.5,7,early,64,1.6743868513753886,1006,0.1875,12.0,0.1875,5.333333333333333
2,128,0.5,7,late,64,0.6062188960169841,445,0.328125,7.0,0.109375,9.142857142857142
2,128,1.0,0,early,64,2.4643757657787075,1145,0.21875,12.0,0.1875,5.333333333333333
2,128,1.0,0,late,64,1.1640867626863205,397,0.265625,9.0,0.140625,7.111111111111112
2,128,1.0,1,early,64,2.5143306106050662,1157,0.1875,13.0,0.203125,4.923076923076923
2,128,1.0,1,late,64,1.1559774656983655,416,0.28125,7.0,0.109375,9.142857142857142
2,128,1.0,2,early,64,2.55477293848233,1197,0.203125,15.0,0.234375,4.266666666666667
2,128,1.0,2,late,64,1.181069952520461,396,0.265625,6.0,0.09375,10.666666666666666
2,128,1.0,3,early,64,2.661248977280107,1184,0.203125,14.0,0.21875,4.571428571428571
2,128,1.0,3,late,64,1.1798670456216755,447,0.25,8.0,0.125,8.0
2,128,1.0,4,early,64,2.3004077460956625,1102,0.203125,13.0,0.203125,4.923076923076923
2,128,1.0,4,late,64,1.1402366220289029,379,0.296875,6.0,0.09375,10.666666666666666
2,128,1.0,5,early,64,2.589451251207149,1146,0.1875,13.0,0.203125,4.923076923076923
2,128,1.0,5,late,64,1.1702557419240598,398,0.296875,8.0,0.125,8.0
2,128,1.0,6,early,64,2.503654270981979,1225,0.140625,13.0,0.203125,4.923076923076923
2,128,1.0,6,late,64,1.1403858171794234,347,0.265625,8.0,0.125,8.0
2,128,1.0,7,early,64,2.6394097923342814,1084,0.1875,11.0,0.171875,5.818181818181818
2,128,1.0,7,late,64,1.1839520125812666,416,0.234375,7.0,0.109375,9.142857142857142
2,128,1.5,0,early,64,3.0267968083553747,1018,0.21875,15.0,0.234375,4.266666666666667
2,128,1.5,0,late,64,1.7116481748458643,381,0.3125,6.0,0.09375,10.666666666666666
2,128,1.5,1,early,64,2.7964259424763207,1078,0.21875,14.0,0.21875,4.571428571428571
2,128,1.5,1,late,64,1.6745584738248125,273,0.328125,7.0,0.109375,9.142857142857142
2,128,1.5,2,early,64,3.199497301274949,1325,0.171875,15.0,0.234375,4.266666666666667
2,128,1.5,2,late,64,1.65416810320664,328,0.359375,7.0,0.109375,9.142857142857142
2,128,1.5,3,early,64,2.9041115259656394,1079,0.203125,15.0,0.234375,4.266666666666667
2,128,1.5,3,late,64,1.6963032126376048,347,0.296875,6.0,0.09375,10.666666666666666
2,128,1.5,4,early,64,2.8543871301097883,1129,0.15625,15.0,0.234375,4.266666666666667
2,128,1.5,4,late,64,1.6837388549374888,294,0.359375,6.0,0.09375,10.666666666666666
2,128,1.5,5,early,64,2.940118158798445,1114,0.21875,14.0,0.21875,4.571428571428571
2,128,1.5,5,late,64,1.707025872368384,352,0.296875,7.0,0.109375,9.142857142857142
2,128,1.5,6,early,64,2.8696907853860933,1032,0.28125,12.0,0.1875,5.333333333333333
2,128,1.5,6,late,64,1.6934626341057153,314,0.3125,6.0,0.09375,10.666666666666666
2,128,1.5,7,early,64,3.18028711875135,1119,0.15625,14.0,0.21875,4.571428571428571
2,128,1.5,7,late,64,1.7325634062339372,438,0.25,8.0,0.125,8.0
2,128,2.0,0,early,64,3.81847541437827,1212,0.234375,16.0,0.25,4.0
2,128,2.0,0,late,64,2.238797722716246,351,0.296875,7.0,0.109375,9.142857142857142
