d,N,p_frw,rep,t_center,H_local,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy
2,128,0.5,0,0.2,2.5,1838,0.1953125,11.0,0.0859375,11.636363636363637,4.904037803367701,0.4214407487269118,0.140625,2.285292221464183
2,128,0.5,1,0.2,2.5,1744,0.21875,11.0,0.0859375,11.636363636363637,5.313323344073621,0.4566137248813268,0.140625,2.264815306460195
2,128,0.5,2,0.2,2.5,1862,0.1875,11.0,0.0859375,11.636363636363637,3.9834367818557537,0.3423265984407288,0.125,2.3278177947254535
2,128,0.5,3,0.2,2.5,1590,0.234375,10.0,0.078125,12.8,4.4,0.34375,0.140625,2.2332698227247034
2,128,0.5,4,0.2,2.5,1858,0.2109375,12.0,0.09375,10.666666666666666,3.7490739597339977,0.3514756837250623,0.1171875,2.413676780550749
2,128,0.5,5,0.2,2.5,1941,0.1953125,11.0,0.0859375,11.636363636363637,5.121660371273918,0.44014268815635227,0.1484375,2.2767845668334035
2,128,0.5,6,0.2,2.5,1772,0.1875,11.0,0.0859375,11.636363636363637,4.7915214374925235,0.4117713735345137,0.1484375,2.2866807877335176
2,128,0.5,7,0.2,2.5,1631,0.203125,11.0,0.0859375,11.636363636363637,4.637254816311581,0.3985140857767765,0.1484375,2.3049774098645237
2,128,0.5,0,0.4,1.25,1364,0.2421875,10.0,0.078125,12.8,7.025667228100119,0.5488802521953218,0.15625,2.1039977220641193
2,128,0.5,1,0.4,1.25,1180,0.2421875,9.0,0.0703125,14.222222222222221,5.30780929444275,0.3732053410155059,0.1484375,2.1128123175082085
2,128,0.5,2,0.4,1.25,1327,0.21875,10.0,0.078125,12.8,6.794115100585212,0.5307902422332197,0.15625,2.1165783358013504
2,128,0.5,3,0.4,1.25,1408,0.25,9.0,0.0703125,14.222222222222221,7.2076776623230465,0.5067898356320892,0.2109375,2.0388616382408293
2,128,0.5,4,0.4,1.25,1254,0.2421875,9.0,0.0703125,14.222222222222221,6.267691011631313,0.4406970242553267,0.15625,2.073926265689805
2,128,0.5,5,0.4,1.25,1174,0.234375,10.0,0.078125,12.8,5.706137047074843,0.44579195680272204,0.1484375,2.181661527937637
