d,N,hubble,rep,R_dS,H2,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,b1_mean,b1_std
4,128,0.0,0,0.0,0.0,1578,0.3515625,5.0,0.0390625,25.6,11.516944039110376,-3.3359375,29.61821582229581
4,128,0.0,1,0.0,0.0,1388,0.3515625,5.0,0.0390625,25.6,9.891410415102591,4.578125,16.00273871824367
4,128,0.0,2,0.0,0.0,1531,0.3515625,5.0,0.0390625,25.6,11.341957503006261,0.5625,22.904267479009235
4,128,0.0,3,0.0,0.0,1690,0.359375,5.0,0.0390625,25.6,10.947145746723207,0.0625,20.06230529500536
4,128,0.0,4,0.0,0.0,1505,0.375,4.0,0.03125,32.0,10.198039027185569,5.2109375,27.002214129050486
4,128,0.0,5,0.0,0.0,1412,0.4140625,4.0,0.03125,32.0,12.103718436910205,-0.171875,22.74969415144685
4,128,0.0,6,0.0,0.0,1742,0.3203125,5.0,0.0390625,25.6,10.537551897855593,2.6015625,26.579285826722163
4,128,0.0,7,0.0,0.0,1385,0.3828125,5.0,0.0390625,25.6,12.175385004179539,1.734375,26.016966932357334
4,128,0.0,8,0.0,0.0,1177,0.421875,5.0,0.0390625,25.6,13.093509842666327,0.3046875,14.925103953652844
4,128,0.0,9,0.0,0.0,1318,0.375,5.0,0.0390625,25.6,9.562426470305537,-1.53125,16.59816325493577
4,128,0.0,10,0.0,0.0,1525,0.3515625,5.0,0.0390625,25.6,11.001818031580054,-1.671875,24.407065247267543
4,128,0.0,11,0.0,0.0,1417,0.3828125,6.0,0.046875,21.333333333333332,12.801909579781013,1.6796875,22.451313155411285
4,128,0.0,12,0.0,0.0,1371,0.3828125,5.0,0.0390625,25.6,13.92264342716569,-0.46875,19.30428122043139
4,128,0.0,13,0.0,0.0,1563,0.359375,6.0,0.046875,21.333333333333332,14.079141387961917,-0.984375,24.86431440557682
4,128,0.0,14,0.0,0.0,1552,0.3515625,5.0,0.0390625,25.6,8.708616422830897,1.8203125,24.575277717705323
4,128,0.0,15,0.0,0.0,1588,0.3515625,5.0,0.0390625,25.6,10.131140113531153,-3.859375,31.255433121449062
4,128,0.25,0,0.75,0.0625,1085,0.421875,5.0,0.0390625,25.6,13.763720427268202,0.4140625,15.416877593925877
4,128,0.25,1,0.75,0.0625,1024,0.421875,5.0,0.0390625,25.6,12.784365451597509,3.4921875,16.13371668168385
4,128,0.25,2,0.75,0.0625,1120,0.4375,4.0,0.03125,32.0,8.916277250063503,2.921875,19.655871170832775
4,128,0.25,3,0.75,0.0625,896,0.4296875,5.0,0.0390625,25.6,16.48757107641996,-0.59375,15.403143703072434
4,128,0.25,4,0.75,0.0625,1060,0.4375,4.0,0.03125,32.0,15.116216457830975,3.4609375,22.485725452408552
4,128,0.25,5,0.75,0.0625,835,0.46875,5.0,0.0390625,25.6,15.49967741599805,2.3515625,12.871716719559739
4,128,0.25,6,0.75,0.0625,1125,0.4453125,4.0,0.03125,32.0,9.027735042633894,-1.390625,20.184397739575363
4,128,0.25,7,0.75,0.0625,1143,0.40625,4.0,0.03125,32.0,11.811011811017716,2.84375,19.8062638056121
4,128,0.25,8,0.75,0.0625,987,0.4296875,5.0,0.0390625,25.6,15.21315220458929,-1.859375,13.763478833833219
4,128,0.25,9,0.75,0.0625,1095,0.4296875,5.0,0.0390625,25.6,10.8,3.75,17.125456198303155
4,128,0.25,10,0.75,0.0625,1119,0.4140625,5.0,0.0390625,25.6,14.221111067704943,3.8828125,17.05351003722822
4,128,0.25,11,0.75,0.0625,1188,0.4453125,5.0,0.0390625,25.6,14.499655168313486,1.3671875,21.58445298912724
4,128,0.25,12,0.75,0.0625,1028,0.4296875,5.0,0.0390625,25.6,13.305637902783918,1.5625,16.818307547134463
4,128,0.25,13,0.75,0.0625,1020,0.4609375,4.0,0.03125,32.0,6.819090848492928,-0.5,19.470731239478397
4,128,0.25,14,0.75,0.0625,1204,0.4375,5.0,0.0390625,25.6,13.632314550361578,2.1484375,18.87586498173246
4,128,0.25,15,0.75,0.0625,1054,0.3984375,4.0,0.03125,32.0,14.594519519326424,-1.046875,19.061930063201235
4,128,0.5,0,3.0,0.25,696,0.484375,4.0,0.03125,32.0,16.170961628796228,0.8671875,15.830336330597772
4,128,0.5,1,3.0,0.25,707,0.5078125,4.0,0.03125,32.0,12.36931687685298,-2.9296875,18.505144383450343
4,128,0.5,2,3.0,0.25,648,0.59375,4.0,0.03125,32.0,19.912307751739878,-0.3203125,13.247012395341969
4,128,0.5,3,3.0,0.25,794,0.5078125,5.0,0.0390625,25.6,18.682612237050794,-1.6015625,13.888698105243478
4,128,0.5,4,3.0,0.25,621,0.5390625,4.0,0.03125,32.0,16.658331248957683,0.3359375,9.896556648455752
4,128,0.5,5,3.0,0.25,707,0.515625,4.0,0.03125,32.0,12.529964086141668,2.2109375,12.430212905300285
4,128,0.5,6,3.0,0.25,774,0.546875,4.0,0.03125,32.0,15.215124054702938,-0.5625,15.249871925691703
4,128,0.5,7,3.0,0.25,734,0.5546875,4.0,0.03125,32.0,17.24818831066034,0.34375,14.147348194538084
4,128,0.5,8,3.0,0.25,543,0.5625,4.0,0.03125,32.0,15.937377450509228,2.0859375,10.39157361741203
4,128,0.5,9,3.0,0.25,697,0.4765625,4.0,0.03125,32.0,9.82344135219425,1.6171875,11.077934919913718
4,128,0.5,10,3.0,0.25,687,0.515625,4.0,0.03125,32.0,16.748134224444225,0.03125,12.162915910154933
4,128,0.5,11,3.0,0.25,688,0.515625,4.0,0.03125,32.0,16.15549442140351,1.671875,13.846315718788698
4,128,0.5,12,3.0,0.25,679,0.53125,4.0,0.03125,32.0,15.668439615992398,0.6015625,13.6458211573578
4,128,0.5,13,3.0,0.25,563,0.5234375,4.0,0.03125,32.0,15.827191791344413,0.828125,12.551835881032503
4,128,0.5,14,3.0,0.25,791,0.5546875,4.0,0.03125,32.0,19.32614809008769,-0.5625,13.891741026595623
4,128,0.5,15,3.0,0.25,658,0.5859375,4.0,0.03125,32.0,17.790446874657196,2.3203125,13.059319944099071
4,128,1.0,0,12.0,1.0,235,0.734375,3.0,0.0234375,42.666666666666664,15.542057635833022,0.9453125,4.844953227570288
4,128,1.0,1,12.0,1.0,172,0.7578125,3.0,0.0234375,42.666666666666664,28.241026106633512,0.203125,2.867815411489205
4,128,1.0,2,12.0,1.0,200,0.8203125,3.0,0.0234375,42.666666666666664,19.93879523831757,0.9140625,4.693791350933033
4,128,1.0,3,12.0,1.0,275,0.75,3.0,0.0234375,42.666666666666664,25.69478978746902,1.234375,5.551582509462955
4,128,1.0,4,12.0,1.0,156,0.7265625,3.0,0.0234375,42.666666666666664,26.386023236217735,0.796875,4.102894129072185
4,128,1.0,5,12.0,1.0,315,0.6796875,4.0,0.03125,32.0,21.598611066455177,0.46875,7.932269438029699
