family,N,rep,block_size,block_id,layers_start,layers_end,n_nodes,n_relations,bd_ratio_local,bdg_d2c_local,C0,C1
Lor2D,16,0,2,0,0,1,6,3,0.0,0.0,3,0
Lor2D,16,0,2,1,2,3,8,7,0.0,-0.75,7,0
Lor2D,16,0,2,2,4,4,2,0,0.0,1.0,0,0
Lor2D,16,1,2,0,0,1,10,5,0.0,0.0,5,0
Lor2D,16,1,2,1,2,3,4,2,0.0,0.0,2,0
Lor2D,16,1,2,2,4,4,2,0,0.0,1.0,0,0
Lor2D,16,2,2,0,0,1,9,8,0.0,-0.7777777777777778,8,0
Lor2D,16,2,2,1,2,3,6,3,0.0,0.0,3,0
Lor2D,16,2,2,2,4,4,1,0,0.0,0.0,0,0
Lor2D,16,3,2,0,0,1,7,6,0.0,-0.7142857142857143,6,0
Lor2D,16,3,2,1,2,3,9,11,0.0,-1.4444444444444444,11,0
Lor2D,16,4,2,0,0,1,7,6,0.0,-0.7142857142857143,6,0
Lor2D,16,4,2,1,2,3,6,4,0.0,-0.3333333333333333,4,0
Lor2D,16,4,2,2,4,5,3,1,0.0,0.3333333333333333,1,0
Lor2D,16,5,2,0,0,1,7,4,0.0,-0.14285714285714285,4,0
Lor2D,16,5,2,1,2,3,4,2,0.0,0.0,2,0
Lor2D,16,5,2,2,4,5,4,1,0.0,0.5,1,0
Lor2D,16,5,2,3,6,6,1,0,0.0,0.0,0,0
Lor2D,16,6,2,0,0,1,10,8,0.0,-0.6,8,0
Lor2D,16,6,2,1,2,3,3,1,0.0,0.3333333333333333,1,0
Lor2D,16,6,2,2,4,5,3,1,0.0,0.3333333333333333,1,0
Lor2D,16,7,2,0,0,1,7,5,0.0,-0.42857142857142855,5,0
Lor2D,16,7,2,1,2,3,6,3,0.0,0.0,3,0
Lor2D,16,7,2,2,4,4,3,0,0.0,1.0,0,0
Lor3D,16,0,2,0,0,1,12,5,0.0,0.16666666666666666,5,0
Lor3D,16,0,2,1,2,3,4,1,0.0,0.5,1,0
Lor3D,16,1,2,0,0,1,12,9,0.0,-0.5,9,0
Lor3D,16,1,2,1,2,3,4,2,0.0,0.0,2,0
Lor3D,16,2,2,0,0,1,11,9,0.0,-0.6363636363636364,9,0
Lor3D,16,2,2,1,2,2,5,0,0.0,1.0,0,0
Lor3D,16,3,2,0,0,1,13,18,0.0,-1.7692307692307692,18,0
Lor3D,16,3,2,1,2,2,3,0,0.0,1.0,0,0
Lor3D,16,4,2,0,0,1,11,11,0.0,-1.0,11,0
Lor3D,16,4,2,1,2,3,5,2,0.0,0.2,2,0
Lor3D,16,5,2,0,0,1,11,6,0.0,-0.09090909090909091,6,0
Lor3D,16,5,2,1,2,2,5,0,0.0,1.0,0,0
Lor3D,16,6,2,0,0,1,13,16,0.0,-1.4615384615384615,16,0
Lor3D,16,6,2,1,2,2,3,0,0.0,1.0,0,0
Lor3D,16,7,2,0,0,1,16,27,0.0,-2.375,27,0
Lor4D,16,0,2,0,0,1,16,11,0.0,-0.375,11,0
Lor4D,16,1,2,0,0,1,14,8,0.0,-0.14285714285714285,8,0
