family,N,rep,center_layer,n_layers_total,n_nodes,total_relations,bd_ratio,bdg_d2c,bdg_d4,link_frac
Lor2D,36,0,0,8,10,9,0.0,-0.8,0.1,1.0
Lor2D,36,0,1,8,14,20,0.4725,0.14285714285714285,4.571428571428571,0.65
Lor2D,36,0,2,8,13,19,0.3601108033240998,-0.5384615384615384,3.3076923076923075,0.7368421052631579
Lor2D,36,0,3,8,13,26,0.3195266272189348,-1.6153846153846154,-0.3076923076923077,0.7692307692307693
Lor2D,36,0,4,8,17,38,0.5505540166204986,0.058823529411764705,7.588235294117647,0.6052631578947368
Lor2D,36,0,5,8,15,14,0.2602040816326531,-0.06666666666666667,2.066666666666667,0.7857142857142857
Lor2D,36,0,6,8,13,14,0.16326530612244902,-0.5384615384615384,1.4615384615384615,0.8571428571428571
Lor2D,36,0,7,8,5,2,0.0,0.2,0.6,1.0
Lor2D,36,1,0,8,12,8,0.0,-0.3333333333333333,0.3333333333333333,1.0
Lor2D,36,1,1,8,16,26,0.36242603550295865,-0.75,0.625,0.7307692307692307
Lor2D,36,1,2,8,17,37,0.6544923301680059,0.058823529411764705,3.823529411764706,0.5675675675675675
Lor2D,36,1,3,8,16,21,0.2947845804988663,-0.375,2.8125,0.7619047619047619
Lor2D,36,1,4,8,14,10,0.23999999999999994,0.14285714285714285,1.7142857142857142,0.8
Lor2D,36,1,5,8,10,14,0.2602040816326531,-0.6,2.6,0.7857142857142857
Lor2D,36,1,6,8,8,9,0.4444444444444445,0.25,3.625,0.6666666666666666
Lor2D,36,1,7,8,6,3,0.0,0.0,0.5,1.0
Lor2D,36,2,0,10,9,5,0.0,-0.1111111111111111,0.4444444444444444,1.0
Lor2D,36,2,1,10,13,27,0.5212620027434842,-0.23076923076923078,4.6923076923076925,0.6296296296296297
Lor2D,36,2,2,10,14,33,0.6556473829201102,-0.2857142857142857,1.5,0.5757575757575758
Lor2D,36,2,3,10,15,20,0.3375,-0.6,-0.3333333333333333,0.75
Lor2D,36,2,4,10,16,25,0.3808,-0.625,0.6875,0.72
Lor2D,36,2,5,10,13,20,0.3125,-0.5384615384615384,3.3076923076923075,0.75
Lor2D,36,2,6,10,10,11,0.3471074380165289,0.0,2.9,0.7272727272727273
Lor2D,36,2,7,10,6,4,0.3125,0.3333333333333333,2.0,0.75
Lor2D,36,2,8,10,4,3,0.4444444444444445,0.5,2.75,0.6666666666666666
Lor2D,36,3,0,9,9,4,0.0,0.1111111111111111,0.5555555555555556,1.0
Lor2D,36,3,1,9,14,22,0.29958677685950413,-1.0,-0.5714285714285714,0.7727272727272727
Lor2D,36,3,2,9,12,20,0.24999999999999994,-1.1666666666666667,0.5833333333333334,0.8
Lor2D,36,3,3,9,13,25,0.4351999999999999,-0.5384615384615384,3.3076923076923075,0.68
Lor2D,36,3,4,9,16,31,0.44745057232049956,-0.625,2.1875,0.6774193548387096
Lor2D,36,3,5,9,17,20,0.325,-0.29411764705882354,1.2941176470588236,0.75
Lor2D,36,3,6,9,13,9,0.2716049382716049,0.23076923076923078,1.8461538461538463,0.7777777777777778
Lor2D,36,3,7,9,6,5,0.5599999999999999,0.6666666666666666,3.5,0.6
Lor2D,36,4,0,10,13,12,0.0,-0.8461538461538461,0.07692307692307693,1.0
Lor2D,36,4,1,10,15,19,0.11634349030470913,-1.0,1.0666666666666667,0.8947368421052632
Lor2D,36,4,2,10,11,7,0.36734693877551017,0.45454545454545453,2.1818181818181817,0.7142857142857143
Lor2D,36,4,3,10,8,11,0.4958677685950414,0.25,4.625,0.6363636363636364
Lor2D,36,4,4,10,9,11,0.371900826446281,-0.3333333333333333,0.3333333333333333,0.7272727272727273
Lor2D,36,4,5,10,11,17,0.47750865051903113,0.09090909090909091,4.909090909090909,0.6470588235294118
Lor2D,36,4,6,10,10,17,0.4152249134948096,-0.8,-0.7,0.7058823529411765
Lor2D,36,4,7,10,11,23,0.5444234404536862,0.09090909090909091,7.090909090909091,0.6086956521739131
Lor2D,36,4,8,10,8,7,0.16326530612244902,-0.25,1.375,0.8571428571428571
Lor2D,36,4,9,10,5,1,0.0,0.6,0.8,1.0
Lor2D,36,5,0,8,9,6,0.0,-0.3333333333333333,0.3333333333333333,1.0
Lor2D,36,5,1,8,15,25,0.6335999999999999,0.6,6.666666666666667,0.56
Lor2D,36,5,2,8,15,24,0.4722222222222223,-0.3333333333333333,1.4,0.6666666666666666
Lor2D,36,5,3,8,17,34,0.4152249134948096,-1.1176470588235294,-1.0,0.7058823529411765
Lor2D,36,5,4,8,15,26,0.39349112426035515,-1.0,2.1333333333333333,0.7307692307692307
Lor2D,36,5,5,8,14,29,0.2996432818073722,-1.1428571428571428,3.9285714285714284,0.7586206896551724
Lor2D,36,5,6,8,10,10,0.10999999999999999,-0.6,1.0,0.9
Lor2D,36,5,7,8,6,1,0.0,0.6666666666666666,0.8333333333333334,1.0
