family,N,rep,seed,log_H,f5_calibrated,C0,C1,C2,C3,total_relations,link_fraction,mean_k,s_bd_exact,bd_ratio_stored,abs_diff
Lor2D,16,0,1642,17.006783442844746,34.4609592602651,24,12,5,3,50,0.48,1.32,1.2064000000000001,1.2064000000000001,0.0
Lor2D,16,1,2642,17.178632170774197,34.32367530628819,22,14,10,3,56,0.3928571428571428,1.3214285714285714,1.409438775510204,1.409438775510204,0.0
Lor2D,16,2,3642,15.44231342309622,30.37552538755428,28,12,6,3,58,0.48275862068965525,1.3275862068965518,1.203923900118906,1.203923900118906,0.0
Lor2D,16,3,4642,16.341375353003595,32.52745442022784,30,9,7,5,62,0.4838709677419355,1.3870967741935485,1.2320499479708638,1.2320499479708638,0.0
Lor2D,16,4,5642,15.629348188496072,31.136365112819423,24,13,10,2,54,0.4444444444444444,1.1481481481481481,1.1934156378600822,1.1934156378600822,0.0
Lor2D,16,5,6642,13.993473881441243,27.641600797145223,22,13,10,5,57,0.38596491228070173,1.4035087719298245,1.4758387196060325,1.4758387196060325,0.0
Lor2D,16,6,7642,16.648834998790186,32.79660924729655,28,12,7,3,61,0.459016393442623,1.4426229508196722,1.3214189733942485,1.3214189733942485,0.0
Lor2D,16,7,8642,15.578224993261738,31.224645857290785,23,11,11,6,53,0.4339622641509434,1.1132075471698113,1.1961552153791384,1.1961552153791384,0.0
Lor3D,16,0,1642,22.569370263872408,58.043280813312094,19,5,0,1,25,0.76,0.32,0.3168,0.3168,0.0
Lor3D,16,1,2642,20.823020086319993,48.55594677700383,21,6,5,1,34,0.6176470588235294,0.6764705882352942,0.6410034602076125,0.6410034602076125,0.0
Lor3D,16,2,3642,20.77408154830934,47.778268798511235,28,5,3,1,37,0.7567567567567568,0.3783783783783784,0.33528122717311903,0.33528122717311903,0.0
Lor3D,16,3,4642,20.025801038876224,44.379395064503505,29,5,6,1,41,0.7073170731707317,0.4878048780487805,0.4354550862581797,0.4354550862581797,0.0
Lor3D,16,4,5642,20.166020706780017,46.05953097878686,25,9,2,0,36,0.6944444444444444,0.3611111111111111,0.41589506172839513,0.41589506172839513,0.0
Lor3D,16,5,6642,21.543884253127953,52.78444494521042,21,9,0,0,30,0.7,0.3,0.39000000000000007,0.39000000000000007,0.0
Lor3D,16,6,7642,21.65975464732737,51.703462761815004,28,3,3,0,34,0.8235294117647058,0.2647058823529412,0.22318339100346024,0.22318339100346024,0.0
