rs,N,rep,r_min_factor,r_max_factor,mean_K,median_K,std_K,max_K,n_causal_pairs,C_0,C_1,C_2,C_3,C_4,bd_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy
0.0,128,0,1.5,10.0,0.0,0.0,0.0,0.0,4048,435,317,291,208,198,0.05351870078740158,15.0,0.1171875,8.533333333333333,2.704728370013439,0.31696035586094984,0.1171875,2.652335689721067
0.0,128,1,1.5,10.0,0.0,0.0,0.0,0.0,4331,444,330,268,218,226,0.054625984251968504,16.0,0.125,8.0,3.1024184114977142,0.3878023014372143,0.0859375,2.6746195607328502
0.0,128,2,1.5,10.0,0.0,0.0,0.0,0.0,4235,463,334,253,230,212,0.05696358267716536,16.0,0.125,8.0,2.6457513110645907,0.33071891388307384,0.1015625,2.7168855653403057
0.0,128,3,1.5,10.0,0.0,0.0,0.0,0.0,4573,418,308,264,242,196,0.05142716535433071,17.0,0.1328125,7.529411764705882,2.303900709125428,0.30598681293072094,0.0859375,2.773414639498986
0.0,128,4,1.5,10.0,0.0,0.0,0.0,0.0,4504,431,336,297,196,178,0.05302657480314961,16.0,0.125,8.0,1.9039432764659772,0.23799290955824715,0.078125,2.7369139162291383
0.0,128,5,1.5,10.0,0.0,0.0,0.0,0.0,4473,429,321,243,248,213,0.052780511811023625,17.0,0.1328125,7.529411764705882,2.7464982423361772,0.36476929781027356,0.09375,2.753783653059572
0.0,128,6,1.5,10.0,0.0,0.0,0.0,0.0,4289,406,319,269,202,201,0.049950787401574805,19.0,0.1484375,6.7368421052631575,2.632631368505221,0.3907812187624938,0.078125,2.8426362362541022
0.0,128,7,1.5,10.0,0.0,0.0,0.0,0.0,4604,405,343,268,220,213,0.04982775590551181,17.0,0.1328125,7.529411764705882,1.4997116216449367,0.19918044974971816,0.078125,2.812376164822209
0.0,128,8,1.5,10.0,0.0,0.0,0.0,0.0,4210,407,348,288,230,212,0.0500738188976378,17.0,0.1328125,7.529411764705882,1.913347760857717,0.2541164994889155,0.0859375,2.795248910319671
0.0,128,9,1.5,10.0,0.0,0.0,0.0,0.0,4326,442,291,264,231,176,0.05437992125984252,15.0,0.1171875,8.533333333333333,2.186829262247563,0.2562690541696363,0.09375,2.6742949847241952
0.0,256,0,1.5,10.0,0.0,0.0,0.0,0.0,16970,1090,778,671,573,562,0.033394607843137254,23.0,0.08984375,11.130434782608695,3.124995274098506,0.2807612941572876,0.0625,3.0931407077837783
0.0,256,1,1.5,10.0,0.0,0.0,0.0,0.0,17507,981,793,679,585,572,0.03005514705882353,24.0,0.09375,10.666666666666666,3.2871804872193366,0.3081731706768128,0.0625,3.115734075532429
0.0,256,2,1.5,10.0,0.0,0.0,0.0,0.0,17399,1005,768,722,580,575,0.03079044117647059,24.0,0.09375,10.666666666666666,3.3124344857252987,0.3105407330367468,0.0625,3.115807048949943
0.0,256,3,1.5,10.0,0.0,0.0,0.0,0.0,16712,1055,799,693,585,540,0.03232230392156863,22.0,0.0859375,11.636363636363637,2.7723546694503467,0.23824922940588916,0.0625,3.059930666831341
0.0,256,4,1.5,10.0,0.0,0.0,0.0,0.0,17568,990,834,642,571,588,0.030330882352941176,24.0,0.09375,10.666666666666666,3.815174380753199,0.3576725981956124,0.07421875,3.0941729936948326
0.0,256,5,1.5,10.0,0.0,0.0,0.0,0.0,17372,952,768,708,620,598,0.029166666666666667,27.0,0.10546875,9.481481481481481,3.552467795046459,0.3746743377588062,0.0625,3.2072754836731674
0.0,256,6,1.5,10.0,0.0,0.0,0.0,0.0,17761,1072,759,660,618,541,0.03284313725490196,25.0,0.09765625,10.24,4.301441618806421,0.4200626580865645,0.06640625,3.1096763303814057
0.0,256,7,1.5,10.0,0.0,0.0,0.0,0.0,16829,1008,852,688,608,540,0.030882352941176472,24.0,0.09375,10.666666666666666,3.8477987935383986,0.36073113689422487,0.06640625,3.0957762361955727
0.0,256,8,1.5,10.0,0.0,0.0,0.0,0.0,16780,1061,809,709,627,540,0.032506127450980395,23.0,0.08984375,11.130434782608695,3.0403710847038417,0.27315833964136077,0.0625,3.0910693564257867
0.0,256,9,1.5,10.0,0.0,0.0,0.0,0.0,17327,1054,791,629,572,520,0.03229166666666667,25.0,0.09765625,10.24,3.43255007246799,0.33520996801445213,0.0625,3.150009312908622
0.0,512,0,1.5,10.0,0.0,0.0,0.0,0.0,69268,2393,1888,1628,1493,1418,0.01829286937377691,34.0,0.06640625,15.058823529411764,4.511039898832434,0.2995612432818413,0.04296875,3.4730112562522226
0.0,512,1,1.5,10.0,0.0,0.0,0.0,0.0,70302,2376,1893,1645,1481,1439,0.018162915851272016,37.0,0.072265625,13.837837837837839,4.4144328001087985,0.31901174532036236,0.041015625,3.542705488635101
0.0,512,2,1.5,10.0,0.0,0.0,0.0,0.0,70699,2370,1907,1645,1526,1357,0.01811704990215264,34.0,0.06640625,15.058823529411764,3.6213515227344435,0.24048037455658414,0.0390625,3.489510811798764
0.0,512,3,1.5,10.0,0.0,0.0,0.0,0.0,69947,2306,1914,1623,1537,1332,0.017627813111545987,35.0,0.068359375,14.628571428571428,4.029077982337287,0.275425252698838,0.0390625,3.511834220964726
0.0,512,4,1.5,10.0,0.0,0.0,0.0,0.0,71690,2463,1875,1594,1438,1427,0.018827972113502935,35.0,0.068359375,14.628571428571428,5.425262149219622,0.3708675297318101,0.044921875,3.4708095566425157
0.0,512,5,1.5,10.0,0.0,0.0,0.0,0.0,68797,2324,1920,1708,1460,1400,0.01776541095890411,36.0,0.0703125,14.222222222222221,4.359606959291877,0.30653486432521015,0.04296875,3.528217473202317
0.0,512,6,1.5,10.0,0.0,0.0,0.0,0.0,69805,2285,1856,1683,1518,1343,0.01746728228962818,33.0,0.064453125,15.515151515151516,3.6441835110064975,0.23487901535784064,0.041015625,3.462096275265368
0.0,512,7,1.5,10.0,0.0,0.0,0.0,0.0,66941,2303,1912,1685,1528,1445,0.0176048801369863,33.0,0.064453125,15.515151515151516,4.8624798020689,0.31340201849272203,0.04296875,3.4341228567043967
0.0,512,8,1.5,10.0,0.0,0.0,0.0,0.0,69110,2301,1907,1669,1475,1405,0.017589591487279843,34.0,0.06640625,15.058823529411764,4.158203631310805,0.27613070989173316,0.0390625,3.4755175420170823
0.0,512,9,1.5,10.0,0.0,0.0,0.0,0.0,70911,2324,1929,1640,1480,1358,0.01776541095890411,36.0,0.0703125,14.222222222222221,4.939135726865082,0.3472829807952011,0.04296875,3.501368538600581
0.1,128,0,1.5,10.0,486.80978123984124,1.9695058547167532,1672.6455660116687,10278.8653814844,7509,291,230,193,179,164,0.03580216535433071,45.0,0.3515625,2.8444444444444446,1.1729460640352576,0.4123638506373952,0.046875,3.7228677199125344
