d,N,hubble,rep,R_dS,R_hat,n_causal_pairs,bd_ratio,occupancy_R,S1_c1_over_c0,S2_c2_over_c1,S3_c2_over_c0,S4_nonlink_low,S5_log_curvature,S6_log_concavity,S7_depth_over_linkfrac,S8_bdg_d2c_shape,S9_gini,S10_kl_vs_flat,S11_link_frac,S12_bdg_d2c_intensive,S13_c3_over_c2,S14_geo_mean_ratio,S15_ratio_of_ratios,C0,C1,C2,C3,C4,total_pairs
2,128,0.000000,0,0.000000,91.944176,4056,11.465577,0.902367,0.772727,0.892157,0.689394,0.593846,0.866134,-0.143716,119.898990,-0.406250,0.600697,-0.366922,0.097633,-0.003174,0.948718,0.868030,1.154556,396,306,273,259,208,4056
2,128,0.000000,1,0.000000,20.621637,4050,10.822725,0.894568,0.634660,1.022140,0.648712,0.562051,0.620913,-0.476564,105.264637,-1.437500,0.580606,-0.367036,0.105432,-0.011230,0.837545,0.815994,1.610531,427,271,277,232,203,4050
2,128,0.000000,2,0.000000,84.479512,4145,11.954286,0.900362,0.791768,0.758410,0.600484,0.581984,1.043984,0.043044,123.217918,-0.343750,0.545498,-0.366119,0.099638,-0.002686,0.862903,0.803195,0.957869,413,327,248,214,211,4145
2,128,0.000000,3,0.000000,4.451443,4041,11.037094,0.893591,0.606977,1.019157,0.618605,0.550679,0.595567,-0.518241,106.676744,-1.640625,0.508429,-0.365983,0.106409,-0.012817,0.842105,0.804624,1.679071,430,261,266,224,181,4041
2,128,0.000000,4,0.000000,43.876988,3985,11.350558,0.898369,0.632099,1.035156,0.654321,0.562635,0.610631,-0.493262,114.479012,-1.328125,0.542762,-0.366156,0.101631,-0.010376,0.807547,0.808450,1.637650,405,256,265,214,206,3985
2,128,0.000000,5,0.000000,10.208991,4018,11.449355,0.888751,0.662192,0.925676,0.612975,0.560472,0.715361,-0.334968,106.809843,-1.359375,0.575248,-0.367495,0.111249,-0.010620,0.846715,0.803637,1.397895,447,296,274,232,190,4018
2,128,0.000000,6,0.000000,11.219896,4109,11.374669,0.891701,0.743820,0.848943,0.631461,0.578997,0.876173,-0.132192,108.552809,-0.781250,0.592841,-0.367525,0.108299,-0.006104,0.793594,0.794295,1.141328,445,331,281,223,218,4109
2,128,0.000000,7,0.000000,-24.747375,4089,11.566545,0.890438,0.714286,0.781250,0.558036,0.559921,0.914286,-0.089612,109.433036,-1.000000,0.563635,-0.367395,0.109562,-0.007812,0.964000,0.813292,1.093750,448,320,250,241,217,4089
2,128,0.250000,0,0.125000,9.357628,3868,10.638849,0.886246,0.704545,0.829032,0.584091,0.563059,0.849841,-0.162706,96.738636,-1.031250,0.583614,-0.367528,0.113754,-0.008057,0.875486,0.799668,1.176691,440,310,257,225,189,3868
2,128,0.250000,1,0.125000,-9.480336,3897,10.984127,0.889402,0.761021,0.817073,0.621810,0.580331,0.931399,-0.071068,102.624130,-0.609375,0.555357,-0.367387,0.110598,-0.004761,0.809701,0.795538,1.073654,431,328,268,217,205,3897
2,128,0.250000,2,0.125000,-23.449800,3514,9.763391,0.868241,0.663067,0.739414,0.490281,0.535607,0.896747,-0.108982,77.755940,-1.437500,0.631337,-0.364581,0.131759,-0.011230,1.030837,0.796547,1.115142,463,307,227,234,180,3514
2,128,0.250000,3,0.125000,7.617826,3659,10.210957,0.891500,0.803526,0.836991,0.672544,0.596134,0.960018,-0.040803,96.347607,-0.218750,0.580912,-0.366746,0.108500,-0.001709,0.767790,0.802271,1.041647,397,319,267,205,210,3659
2,128,0.250000,4,0.125000,-11.491149,3978,10.629048,0.887129,0.679287,1.068852,0.726058,0.584259,0.635530,-0.453297,97.291759,-1.250000,0.594430,-0.366519,0.112871,-0.009766,0.708589,0.801288,1.573491,449,305,326,231,194,3978
2,128,0.250000,5,0.125000,4.606838,3683,10.393089,0.890035,0.748148,0.884488,0.661728,0.585041,0.845854,-0.167408,97.096296,-0.593750,0.580741,-0.367372,0.109965,-0.004639,0.880597,0.835255,1.182237,405,303,268,236,190,3683
2,128,0.250000,6,0.125000,-21.185966,3884,10.711341,0.890834,0.719340,0.914754,0.658019,0.579365,0.786375,-0.240322,100.983491,-0.859375,0.604851,-0.367771,0.109166,-0.006714,0.845878,0.822587,1.271658,424,305,279,236,207,3884
2,128,0.250000,7,0.125000,5.122715,3807,9.982946,0.896769,0.809160,0.836478,0.676845,0.597748,0.967342,-0.033203,98.150127,-0.171875,0.495159,-0.367083,0.103231,-0.001343,0.789474,0.811476,1.033761,393,318,266,210,189,3807
2,128,0.500000,0,0.500000,22.887465,3317,9.002376,0.876997,0.745098,0.855263,0.637255,0.580247,0.871192,-0.137893,75.323529,-0.625000,0.611426,-0.364545,0.123003,-0.004883,0.830769,0.808968,1.147853,408,304,260,216,195,3317
2,128,0.500000,1,0.500000,-39.816994,3263,8.474580,0.861477,0.712389,0.791925,0.564159,0.560739,0.899566,-0.105843,63.796460,-1.031250,0.586645,-0.360875,0.138523,-0.008057,0.807843,0.769561,1.111647,452,322,255,206,171,3263
2,128,0.500000,2,0.500000,-8.060841,3360,9.019661,0.872619,0.684579,0.928328,0.635514,0.568983,0.737433,-0.304580,73.294393,-1.109375,0.591791,-0.364334,0.127381,-0.008667,0.727941,0.773405,1.356055,428,293,272,198,204,3360
2,128,0.500000,3,0.500000,56.670246,3347,8.788059,0.876606,0.704600,0.786942,0.554479,0.557342,0.895366,-0.110523,73.140436,-0.906250,0.596444,-0.366284,0.123394,-0.007080,0.921397,0.799425,1.116862,413,291,229,211,184,3347
2,128,0.500000,4,0.500000,26.243603,3395,9.066050,0.875405,0.657210,0.913669,0.600473,0.557068,0.719309,-0.329464,75.094563,-1.265625,0.554258,-0.365954,0.124595,-0.009888,0.858268,0.801750,1.390223,423,278,254,218,202,3395
2,128,0.500000,5,0.500000,57.256612,3458,9.375190,0.884037,0.765586,0.824104,0.630923,0.582726,0.928992,-0.073655,82.827930,-0.468750,0.571835,-0.366585,0.115963,-0.003662,0.782609,0.790388,1.076436,401,307,253,198,175,3458
2,128,0.500000,6,0.500000,12.403037,3380,8.837591,0.877219,0.792771,0.817629,0.648193,0.590326,0.969597,-0.030874,73.908434,-0.343750,0.585259,-0.363553,0.122781,-0.002686,0.784387,0.798138,1.031356,415,329,269,211,193,3380
2,128,0.500000,7,0.500000,38.358915,3265,8.909599,0.876570,0.794045,0.771875,0.612903,0.584536,1.028722,0.028317,74.245658,-0.296875,0.590753,-0.363690,0.123430,-0.002319,0.854251,0.805983,0.972080,403,320,247,211,184,3265
2,128,1.000000,0,2.000000,29.331685,2818,7.577415,0.849539,0.622642,0.901515,0.561321,0.542117,0.690661,-0.370106,52.634434,-1.500000,0.600527,-0.357470,0.150461,-0.011719,0.768908,0.755721,1.447888,424,264,238,183,160,2818
2,128,1.000000,1,2.000000,157.646704,2664,6.766070,0.851351,0.729798,0.757785,0.553030,0.561947,0.963067,-0.037633,46.737374,-0.671875,0.575890,-0.349881,0.148649,-0.005249,0.954338,0.808135,1.038350,396,289,219,209,182,2664
2,128,1.000000,2,2.000000,177.628134,2624,6.670573,0.857851,0.852547,0.814465,0.694370,0.607368,1.046756,0.045696,47.667560,0.140625,0.573395,-0.340403,0.142149,0.001099,0.876448,0.847434,0.955332,373,318,259,227,168,2624
2,128,1.000000,3,2.000000,192.289370,2666,6.683570,0.849587,0.695761,0.802867,0.558603,0.556416,0.866595,-0.143184,45.653367,-0.906250,0.554161,-0.352618,0.150413,-0.007080,0.839286,0.776851,1.153942,401,279,224,188,176,2666
2,128,1.000000,4,2.000000,103.801161,2637,6.821581,0.840349,0.676960,0.775439,0.524941,0.545847,0.873002,-0.135817,44.581948,-1.125000,0.589060,-0.348469,0.159651,-0.008789,0.787330,0.744885,1.145472,421,285,221,174,180,2637
2,128,1.000000,5,2.000000,286.603237,2210,5.913282,0.828054,0.697368,0.766038,0.534211,0.551887,0.910358,-0.093918,35.715789,-0.796875,0.651846,-0.332364,0.171946,-0.006226,0.926108,0.790906,1.098469,380,265,203,188,150,2210
